sequence,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF0hB6nBTjBOpBll?BXrB,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF6nBTjBOpB0lBlm?BXrB,v115@ShB8CeA8AeB8AeB8BeE8JeZEJvhFzfB3hBGjBqqBls?BUrB
TILJSZO,X,X,X
TILJSOZ,X,X,O
TILJZSO,X,X,X
TILJZOS,X,X,X
TILJOSZ,X,X,O
TILJOZS,X,X,X
TILSJZO,X,X,X
TILSJOZ,X,X,O
TILSZJO,X,X,X
TILSZOJ,X,X,X
TILSOJZ,X,X,O
TILSOZJ,X,X,X
TILZJSO,X,X,X
TILZJOS,X,X,X
TILZSJO,X,X,X
TILZSOJ,X,X,X
TILZOJS,O,X,X
TILZOSJ,X,X,X
TILOJSZ,X,X,O
TILOJZS,X,X,X
TILOSJZ,X,X,O
TILOSZJ,X,X,X
TILOZJS,O,X,X
TILOZSJ,X,X,X
TIJLSZO,X,X,X
TIJLSOZ,X,X,O
TIJLZSO,X,X,X
TIJLZOS,X,X,X
TIJLOSZ,X,X,O
TIJLOZS,X,X,X
TIJSLZO,X,X,X
TIJSLOZ,X,X,O
TIJSZLO,X,X,X
TIJSZOL,X,X,X
TIJSOLZ,X,X,X
TIJSOZL,X,X,X
TIJZLSO,X,X,X
TIJZLOS,X,X,X
TIJZSLO,X,X,X
TIJZSOL,X,X,X
TIJZOLS,X,X,X
TIJZOSL,X,X,X
TIJOLSZ,X,X,O
TIJOLZS,X,X,X
TIJOSLZ,X,X,X
TIJOSZL,X,X,X
TIJOZLS,X,X,X
TIJOZSL,X,X,X
TISLJZO,X,X,X
TISLJOZ,X,X,O
TISLZJO,X,X,X
TISLZOJ,X,X,X
TISLOJZ,X,X,O
TISLOZJ,X,X,X
TISJLZO,X,X,X
TISJLOZ,X,X,O
TISJZLO,X,X,X
TISJZOL,X,X,X
TISJOLZ,X,X,X
TISJOZL,X,X,X
TISZLJO,X,X,X
TISZLOJ,X,X,X
