sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
TILJSZO,X,O,X,O,X,O,O,X,X
TILJSOZ,X,X,X,X,X,O,X,X,X
TILJZSO,X,O,O,O,O,O,O,X,X
TILJZOS,X,O,O,O,O,O,O,X,X
TILJOSZ,X,X,X,X,X,O,X,X,X
TILJOZS,X,O,O,O,O,O,O,X,X
TILSJZO,X,O,X,X,X,O,X,X,X
TILSJOZ,X,X,X,X,X,O,X,X,O
TILSZJO,X,O,X,O,O,O,X,X,X
TILSZOJ,X,O,X,O,O,O,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,O
TILSOZJ,X,X,X,X,O,X,X,O,X
TILZJSO,X,O,O,O,O,O,O,X,X
TILZJOS,X,O,O,O,O,O,O,X,X
TILZSJO,X,O,O,O,O,O,O,X,X
TILZSOJ,X,O,O,O,O,O,O,X,X
TILZOJS,X,O,O,X,O,X,O,O,X
TILZOSJ,X,O,O,O,O,O,O,O,X
TILOJSZ,X,X,X,X,X,O,X,X,X
TILOJZS,X,O,O,X,O,O,X,X,X
TILOSJZ,X,X,X,X,X,O,X,X,O
TILOSZJ,X,X,X,X,O,O,X,O,X
TILOZJS,X,O,O,X,O,O,X,O,X
TILOZSJ,X,O,O,O,O,O,X,O,X
TIJLSZO,O,O,X,O,X,X,O,X,X
TIJLSOZ,O,X,X,X,X,O,X,X,X
TIJLZSO,O,O,O,O,O,X,O,X,X
TIJLZOS,O,O,O,O,O,X,O,X,X
TIJLOSZ,O,X,X,X,X,O,X,X,X
TIJLOZS,O,O,O,O,O,O,O,X,X
TIJSLZO,O,X,X,O,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,O,X,X,X
TIJSZLO,X,O,O,O,X,X,O,X,X
TIJSZOL,O,O,O,O,X,O,O,X,X
TIJSOLZ,O,X,X,X,X,O,X,X,X
TIJSOZL,O,X,O,X,X,O,X,X,X
TIJZLSO,X,O,O,O,O,X,O,X,X
TIJZLOS,X,O,O,O,O,X,O,X,X
TIJZSLO,X,O,O,O,O,X,O,X,X
TIJZSOL,O,O,O,O,O,O,O,X,X
TIJZOLS,O,O,O,O,O,O,X,X,X
TIJZOSL,O,O,O,O,O,O,O,X,X
TIJOLSZ,O,O,X,X,X,O,X,X,X
TIJOLZS,O,O,O,O,O,O,X,X,X
TIJOSLZ,O,X,X,X,X,O,X,X,X
TIJOSZL,O,O,O,X,X,O,X,X,X
TIJOZLS,O,O,O,O,O,O,X,X,X
