sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
TILJSZO,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,X,X
TILZSOJ,X,X,X,X,O,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,O,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X
