sequence,v115@VhA8CeB8AeI8JeZEJvhFUlBFmBXnBToBWvBSxB,v115@VhA8CeB8AeI8JeZEJvhFqpB/qBUmBGnBToBVxB,v115@VhA8CeB8AeI8JeZEJvhFqpB/qBFmB8rB+sBTtB,v115@VhA8CeB8AeI8JeZEJvhFClBXmB8rB+sBToBVvB,v115@VhA8CeB8AeI8JeT/IvhF/lBRhBGjB0mBlnBipB
TILJSZO,O,O,O,O,O
TILJSOZ,O,O,O,O,O
TILJZSO,O,O,O,O,O
TILJZOS,O,O,O,O,O
TILJOSZ,O,O,O,O,O
TILJOZS,O,O,O,O,O
TILSJZO,O,O,O,O,O
TILSJOZ,O,O,O,O,O
TILSZJO,O,O,O,O,O
TILSZOJ,O,O,O,O,O
TILSOJZ,O,O,O,O,O
TILSOZJ,O,O,O,O,O
TILZJSO,O,O,O,O,O
TILZJOS,O,O,O,O,O
TILZSJO,O,O,O,O,O
TILZSOJ,O,O,O,O,O
TILZOJS,O,O,X,O,O
TILZOSJ,O,O,X,O,O
TILOJSZ,O,O,O,O,O
TILOJZS,O,O,O,O,O
TILOSJZ,O,O,O,O,O
TILOSZJ,O,O,X,O,O
TILOZJS,O,O,X,O,O
TILOZSJ,O,O,X,O,O
TIJLSZO,O,O,O,O,O
TIJLSOZ,O,O,O,O,O
TIJLZSO,O,O,O,O,O
TIJLZOS,O,O,O,O,O
TIJLOSZ,O,O,O,O,O
TIJLOZS,O,O,O,O,O
TIJSLZO,O,O,X,O,O
TIJSLOZ,O,O,X,O,O
TIJSZLO,O,O,X,O,O
TIJSZOL,O,O,X,O,O
TIJSOLZ,O,O,X,O,O
TIJSOZL,O,O,X,O,X
TIJZLSO,O,O,O,O,O
TIJZLOS,O,O,O,O,O
TIJZSLO,O,O,X,O,O
TIJZSOL,O,O,X,O,O
TIJZOLS,O,O,O,O,X
TIJZOSL,O,O,X,O,O
TIJOLSZ,O,O,O,O,X
TIJOLZS,O,O,O,O,X
TIJOSLZ,O,O,X,O,O
TIJOSZL,O,O,X,O,X
TIJOZLS,O,O,O,O,X
TIJOZSL,O,O,X,O,X
TISLJZO,O,O,O,O,O
TISLJOZ,O,O,X,O,O
TISLZJO,O,O,O,O,O
TISLZOJ,O,O,O,O,O
TISLOJZ,O,O,X,O,O
TISLOZJ,O,O,O,O,O
TISJLZO,O,O,X,O,O
TISJLOZ,O,O,X,O,O
TISJZLO,O,O,X,O,O
TISJZOL,O,O,X,O,O
TISJOLZ,O,O,X,O,O
TISJOZL,O,O,X,O,X
TISZLJO,X,O,O,O,O
TISZLOJ,X,O,O,O,O
TISZJLO,X,O,O,O,O
TISZJOL,X,O,O,O,O
TISZOLJ,X,O,X,O,O
TISZOJL,X,O,X,O,O
TISOLJZ,O,O,X,O,O
TISOLZJ,O,O,X,O,O
TISOJLZ,O,O,X,O,O
TISOJZL,O,O,X,O,X
TISOZLJ,X,O,X,O,X
TISOZJL,X,O,X,O,X
TIZLJSO,O,O,O,O,O
TIZLJOS,O,O,O,O,O
TIZLSJO,O,O,O,O,O
TIZLSOJ,O,O,O,O,O
TIZLOJS,O,O,X,O,O
TIZLOSJ,O,O,X,O,O
TIZJLSO,O,O,O,O,O
TIZJLOS,O,O,O,O,O
TIZJSLO,O,O,O,O,O
TIZJSOL,O,O,O,O,O
TIZJOLS,O,O,O,O,X
TIZJOSL,O,O,O,O,O
TIZSLJO,X,O,O,O,O
TIZSLOJ,X,O,O,O,O
TIZSJLO,X,O,O,O,O
TIZSJOL,X,O,O,O,O
TIZSOLJ,X,O,X,O,O
TIZSOJL,X,O,X,O,O
TIZOLJS,O,O,X,O,X
TIZOLSJ,O,O,X,O,X
TIZOJLS,O,O,X,O,X
TIZOJSL,O,O,X,O,O
TIZOSLJ,X,O,X,O,O
TIZOSJL,X,O,X,O,O
TIOLJSZ,O,O,O,O,X
TIOLJZS,O,O,O,O,X
TIOLSJZ,O,O,O,O,X
TIOLSZJ,O,O,X,O,X
TIOLZJS,O,O,X,O,X
TIOLZSJ,O,O,X,O,X
TIOJLSZ,O,O,O,O,X
TIOJLZS,O,O,O,O,X
TIOJSLZ,O,O,X,O,O
TIOJSZL,O,O,X,O,X
TIOJZLS,O,O,O,O,X
TIOJZSL,O,O,X,O,X
TIOSLJZ,O,O,X,O,O
TIOSLZJ,O,O,X,O,O
TIOSJLZ,O,O,X,O,O
TIOSJZL,O,O,X,O,X
TIOSZLJ,X,O,X,O,X
TIOSZJL,X,O,X,O,X
TIOZLJS,O,O,X,O,X
TIOZLSJ,O,O,X,O,X
TIOZJLS,O,O,X,O,X
TIOZJSL,O,O,X,O,X
TIOZSLJ,X,O,X,O,X
TIOZSJL,X,O,X,O,X
TLIJSZO,O,O,O,O,O
TLIJSOZ,O,O,O,O,O
TLIJZSO,O,O,O,O,O
TLIJZOS,O,O,O,O,O
TLIJOSZ,O,O,O,O,O
TLIJOZS,O,O,O,O,O
TLISJZO,O,O,O,O,O
TLISJOZ,O,O,O,O,O
TLISZJO,O,O,O,O,O
TLISZOJ,O,O,O,O,O
TLISOJZ,O,O,O,O,O
TLISOZJ,O,O,O,O,O
TLIZJSO,O,O,O,O,O
TLIZJOS,O,O,O,O,O
TLIZSJO,O,O,O,O,O
TLIZSOJ,O,O,O,O,O
TLIZOJS,O,O,X,O,O
TLIZOSJ,O,O,X,O,O
TLIOJSZ,O,O,O,O,O
TLIOJZS,O,O,O,O,O
TLIOSJZ,O,O,O,O,O
TLIOSZJ,O,O,X,O,O
TLIOZJS,O,O,X,O,O
TLIOZSJ,O,O,X,O,O
TLJISZO,O,O,O,O,O
TLJISOZ,O,O,O,O,O
TLJIZSO,O,O,O,O,O
TLJIZOS,O,O,O,O,O
TLJIOSZ,O,O,O,O,O
TLJIOZS,O,O,O,O,O
TLJSIZO,O,O,O,O,O
TLJSIOZ,O,O,O,O,O
TLJSZIO,O,O,O,O,O
TLJSZOI,O,O,O,O,O
TLJSOIZ,O,O,O,O,O
TLJSOZI,O,O,O,O,O
TLJZISO,O,O,O,O,O
TLJZIOS,O,O,O,O,O
TLJZSIO,O,O,O,O,O
TLJZSOI,O,O,O,O,O
TLJZOIS,O,O,O,O,O
TLJZOSI,O,O,O,O,O
TLJOISZ,O,O,O,O,O
TLJOIZS,O,O,O,O,O
TLJOSIZ,O,O,O,O,O
TLJOSZI,O,O,O,O,O
TLJOZIS,O,O,O,O,O
TLJOZSI,O,O,O,O,O
TLSIJZO,O,O,O,O,O
TLSIJOZ,O,O,O,O,O
TLSIZJO,O,O,O,O,O
TLSIZOJ,O,O,O,O,O
TLSIOJZ,O,O,O,O,O
TLSIOZJ,O,O,O,O,O
TLSJIZO,O,O,O,O,O
TLSJIOZ,O,O,O,O,O
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,O,O,O
TLSJOZI,O,O,O,O,O
TLSZIJO,O,O,O,O,O
TLSZIOJ,O,O,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,O,O,O,O
TLSZOJI,O,O,O,O,O
TLSOIJZ,O,O,O,O,O
TLSOIZJ,O,O,O,O,O
TLSOJIZ,O,O,O,O,O
TLSOJZI,O,O,O,O,O
TLSOZIJ,O,O,O,O,O
TLSOZJI,O,O,O,O,O
TLZIJSO,O,O,O,O,O
TLZIJOS,O,O,O,O,O
TLZISJO,O,O,O,O,O
TLZISOJ,O,O,O,O,O
TLZIOJS,O,O,X,O,O
TLZIOSJ,O,O,X,O,O
TLZJISO,O,O,O,O,O
TLZJIOS,O,O,O,O,O
TLZJSIO,O,O,O,O,O
TLZJSOI,O,O,O,O,O
TLZJOIS,O,O,O,O,O
TLZJOSI,O,O,O,O,O
TLZSIJO,O,O,O,O,O
TLZSIOJ,O,O,O,O,O
TLZSJIO,O,O,O,O,O
TLZSJOI,O,O,O,O,O
TLZSOIJ,O,O,O,O,O
TLZSOJI,O,O,O,O,O
TLZOIJS,O,O,X,O,O
