sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TILJSZO,O,X,O,O,X,X
TILJSOZ,O,X,O,O,X,X
TILJZSO,O,X,O,O,X,X
TILJZOS,O,X,X,X,X,O
TILJOSZ,O,X,X,X,X,X
TILJOZS,O,X,X,X,X,O
TILSJZO,O,O,O,O,X,X
TILSJOZ,O,O,O,O,X,X
TILSZJO,X,O,O,O,X,X
TILSZOJ,X,O,O,O,X,O
TILSOJZ,O,O,O,O,X,X
TILSOZJ,O,O,O,O,X,O
TILZJSO,O,X,O,O,X,X
TILZJOS,O,X,X,X,X,O
TILZSJO,X,O,O,O,X,X
TILZSOJ,X,O,O,O,X,O
TILZOJS,X,X,X,X,X,O
TILZOSJ,X,X,O,O,X,O
TILOJSZ,O,X,X,X,X,X
TILOJZS,O,X,X,X,X,O
TILOSJZ,O,X,O,O,X,X
TILOSZJ,O,X,O,O,X,O
TILOZJS,O,X,X,X,X,O
TILOZSJ,O,X,O,O,X,O
TIJLSZO,O,O,O,X,O,X
TIJLSOZ,O,O,O,X,O,X
TIJLZSO,O,O,O,X,O,X
TIJLZOS,O,O,X,X,O,O
TIJLOSZ,O,O,X,X,O,X
TIJLOZS,O,O,X,X,O,O
TIJSLZO,O,O,O,O,O,X
TIJSLOZ,O,O,O,X,O,X
TIJSZLO,O,O,O,O,O,X
TIJSZOL,O,O,O,O,O,X
TIJSOLZ,O,O,O,X,O,X
TIJSOZL,O,O,O,O,O,X
TIJZLSO,O,O,O,X,O,X
TIJZLOS,O,O,X,X,O,O
TIJZSLO,O,O,O,O,O,X
TIJZSOL,O,O,O,O,O,X
TIJZOLS,O,O,X,X,O,O
TIJZOSL,O,O,X,X,O,X
TIJOLSZ,O,O,X,X,O,X
TIJOLZS,O,O,X,X,O,O
TIJOSLZ,O,O,X,X,O,X
TIJOSZL,O,O,X,X,O,X
TIJOZLS,O,O,X,X,O,O
TIJOZSL,O,O,X,X,O,X
TISLJZO,O,O,O,O,X,X
TISLJOZ,O,O,O,O,X,X
TISLZJO,X,O,O,O,X,X
TISLZOJ,X,O,O,O,X,O
TISLOJZ,O,O,O,O,X,X
TISLOZJ,O,O,O,O,X,O
TISJLZO,O,O,O,O,X,X
TISJLOZ,O,O,O,O,X,X
TISJZLO,O,O,O,O,X,X
TISJZOL,O,O,O,O,X,X
TISJOLZ,O,O,O,X,X,X
TISJOZL,O,O,O,O,X,X
TISZLJO,X,O,O,O,X,X
TISZLOJ,X,O,O,O,X,O
TISZJLO,X,O,O,O,X,X
TISZJOL,X,O,O,O,X,X
TISZOLJ,O,O,O,X,X,O
TISZOJL,O,O,O,O,X,X
TISOLJZ,O,O,O,X,X,X
TISOLZJ,O,O,O,X,X,O
TISOJLZ,O,O,O,X,X,X
TISOJZL,O,O,O,O,X,X
TISOZLJ,O,O,O,X,X,O
TISOZJL,O,O,O,O,X,X
TIZLJSO,O,X,O,O,X,X
TIZLJOS,O,X,X,X,X,O
TIZLSJO,X,O,O,O,X,X
TIZLSOJ,X,O,O,O,X,O
TIZLOJS,X,X,X,X,X,O
TIZLOSJ,X,X,O,O,X,O
TIZJLSO,O,O,O,X,O,X
TIZJLOS,O,O,X,X,O,O
TIZJSLO,O,O,O,O,O,X
TIZJSOL,O,O,O,O,O,X
TIZJOLS,O,O,X,X,O,O
TIZJOSL,O,O,X,X,O,X
TIZSLJO,X,O,O,O,X,X
TIZSLOJ,X,O,O,O,X,O
TIZSJLO,X,O,O,O,X,X
TIZSJOL,X,O,O,O,X,X
TIZSOLJ,O,O,O,X,X,O
TIZSOJL,O,O,O,O,X,X
TIZOLJS,O,X,X,X,X,O
TIZOLSJ,O,X,O,X,X,O
TIZOJLS,O,X,X,X,O,O
TIZOJSL,O,X,X,X,O,X
TIZOSLJ,O,O,O,X,X,O
TIZOSJL,O,O,O,O,X,X
TIOLJSZ,O,X,X,X,X,X
TIOLJZS,O,X,X,X,X,O
TIOLSJZ,O,X,O,X,X,X
TIOLSZJ,O,X,O,X,X,O
TIOLZJS,O,X,X,X,X,O
TIOLZSJ,O,X,O,X,X,O
TIOJLSZ,O,X,X,X,O,X
TIOJLZS,O,X,X,X,O,O
TIOJSLZ,O,X,X,X,O,X
TIOJSZL,O,X,X,X,O,X
TIOJZLS,O,X,X,X,O,O
TIOJZSL,O,X,X,X,O,X
TIOSLJZ,O,O,O,X,X,X
TIOSLZJ,O,O,O,X,X,O
TIOSJLZ,O,O,O,X,X,X
TIOSJZL,O,O,O,O,X,X
TIOSZLJ,O,O,O,X,X,O
TIOSZJL,O,O,O,O,X,X
TIOZLJS,O,X,X,X,X,O
TIOZLSJ,O,X,O,X,X,O
TIOZJLS,O,X,X,X,O,O
TIOZJSL,O,X,X,X,O,X
TIOZSLJ,O,O,O,X,X,O
TIOZSJL,O,O,O,O,X,X
TLIJSZO,O,X,O,O,X,X
TLIJSOZ,O,X,O,O,X,X
TLIJZSO,O,X,O,O,X,X
TLIJZOS,O,X,X,X,X,O
TLIJOSZ,O,X,X,X,X,X
TLIJOZS,O,X,X,X,X,O
TLISJZO,O,O,O,O,X,X
TLISJOZ,O,O,O,O,X,X
TLISZJO,X,O,O,O,X,X
TLISZOJ,X,O,O,O,X,O
TLISOJZ,O,O,O,O,X,X
TLISOZJ,O,O,O,O,X,O
TLIZJSO,O,X,O,O,X,X
TLIZJOS,O,X,X,X,X,O
TLIZSJO,X,O,O,O,X,X
TLIZSOJ,X,O,O,O,X,O
TLIZOJS,X,X,X,O,X,O
TLIZOSJ,X,X,O,O,X,O
TLIOJSZ,O,X,X,O,X,X
TLIOJZS,O,X,X,O,X,O
TLIOSJZ,O,X,O,O,X,X
TLIOSZJ,O,X,O,O,X,O
TLIOZJS,O,X,X,O,X,O
TLIOZSJ,O,X,O,O,X,O
TLJISZO,O,X,O,O,X,X
TLJISOZ,O,X,O,O,X,X
TLJIZSO,O,X,O,O,X,X
TLJIZOS,O,X,X,X,X,O
TLJIOSZ,O,X,X,X,X,X
TLJIOZS,O,X,X,X,X,O
TLJSIZO,O,X,X,O,X,X
TLJSIOZ,O,X,X,O,X,X
TLJSZIO,O,X,X,O,X,X
TLJSZOI,O,X,X,O,X,X
TLJSOIZ,O,X,X,O,X,X
TLJSOZI,O,X,X,O,X,X
TLJZISO,O,X,O,O,X,X
TLJZIOS,O,X,X,X,X,O
TLJZSIO,O,X,X,O,X,X
TLJZSOI,O,X,X,O,X,X
TLJZOIS,O,X,X,X,X,O
TLJZOSI,O,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X
TLJOIZS,O,X,X,X,X,O
TLJOSIZ,O,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X
TLJOZIS,O,X,X,X,X,O
TLJOZSI,O,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,X,X
TLSIZJO,X,O,O,O,X,X
TLSIZOJ,X,O,O,O,X,O
TLSIOJZ,O,O,O,O,X,X
TLSIOZJ,O,O,O,O,X,O
TLSJIZO,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,X,X
TLSJZIO,O,O,O,O,X,X
TLSJZOI,O,O,O,O,X,X
TLSJOIZ,O,O,O,O,X,X
TLSJOZI,O,O,O,O,X,X
TLSZIJO,X,O,O,O,X,X
TLSZIOJ,X,O,O,O,X,O
TLSZJIO,X,O,O,O,X,X
TLSZJOI,X,O,O,O,X,X
TLSZOIJ,X,O,O,O,X,O
TLSZOJI,X,O,O,O,X,X
TLSOIJZ,O,O,O,O,X,X
TLSOIZJ,O,O,O,O,X,O
TLSOJIZ,O,O,O,O,X,X
TLSOJZI,O,O,O,O,X,X
TLSOZIJ,O,O,O,O,X,O
TLSOZJI,O,O,O,O,X,X
TLZIJSO,O,X,O,O,X,X
TLZIJOS,O,X,X,X,X,O
TLZISJO,X,O,O,O,X,X
TLZISOJ,X,O,O,O,X,O
TLZIOJS,X,X,X,O,X,O
TLZIOSJ,X,X,O,O,X,O
TLZJISO,O,X,O,O,X,X
TLZJIOS,O,X,X,X,X,O
TLZJSIO,O,X,X,O,X,X
TLZJSOI,O,X,X,O,X,X
TLZJOIS,O,X,X,X,X,O
TLZJOSI,O,X,X,X,X,X
TLZSIJO,X,O,O,O,X,X
TLZSIOJ,X,O,O,O,X,O
TLZSJIO,X,O,O,O,X,X
TLZSJOI,X,O,O,O,X,X
TLZSOIJ,X,O,O,O,X,O
TLZSOJI,X,O,O,O,X,X
TLZOIJS,X,X,X,O,X,O
TLZOISJ,X,X,O,O,X,O
TLZOJIS,X,X,X,O,X,O
TLZOJSI,X,X,X,O,X,X
TLZOSIJ,X,X,X,O,X,O
TLZOSJI,X,X,X,O,X,X
TLOIJSZ,O,X,X,O,X,X
TLOIJZS,O,X,X,O,X,O
TLOISJZ,O,X,O,O,X,X
TLOISZJ,O,X,O,O,X,O
TLOIZJS,O,X,X,O,X,O
TLOIZSJ,O,X,O,O,X,O
TLOJISZ,O,X,X,O,X,X
TLOJIZS,O,X,X,O,X,O
TLOJSIZ,O,X,X,O,X,X
TLOJSZI,O,X,X,O,X,X
TLOJZIS,O,X,X,O,X,O
TLOJZSI,O,X,X,O,X,X
TLOSIJZ,O,X,X,O,X,X
TLOSIZJ,O,X,X,O,X,O
TLOSJIZ,O,X,X,O,X,X
TLOSJZI,O,X,X,O,X,X
TLOSZIJ,O,X,X,O,X,O
TLOSZJI,O,X,X,O,X,X
TLOZIJS,O,X,X,O,X,O
TLOZISJ,O,X,O,O,X,O
TLOZJIS,O,X,X,O,X,O
TLOZJSI,O,X,X,O,X,X
TLOZSIJ,O,X,X,O,X,O
TLOZSJI,O,X,X,O,X,X
TJILSZO,O,O,O,X,O,X
TJILSOZ,O,O,O,X,O,X
TJILZSO,O,O,O,X,O,X
TJILZOS,O,O,X,X,O,O
TJILOSZ,O,O,X,X,O,X
TJILOZS,O,O,X,X,O,O
TJISLZO,O,O,O,O,O,X
TJISLOZ,O,O,O,X,O,X
TJISZLO,O,O,O,O,O,X
TJISZOL,O,O,O,O,O,X
TJISOLZ,O,O,O,X,O,X
TJISOZL,O,O,O,O,O,X
TJIZLSO,O,O,O,X,O,X
TJIZLOS,O,O,X,X,O,O
TJIZSLO,O,O,O,O,O,X
TJIZSOL,O,O,O,O,O,X
TJIZOLS,O,O,X,X,O,O
TJIZOSL,O,O,X,X,O,X
TJIOLSZ,O,O,X,X,O,X
TJIOLZS,O,O,X,X,O,O
TJIOSLZ,O,O,X,X,O,X
TJIOSZL,O,O,X,X,O,X
TJIOZLS,O,O,X,X,O,O
TJIOZSL,O,O,X,X,O,X
TJLISZO,O,O,O,O,O,X
TJLISOZ,O,O,O,O,O,X
