sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TILJSZO,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X
TILSZOJ,X,X,O,X,X,X
TILSOJZ,X,X,X,X,X,X
TILSOZJ,X,X,O,X,X,X
TILZJSO,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X
TILZSOJ,X,X,O,X,X,X
TILZOJS,X,X,X,X,X,O
TILZOSJ,X,X,X,X,X,O
TILOJSZ,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,O
TILOZSJ,X,X,X,X,X,O
TIJLSZO,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X
TIJZSLO,O,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X
