sequence,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBmhBziB5?oBqrBlsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gB6mBTiBe?oB5oBVxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBlhBaoB5?oBTnBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFUiBGjBFlB6?rB/tBTsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhFlgBiiB5oB0?mBznBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFTiBFlB0mB6?tBXoBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeWFJvhF1mB5oBznBi?lB8rB3sB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBaoB5oBz?mB+sBlrB
TILJSZO,O,O,O,O,X,X,X,O
TILJSOZ,O,O,O,O,X,X,X,O
TILJZSO,O,O,O,O,X,X,X,X
TILJZOS,O,O,X,X,X,O,X,X
TILJOSZ,O,O,O,O,X,X,O,O
TILJOZS,O,O,X,O,X,X,O,X
TILSJZO,O,O,O,O,X,X,X,O
TILSJOZ,O,O,O,O,X,X,X,O
TILSZJO,O,O,O,O,X,X,X,O
TILSZOJ,O,O,O,O,X,O,X,X
TILSOJZ,O,O,X,O,X,X,X,X
TILSOZJ,O,O,X,O,X,X,X,X
TILZJSO,O,O,X,O,X,X,X,X
TILZJOS,O,O,X,X,X,O,X,X
TILZSJO,O,O,X,O,X,X,X,X
TILZSOJ,O,O,X,O,X,O,X,X
TILZOJS,O,X,X,O,X,O,X,X
TILZOSJ,O,X,X,O,X,O,X,X
TILOJSZ,O,O,X,O,X,X,O,X
TILOJZS,O,O,X,O,X,X,O,X
TILOSJZ,O,O,X,O,X,X,X,X
TILOSZJ,O,O,X,O,X,X,X,X
TILOZJS,O,X,X,O,X,O,X,X
TILOZSJ,O,X,X,O,X,O,X,X
TIJLSZO,O,O,O,O,X,X,X,O
TIJLSOZ,O,O,O,O,X,X,X,O
TIJLZSO,O,O,O,O,X,X,X,X
TIJLZOS,O,O,X,X,X,O,X,X
TIJLOSZ,O,O,O,O,X,X,O,O
TIJLOZS,O,O,O,O,X,X,O,X
TIJSLZO,O,O,O,O,X,X,X,O
TIJSLOZ,O,O,O,O,X,X,X,O
TIJSZLO,X,O,O,O,X,X,X,O
TIJSZOL,X,O,O,O,X,X,X,O
TIJSOLZ,O,O,O,O,X,X,O,O
TIJSOZL,X,O,O,O,X,X,O,O
TIJZLSO,X,O,O,X,X,X,X,X
TIJZLOS,X,O,X,X,X,O,X,X
TIJZSLO,X,O,O,X,X,X,X,X
TIJZSOL,X,O,O,X,X,X,X,X
