sequence,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhF8mBziB5oBe?rBCmBXsB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhFXiB8nB5oBe?rBCmBzrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeKFJvhFzgBmiB5oBc?sBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KemAJvhFxiBTlBcsB6?tBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeXBJvhFziB5oB2qBC?sBdsB0qB
TILJSZO,O,X,X,X,O
TILJSOZ,O,X,X,X,O
TILJZSO,X,O,O,X,O
TILJZOS,X,O,X,X,O
TILJOSZ,O,X,X,X,O
TILJOZS,X,O,X,X,O
TILSJZO,O,X,X,X,X
TILSJOZ,O,X,X,X,X
TILSZJO,O,X,O,X,X
TILSZOJ,O,X,O,X,X
TILSOJZ,O,X,X,X,X
TILSOZJ,O,X,O,X,X
TILZJSO,X,O,O,X,X
TILZJOS,X,O,X,X,X
TILZSJO,X,O,O,X,X
TILZSOJ,X,X,O,X,X
TILZOJS,X,O,X,X,X
TILZOSJ,X,O,X,X,X
TILOJSZ,O,X,X,X,O
TILOJZS,X,O,X,X,O
TILOSJZ,O,X,X,X,X
TILOSZJ,O,X,O,X,X
TILOZJS,X,O,X,X,X
TILOZSJ,X,O,X,X,X
TIJLSZO,O,X,X,X,O
TIJLSOZ,O,X,X,X,O
TIJLZSO,X,O,O,X,O
TIJLZOS,X,O,X,X,O
TIJLOSZ,O,X,X,X,O
TIJLOZS,X,O,X,X,O
TIJSLZO,O,X,X,X,O
TIJSLOZ,O,X,X,X,O
TIJSZLO,O,O,X,X,X
TIJSZOL,O,O,X,X,X
TIJSOLZ,O,X,X,X,X
TIJSOZL,O,O,X,X,X
TIJZLSO,X,O,O,X,X
TIJZLOS,X,O,X,X,X
TIJZSLO,O,O,O,X,X
TIJZSOL,O,O,X,X,X
TIJZOLS,X,O,X,X,X
TIJZOSL,O,O,X,X,X
TIJOLSZ,O,X,X,X,O
TIJOLZS,X,O,X,X,O
TIJOSLZ,O,X,X,X,X
TIJOSZL,O,O,X,X,X
