sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
TILJSZO,O,X,X,O
TILJSOZ,O,X,X,O
TILJZSO,X,O,O,O
TILJZOS,X,O,X,O
TILJOSZ,O,X,X,O
TILJOZS,X,O,X,O
TILSJZO,O,X,X,X
TILSJOZ,O,X,X,X
TILSZJO,O,X,O,X
TILSZOJ,O,X,O,X
TILSOJZ,O,X,X,X
TILSOZJ,O,X,O,X
TILZJSO,X,O,O,X
TILZJOS,X,O,X,X
TILZSJO,X,O,O,X
TILZSOJ,X,X,O,X
TILZOJS,X,O,X,X
TILZOSJ,X,O,X,X
TILOJSZ,O,X,X,O
TILOJZS,X,O,X,O
TILOSJZ,O,X,X,X
TILOSZJ,O,X,O,X
TILOZJS,X,O,X,X
TILOZSJ,X,O,X,X
TIJLSZO,O,X,X,O
TIJLSOZ,O,X,X,O
TIJLZSO,X,O,O,O
TIJLZOS,X,O,X,O
TIJLOSZ,O,X,X,O
TIJLOZS,X,O,X,O
TIJSLZO,O,X,X,O
TIJSLOZ,O,X,X,O
TIJSZLO,O,O,X,X
TIJSZOL,O,O,X,X
TIJSOLZ,O,X,X,X
TIJSOZL,O,O,X,X
TIJZLSO,X,O,O,X
TIJZLOS,X,O,X,X
TIJZSLO,O,O,O,X
TIJZSOL,O,O,X,X
TIJZOLS,X,O,X,X
TIJZOSL,O,O,X,X
TIJOLSZ,O,X,X,O
TIJOLZS,X,O,X,O
TIJOSLZ,O,X,X,X
TIJOSZL,O,O,X,X
TIJOZLS,X,O,X,X
TIJOZSL,O,O,X,X
TISLJZO,O,X,X,X
TISLJOZ,O,X,X,X
TISLZJO,O,X,O,X
TISLZOJ,O,X,O,X
TISLOJZ,O,X,X,X
TISLOZJ,O,X,O,X
TISJLZO,O,X,X,X
TISJLOZ,O,X,X,X
TISJZLO,O,O,X,X
TISJZOL,O,O,X,X
TISJOLZ,O,X,X,X
TISJOZL,O,O,X,X
TISZLJO,O,O,O,X
TISZLOJ,O,X,O,X
TISZJLO,O,O,O,X
TISZJOL,O,O,X,X
TISZOLJ,O,O,X,X
TISZOJL,O,O,X,X
TISOLJZ,O,X,X,X
TISOLZJ,O,X,X,X
TISOJLZ,O,X,X,X
TISOJZL,O,O,X,X
TISOZLJ,O,O,X,X
TISOZJL,O,O,X,X
TIZLJSO,X,O,O,X
TIZLJOS,X,O,X,X
TIZLSJO,X,O,O,X
TIZLSOJ,X,X,O,X
TIZLOJS,X,O,X,X
TIZLOSJ,X,O,X,X
TIZJLSO,X,O,O,X
TIZJLOS,X,O,X,X
TIZJSLO,O,O,O,X
TIZJSOL,O,O,X,X
TIZJOLS,X,O,X,X
TIZJOSL,O,O,X,X
TIZSLJO,O,O,O,X
TIZSLOJ,O,X,O,X
