sequence,v115@RhA8EeB8AeC8BeF8Jei/IvhFRhB3iBcoBTmBGqBFqB,v115@RhA8EeB8AeC8BeF8Je/EJvhFUgBamBumBxnBFoBTqB,v115@RhA8EeB8AeC8BeF8JeT/IvhF/lBxiBimBFoBGmBUqB,v115@RhA8EeB8AeC8BeF8JeT/IvhFxgBliBcoB3mBGqBiqB,v115@RhA8EeB8AeC8BeF8JezAJvhFRiBcoBlkBCnBmkB3qB,v115@RhA8EeB8AeC8BeF8Jex/IvhF3iBcoBlkBGmBimBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFzgBumBxnB0kBFoB3qB,v115@RhA8EeB8AeC8BeF8JeT/IvhFumB3iBcoBRqBiqBlqB,v115@RhA8EeB8AeC8BeF8JeSIJvhFxkBlmB0kBXmBmnBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFumBzlBxnB0kBFoB3qB
TILJSZO,X,O,X,X,X,X,X,X,O,X
TILJSOZ,X,X,X,X,X,X,O,X,O,X
TILJZSO,X,X,O,X,X,O,X,X,O,X
TILJZOS,X,X,O,X,X,X,X,X,O,X
TILJOSZ,X,O,X,X,X,X,X,X,O,O
TILJOZS,X,X,O,X,X,X,X,X,O,O
TILSJZO,X,O,X,X,X,X,X,X,O,X
TILSJOZ,X,X,X,X,X,X,O,X,O,X
TILSZJO,X,O,O,X,O,X,X,X,O,X
TILSZOJ,X,X,O,X,O,X,X,X,O,X
TILSOJZ,X,X,X,X,X,X,O,X,O,X
TILSOZJ,X,X,O,X,O,X,X,X,O,X
TILZJSO,X,X,O,X,O,O,X,X,O,X
TILZJOS,X,X,O,X,X,X,X,X,O,X
TILZSJO,X,X,O,X,O,O,X,X,O,X
TILZSOJ,X,X,O,X,O,X,X,X,O,X
TILZOJS,X,X,O,X,X,X,X,X,O,X
TILZOSJ,X,X,O,X,O,X,X,X,O,X
TILOJSZ,X,O,X,X,X,X,X,X,O,O
TILOJZS,X,X,O,X,X,X,X,X,O,O
TILOSJZ,X,O,X,X,X,X,X,X,O,X
