sequence,v115@MhB8CeA8DeC8BeB8DeD8Jei/IvhFRhBziB+oBfqBUr?BlqB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFihBziB+oB0lBFl?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFUgBRhBKrBFoBGo?BTqB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihBXlBFoB0lBGo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFRhBGjBKrBUoBFq?B/qB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFRhBziB+oBlqBaq?BUrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihB0lBGoBXlBFo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Jex/IvhFCjB0kBToB3qBmq?BlrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFGjBllBUoBXlBim?BxvB
TILJSZO,X,O,O,X,X,O,X,X,X
TILJSOZ,X,O,X,O,X,O,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,O,X,X
TILJOSZ,O,O,O,O,X,O,X,X,X
TILJOZS,O,O,X,X,X,X,O,X,X
TILSJZO,X,O,O,X,X,O,X,X,X
TILSJOZ,X,O,X,O,X,O,X,X,X
TILSZJO,X,O,O,X,X,X,X,X,X
TILSZOJ,X,X,O,O,X,X,X,X,X
TILSOJZ,X,X,O,O,X,X,X,X,X
TILSOZJ,X,X,O,O,X,X,X,X,X
TILZJSO,X,O,X,X,O,X,X,X,X
TILZJOS,X,O,X,X,O,X,O,X,O
TILZSJO,X,O,O,X,O,X,X,X,X
TILZSOJ,X,X,O,O,O,X,X,X,X
TILZOJS,X,X,X,X,O,X,O,X,O
TILZOSJ,X,X,O,O,O,X,X,X,X
TILOJSZ,X,X,O,O,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,O,X,X
TILOSJZ,X,X,O,O,X,X,X,X,X
TILOSZJ,X,X,O,O,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,O,X,O
TILOZSJ,X,X,O,O,O,X,X,X,X
TIJLSZO,X,O,O,X,X,O,X,X,X
TIJLSOZ,X,O,X,O,X,O,X,X,X
TIJLZSO,X,O,X,X,X,X,X,X,X
