sequence,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeOEJvhFXgBaoBRmBc?sBlmBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeT/IvhFxgBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFiiBxkBfsBz?nBmkB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jex/IvhFXhB8mBziBl?pBisBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jel/IvhFUhBziB2pBR?sBasBXqB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeXAJvhFVmBziB2pBR?sBasB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUAJvhFRhBziBlmBm?pBisB/pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFmiBxkBfsB0?nBikBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFziB/pBFlBR?sBasBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JexAJvhFTkBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFeoBxkBXnBi?kBzpBFsB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFTiBeoBxkBf?sBypB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFxkBlnBikBf?sBmnBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Je0/IvhFziB/pBRmBO?qBlmBisB
TILJSZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TILJZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TILSZJO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TILSOJZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TILZJSO,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TILZJOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TILZSOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TILZOJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TILZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TILOJSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOZJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TIJLZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X
