sequence,v115@AhA8IeB8GeC8EeF8Nem/IvhFxhB6oBTkBfsBUtBlsB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBUjBTkBXnBStBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBlhBXnBToBCoBxxB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBTkB6tBRsBcsBXtB,v115@AhA8IeB8GeC8EeF8NeKEJvhFzfB0hBxiBFsBXtBGtB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBlkB+tBikBRsBTsB,v115@AhA8IeB8GeC8EeF8Nei/IvhFziB+oB3kBUnBlmBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBxhBzmBFtB6tB3sB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBikB+tBlkBRsBTsB,v115@AhA8IeB8GeC8EeF8Ne2EJvhFziB5oBUnB3kBlmByxB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFTjBlkBWtBikBXnBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBlkBWtBikB0mBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBikBWtBlkB0mBxxB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
TILJOSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
TILJOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
TILSJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,O,X,X,X,X,O,O,X,X
TILZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,O,O,X,X,X,X,O,X,X,X
TILZOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,O,X,X,X,X,X,O,X,X,X
TILOSJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X
TILOZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O
TIJLZSO,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
TIJLOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
TIJSLZO,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,O,X,X,X,X,O,O
TIJSZLO,O,X,O,X,X,O,O,X,X,X,X,X,X
TIJSZOL,X,O,O,X,X,O,O,X,X,X,O,O,X
TIJSOLZ,X,O,X,X,X,X,O,X,X,X,X,O,O
TIJSOZL,X,O,O,X,X,O,O,X,X,X,O,O,X
TIJZLSO,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJZSLO,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJZSOL,X,X,O,X,X,O,O,X,X,X,O,O,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJZOSL,X,X,O,X,X,O,O,X,X,X,O,O,X
TIJOLSZ,X,O,X,O,X,X,X,X,X,X,X,O,O
TIJOLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJOSLZ,X,O,X,O,X,X,O,X,X,X,X,O,O
TIJOSZL,X,O,X,X,X,O,O,X,X,X,O,O,X
TIJOZLS,X,X,X,O,X,X,X,X,X,X,O,X,X
TIJOZSL,X,O,X,X,X,O,O,X,X,X,O,O,X
TISLJZO,X,X,X,X,O,X,O,X,X,X,X,X,X
TISLJOZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TISLZJO,X,X,O,X,O,X,O,X,X,X,X,X,X
TISLZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TISLOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TISLOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJZLO,O,X,O,X,X,X,O,X,X,X,X,X,X
TISJZOL,X,O,O,X,X,X,O,X,X,X,O,O,X
TISJOLZ,X,O,X,X,X,X,O,X,X,X,X,O,X
TISJOZL,X,O,O,X,X,X,O,X,X,X,O,O,X
TISZLJO,O,X,O,X,O,X,O,X,X,X,X,X,X
TISZLOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,X,O,X,O,X,X,X,X,X,X
TISZJOL,X,O,O,X,X,X,O,X,X,X,O,X,X
TISZOLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
