sequence,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgB6nBTjBtqB3rBmrB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgBXiBTjBtqBSsB2wB,v115@HhA8IeC8EeE8DeC8Je0/IvhF6lBNmBTjBXnBGnBRwB,v115@HhA8IeC8EeE8DeC8Jex/IvhFihB9nBTjBfsBUrBGqB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxhBTjBdrBWsB6qBXsB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgB+nBTjBqqB/rBdsB,v115@HhA8IeC8EeE8DeC8Je0/IvhFGjBRmB3nB6qBNrBzrB
TILJSZO,X,O,O,X,X,X,X
TILJSOZ,X,O,O,X,X,X,X
TILJZSO,X,O,O,X,X,X,X
TILJZOS,O,O,O,X,X,X,X
TILJOSZ,X,O,O,X,X,X,X
TILJOZS,O,O,O,X,X,X,X
TILSJZO,O,O,O,X,X,X,X
TILSJOZ,O,O,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X
TILSOJZ,O,O,O,X,X,X,X
TILSOZJ,O,O,O,X,X,X,X
TILZJSO,X,O,O,X,X,X,X
TILZJOS,O,O,O,X,X,X,X
TILZSJO,O,O,O,O,X,X,X
TILZSOJ,O,O,O,O,X,X,X
TILZOJS,O,O,O,X,X,X,X
TILZOSJ,O,O,O,O,X,X,X
TILOJSZ,X,O,O,X,X,X,X
TILOJZS,O,O,O,X,X,X,X
TILOSJZ,O,O,O,X,X,X,X
TILOSZJ,O,O,O,X,X,X,X
TILOZJS,O,O,O,X,X,X,X
TILOZSJ,O,O,O,O,X,X,X
TIJLSZO,X,O,O,X,O,X,X
TIJLSOZ,X,O,O,X,O,X,X
TIJLZSO,X,O,O,X,O,X,X
TIJLZOS,O,O,O,X,O,X,X
TIJLOSZ,X,O,O,X,O,X,X
TIJLOZS,O,O,O,X,O,X,X
TIJSLZO,O,X,O,X,O,X,X
TIJSLOZ,O,X,O,X,O,X,X
TIJSZLO,O,X,O,X,O,X,X
TIJSZOL,O,X,O,X,O,X,X
TIJSOLZ,O,X,O,X,O,X,X
TIJSOZL,O,X,O,X,O,X,X
TIJZLSO,X,O,O,X,O,X,X
TIJZLOS,O,O,O,X,O,X,X
TIJZSLO,O,X,O,O,O,X,X
TIJZSOL,O,X,O,O,O,X,X
TIJZOLS,O,O,O,X,O,X,X
TIJZOSL,O,X,O,O,O,X,X
TIJOLSZ,X,O,O,X,O,X,X
TIJOLZS,O,O,O,X,O,X,X
TIJOSLZ,O,X,O,X,O,X,X
TIJOSZL,O,X,O,X,O,X,X
TIJOZLS,O,O,O,X,O,X,X
TIJOZSL,O,X,O,O,O,X,X
TISLJZO,O,O,O,X,X,X,X
TISLJOZ,O,O,O,X,X,X,X
TISLZJO,O,O,O,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X
TISLOJZ,O,O,O,X,X,X,X
TISLOZJ,O,O,O,X,X,X,X
TISJLZO,O,X,O,X,X,X,X
TISJLOZ,O,X,O,X,X,X,X
TISJZLO,O,X,O,X,X,X,X
TISJZOL,O,X,O,X,X,X,X
TISJOLZ,O,X,O,X,X,X,X
TISJOZL,O,X,O,X,X,X,X
TISZLJO,O,O,O,O,X,X,X
TISZLOJ,O,O,O,O,X,X,X
TISZJLO,O,X,O,O,X,X,X
TISZJOL,O,X,O,O,X,X,X
TISZOLJ,O,O,O,O,X,X,X
TISZOJL,O,X,O,O,X,X,X
TISOLJZ,O,O,O,X,X,X,X
TISOLZJ,O,O,O,X,X,X,X
TISOJLZ,O,X,O,X,X,X,X
TISOJZL,O,X,O,X,X,X,X
TISOZLJ,O,O,O,O,X,X,X
TISOZJL,O,X,O,O,X,X,X
TIZLJSO,X,O,O,X,X,X,X
TIZLJOS,O,O,O,X,X,X,X
TIZLSJO,O,O,O,O,X,X,X
TIZLSOJ,O,O,O,O,X,X,X
TIZLOJS,O,O,O,X,X,X,X
TIZLOSJ,O,O,O,O,X,X,X
TIZJLSO,X,O,O,X,O,X,X
TIZJLOS,O,O,O,X,O,X,X
TIZJSLO,O,X,O,O,O,X,X
TIZJSOL,O,X,O,O,O,X,X
TIZJOLS,O,O,O,X,O,X,X
TIZJOSL,O,X,O,O,O,X,X
TIZSLJO,O,O,O,O,X,X,X
TIZSLOJ,O,O,O,O,X,X,X
TIZSJLO,O,X,O,O,X,X,X
TIZSJOL,O,X,O,O,X,X,X
TIZSOLJ,O,O,O,O,X,X,X
TIZSOJL,O,X,O,O,X,X,X
TIZOLJS,O,O,O,X,X,X,X
TIZOLSJ,O,O,O,O,X,X,X
TIZOJLS,O,O,O,X,O,X,X
TIZOJSL,O,X,O,O,O,X,X
TIZOSLJ,O,O,O,O,X,X,X
TIZOSJL,O,X,O,O,X,X,X
TIOLJSZ,X,O,O,X,X,X,X
TIOLJZS,O,O,O,X,X,X,X
TIOLSJZ,O,O,O,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X
TIOLZJS,O,O,O,X,X,X,X
TIOLZSJ,O,O,O,O,X,X,X
TIOJLSZ,X,O,O,X,O,X,X
TIOJLZS,O,O,O,X,O,X,X
TIOJSLZ,O,X,O,X,O,X,X
TIOJSZL,O,X,O,X,O,X,X
TIOJZLS,O,O,O,X,O,X,X
TIOJZSL,O,X,O,O,O,X,X
TIOSLJZ,O,O,O,X,X,X,X
TIOSLZJ,O,O,O,X,X,X,X
TIOSJLZ,O,X,O,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X
TIOSZLJ,O,O,O,O,X,X,X
