sequence,v115@RhB8CeB8CeA8BeG8Je2EJvhFRgBUiBFmBToBCoBXqB,v115@RhB8CeB8CeA8BeG8Jex/IvhFOmBXiB6oBcqBznBlpB,v115@RhB8CeB8CeA8BeG8JeT/IvhFUiBFjBxlBStBmlBXqB,v115@RhB8CeB8CeA8BeG8JeyEJvhFxiB3lBGnBToBFmB0pB,v115@RhB8CeB8CeA8BeG8JeFAJvhFxhBTjBcqBimBWtB/pB,v115@RhB8CeB8CeA8BeG8JeFCJvhFTjBxkBXmBWtBilB0pB,v115@RhB8CeB8CeA8BeG8JeOGJvhFXiBxkBCoBcqBToBlpB,v115@RhB8CeB8CeA8BeG8JeyEJvhFFmBxnB3lBGnBToB0pB
TILJSZO,X,X,X,X,X,X,O,O
TILJSOZ,X,X,X,X,X,O,O,O
TILJZSO,X,X,X,X,X,X,X,O
TILJZOS,O,X,O,X,X,X,X,O
TILJOSZ,X,X,X,X,X,O,X,O
TILJOZS,O,X,O,X,X,X,X,O
TILSJZO,X,X,X,X,X,X,O,O
TILSJOZ,X,X,X,X,X,O,O,O
TILSZJO,X,X,X,X,X,X,X,O
TILSZOJ,X,X,O,X,X,X,X,O
TILSOJZ,X,X,X,X,X,X,X,O
TILSOZJ,X,X,O,X,X,X,X,O
TILZJSO,X,X,X,X,X,X,X,O
TILZJOS,O,X,O,X,X,X,X,O
TILZSJO,X,X,X,X,X,X,X,O
TILZSOJ,X,X,O,X,X,X,X,O
TILZOJS,O,X,O,X,X,X,X,O
TILZOSJ,X,X,O,X,X,X,X,O
TILOJSZ,X,X,X,X,X,X,X,O
TILOJZS,O,X,O,X,X,X,X,O
TILOSJZ,X,X,X,X,X,X,X,O
TILOSZJ,X,X,O,X,X,X,X,O
TILOZJS,O,X,O,X,X,X,X,O
TILOZSJ,X,X,O,X,X,X,X,O
TIJLSZO,X,X,X,X,X,X,O,O
TIJLSOZ,X,X,X,X,X,O,O,O
TIJLZSO,X,X,X,X,X,X,X,O
TIJLZOS,O,X,X,X,X,X,X,O
TIJLOSZ,X,X,X,X,X,O,X,O
TIJLOZS,O,X,X,X,X,X,X,O
TIJSLZO,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,X,X,O,O,X
TIJSZLO,X,X,X,X,X,X,X,X
