sequence,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBCnBFmB0qBXsB,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBSsBlqBfsBUrB,v115@PhD8FeE8DeC8JeT/IvhF3gB1mBxiBcsB2qBSwB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBFsBCsBXrB,v115@PhD8FeE8DeC8JeT/IvhFxiB2qBSsBfsBUrBlqB,v115@PhD8FeE8DeC8JeT/IvhFXhBxiB2qBCsBFsB0qB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBCsBFsBXrB
TILJSZO,X,O,X,O,O,X,X
TILJSOZ,X,O,X,O,O,X,X
TILJZSO,X,O,X,O,X,X,X
TILJZOS,X,O,X,O,X,X,X
TILJOSZ,X,O,X,O,O,X,X
TILJOZS,X,O,X,O,X,X,X
TILSJZO,X,O,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,X
TILSZOJ,X,O,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X
TILSOZJ,X,O,X,X,X,X,X
TILZJSO,X,O,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X
TILOJSZ,X,O,X,O,O,X,X
TILOJZS,X,O,X,O,X,X,X
TILOSJZ,X,O,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X
TILOZJS,X,O,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X
TIJLSZO,X,O,X,O,O,X,X
TIJLSOZ,X,O,X,O,O,X,X
TIJLZSO,X,O,X,O,X,X,X
TIJLZOS,X,O,X,O,X,X,X
TIJLOSZ,X,O,X,O,O,X,X
TIJLOZS,X,O,X,O,X,X,X
TIJSLZO,X,O,X,O,X,X,X
TIJSLOZ,X,O,X,O,X,X,X
TIJSZLO,X,X,X,O,X,X,X
TIJSZOL,X,X,X,O,X,X,X
TIJSOLZ,X,O,X,O,X,X,X
TIJSOZL,X,X,X,O,X,X,X
TIJZLSO,X,O,X,O,X,X,X
TIJZLOS,X,O,X,O,X,X,X
TIJZSLO,X,X,X,O,X,X,X
TIJZSOL,X,X,X,O,X,X,X
TIJZOLS,X,O,X,O,X,X,X
TIJZOSL,X,X,X,O,X,X,X
TIJOLSZ,X,O,X,O,O,X,X
TIJOLZS,X,O,X,O,X,X,X
TIJOSLZ,X,O,X,O,X,X,X
TIJOSZL,X,X,X,O,X,X,X
TIJOZLS,X,O,X,O,X,X,X
TIJOZSL,X,X,X,O,X,X,X
TISLJZO,X,O,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X
TISJLZO,X,O,X,O,X,X,X
TISJLOZ,X,O,X,O,X,X,X
TISJZLO,X,X,X,O,X,X,X
TISJZOL,X,X,X,O,X,X,X
TISJOLZ,X,O,X,O,X,X,X
TISJOZL,X,X,X,O,X,X,X
TISZLJO,O,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X
TISZOLJ,O,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X
TISOJLZ,X,O,X,O,X,X,X
TISOJZL,X,X,X,O,X,X,X
TISOZLJ,O,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X
TIZLJSO,X,O,O,X,X,X,X
TIZLJOS,X,O,O,X,X,X,X
TIZLSJO,X,O,O,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,X
TIZLOJS,X,O,O,X,X,X,X
TIZLOSJ,X,O,O,X,X,X,X
TIZJLSO,X,O,O,O,X,X,X
TIZJLOS,X,O,O,O,X,X,X
TIZJSLO,O,X,X,O,X,X,X
TIZJSOL,O,X,O,O,X,X,X
TIZJOLS,X,O,O,O,X,X,X
TIZJOSL,O,X,O,O,X,X,X
TIZSLJO,O,X,O,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X
TIZSOLJ,O,X,O,X,X,X,X
TIZSOJL,O,X,O,X,X,X,X
TIZOLJS,X,O,O,X,X,X,X
TIZOLSJ,X,O,O,X,X,X,X
TIZOJLS,X,O,O,O,X,X,X
TIZOJSL,O,X,O,O,X,X,X
TIZOSLJ,O,X,O,X,X,X,X
TIZOSJL,O,X,O,X,X,X,X
TIOLJSZ,X,O,X,O,O,X,X
TIOLJZS,X,O,X,O,X,X,X
TIOLSJZ,X,O,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X
TIOLZJS,X,O,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X
TIOJLSZ,X,O,X,O,O,X,X
TIOJLZS,X,O,X,O,X,X,X
TIOJSLZ,X,O,X,O,X,X,X
TIOJSZL,X,X,X,O,X,X,X
TIOJZLS,X,O,X,O,X,X,X
TIOJZSL,X,X,X,O,X,X,X
TIOSLJZ,X,O,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X
TIOSJLZ,X,O,X,O,X,X,X
TIOSJZL,X,X,X,O,X,X,X
TIOSZLJ,O,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X
TIOZLJS,X,O,O,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X
TIOZJLS,X,O,O,O,X,X,X
TIOZJSL,O,X,O,O,X,X,X
TIOZSLJ,O,X,O,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X
TLIJSZO,X,O,X,O,O,X,X
TLIJSOZ,X,O,X,O,O,X,X
TLIJZSO,X,O,X,O,X,X,X
TLIJZOS,X,O,X,O,X,X,X
TLIJOSZ,X,O,X,O,O,X,X
