sequence,v115@NhA8CeA8DeB8BeC8CeE8Jei/IvhFRhBunBcoBzkB3q?BFrB,v115@NhA8CeA8DeB8BeC8CeE8Jex/IvhFlhBqnBTjB0kB3q?BmqB,v115@NhA8CeA8DeB8BeC8CeE8JeT/IvhF0gBlhBCjBXoBRq?B2vB,v115@NhA8CeA8DeB8BeC8CeE8Je2EJvhFlhBqnBTjBRqBfr?BUqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFUgBRhBOrBFoBCo?BTqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFRhBGjBFmBznB0q?BaqB
TILJSZO,X,X,X,O,O,X
TILJSOZ,X,X,X,O,X,X
TILJZSO,X,X,X,O,X,X
TILJZOS,X,X,X,O,X,X
TILJOSZ,X,X,X,O,O,X
TILJOZS,X,X,X,O,X,X
TILSJZO,X,X,O,O,O,X
TILSJOZ,X,X,O,O,X,X
TILSZJO,X,O,O,O,X,X
TILSZOJ,X,O,O,O,X,X
TILSOJZ,X,X,O,O,X,X
TILSOZJ,X,O,O,O,X,X
TILZJSO,O,X,X,O,X,X
TILZJOS,O,O,X,O,X,X
TILZSJO,X,O,O,O,X,X
TILZSOJ,X,O,O,O,X,O
TILZOJS,X,O,X,O,X,O
TILZOSJ,X,O,O,O,X,O
TILOJSZ,X,X,X,O,X,X
TILOJZS,X,X,X,O,X,O
TILOSJZ,X,X,O,O,X,X
TILOSZJ,X,O,O,O,X,X
TILOZJS,X,O,X,O,X,O
TILOZSJ,X,O,O,O,X,O
TIJLSZO,X,X,X,O,O,X
TIJLSOZ,X,X,X,O,X,X
TIJLZSO,X,X,X,O,X,X
TIJLZOS,X,X,X,O,X,X
TIJLOSZ,X,X,X,O,O,X
TIJLOZS,X,X,X,O,X,X
TIJSLZO,X,X,O,O,O,X
TIJSLOZ,X,X,O,O,X,X
TIJSZLO,X,X,O,X,O,X
TIJSZOL,X,X,O,X,O,X
TIJSOLZ,X,X,O,X,O,X
TIJSOZL,X,X,O,X,O,X
TIJZLSO,X,X,X,O,X,X
TIJZLOS,X,X,X,O,X,X
TIJZSLO,X,X,O,X,O,X
TIJZSOL,X,X,O,X,O,O
TIJZOLS,X,X,X,X,X,O
TIJZOSL,X,X,O,X,O,O
TIJOLSZ,X,X,X,O,O,X
TIJOLZS,X,X,X,O,X,O
TIJOSLZ,X,X,O,X,O,X
TIJOSZL,X,X,O,X,O,O
TIJOZLS,X,X,X,X,X,O
TIJOZSL,X,X,O,X,O,O
TISLJZO,X,X,O,O,O,X
TISLJOZ,X,X,O,O,X,X
TISLZJO,O,O,O,O,X,X
TISLZOJ,X,O,O,O,X,X
TISLOJZ,X,X,O,O,X,X
TISLOZJ,X,O,O,O,X,X
TISJLZO,X,X,O,O,O,X
TISJLOZ,X,X,O,O,X,X
TISJZLO,X,X,O,X,O,X
TISJZOL,X,X,O,X,O,X
TISJOLZ,X,X,O,X,O,X
TISJOZL,X,X,O,X,O,X
TISZLJO,O,O,O,X,X,X
TISZLOJ,X,O,O,X,X,O
TISZJLO,O,O,O,X,O,X
TISZJOL,O,X,O,X,O,O
TISZOLJ,O,O,O,X,X,O
TISZOJL,O,X,O,X,X,O
TISOLJZ,X,X,O,X,X,X
TISOLZJ,O,X,O,X,X,X
TISOJLZ,X,X,O,X,O,X
TISOJZL,X,X,O,X,O,O
TISOZLJ,O,X,O,X,X,O
TISOZJL,O,X,O,X,O,O
TIZLJSO,O,X,X,O,X,X
TIZLJOS,O,O,X,O,X,X
TIZLSJO,X,O,O,O,X,X
TIZLSOJ,X,O,O,O,X,O
TIZLOJS,X,O,X,O,X,O
TIZLOSJ,X,O,O,O,X,O
TIZJLSO,O,X,X,O,X,X
TIZJLOS,O,O,X,O,X,X
TIZJSLO,O,X,O,X,O,X
TIZJSOL,O,X,O,X,O,O
TIZJOLS,O,X,X,X,X,O
TIZJOSL,X,X,O,X,O,O
TIZSLJO,O,O,O,X,X,X
TIZSLOJ,X,O,O,X,X,O
TIZSJLO,O,O,O,X,O,X
TIZSJOL,O,X,O,X,O,O
TIZSOLJ,O,O,O,X,X,O
TIZSOJL,O,X,O,X,X,O
TIZOLJS,O,O,X,X,X,O
TIZOLSJ,X,O,O,X,X,O
TIZOJLS,O,X,X,X,X,O
TIZOJSL,X,X,O,X,X,O
TIZOSLJ,X,X,O,X,X,O
TIZOSJL,X,X,O,X,X,O
TIOLJSZ,X,X,X,O,X,X
TIOLJZS,X,X,X,O,X,O
TIOLSJZ,X,X,O,O,X,X
TIOLSZJ,X,X,O,O,X,X
TIOLZJS,O,X,X,O,X,O
TIOLZSJ,X,X,O,O,X,O
TIOJLSZ,X,X,X,O,O,X
TIOJLZS,X,X,X,O,X,O
TIOJSLZ,X,X,O,X,O,X
TIOJSZL,X,X,O,X,O,O
TIOJZLS,X,X,X,X,X,O
TIOJZSL,X,X,O,X,O,O
TIOSLJZ,X,X,O,X,X,X
TIOSLZJ,X,X,O,X,X,X
TIOSJLZ,X,X,O,X,O,X
TIOSJZL,X,X,O,X,O,O
TIOSZLJ,X,X,O,X,X,O
TIOSZJL,X,X,O,X,O,O
TIOZLJS,O,X,X,X,X,O
TIOZLSJ,X,X,O,X,X,O
TIOZJLS,O,X,X,X,X,O
TIOZJSL,X,X,O,X,X,O
TIOZSLJ,X,X,O,X,X,O
TIOZSJL,X,X,O,X,X,O
TLIJSZO,X,X,X,O,O,X
TLIJSOZ,X,X,X,O,X,X
TLIJZSO,X,X,X,O,X,X
TLIJZOS,X,X,X,O,X,X
TLIJOSZ,X,X,X,O,O,X
TLIJOZS,X,X,X,O,X,X
TLISJZO,X,X,O,O,O,X
TLISJOZ,X,X,O,O,X,X
TLISZJO,X,O,O,O,X,X
TLISZOJ,X,O,O,O,X,X
TLISOJZ,X,X,O,O,X,X
TLISOZJ,X,O,O,O,X,X
TLIZJSO,O,X,X,O,X,X
TLIZJOS,O,O,X,O,X,X
TLIZSJO,X,O,O,O,X,X
TLIZSOJ,X,O,O,O,X,O
TLIZOJS,X,O,X,O,X,O
TLIZOSJ,X,O,O,O,X,O
TLIOJSZ,X,X,X,O,X,X
TLIOJZS,X,X,X,O,X,O
TLIOSJZ,X,X,O,O,X,X
TLIOSZJ,X,O,O,O,X,X
TLIOZJS,X,O,X,O,X,O
TLIOZSJ,X,O,O,O,X,O
TLJISZO,X,X,X,O,O,X
TLJISOZ,X,X,X,O,X,X
TLJIZSO,X,X,X,O,X,X
TLJIZOS,X,X,X,O,X,X
TLJIOSZ,X,X,X,O,O,X
TLJIOZS,X,X,X,O,X,X
TLJSIZO,X,X,X,O,O,X
TLJSIOZ,X,X,X,O,X,X
TLJSZIO,X,O,X,X,O,X
TLJSZOI,X,O,X,X,O,X
TLJSOIZ,X,X,X,O,O,X
TLJSOZI,X,O,X,X,O,X
TLJZISO,X,X,X,O,X,X
TLJZIOS,X,O,X,O,X,X
TLJZSIO,X,O,X,X,X,X
TLJZSOI,X,O,X,X,X,X
TLJZOIS,X,O,X,O,X,X
TLJZOSI,X,O,X,X,X,X
TLJOISZ,X,X,X,O,O,X
TLJOIZS,X,X,X,O,X,X
TLJOSIZ,X,X,X,O,O,X
TLJOSZI,X,O,X,X,O,X
TLJOZIS,X,O,X,O,X,X
TLJOZSI,X,O,X,X,X,X
TLSIJZO,X,X,O,O,O,X
TLSIJOZ,X,X,O,O,X,X
TLSIZJO,O,O,O,O,X,X
TLSIZOJ,X,O,O,O,X,X
TLSIOJZ,X,X,O,O,X,X
TLSIOZJ,X,O,O,O,X,X
TLSJIZO,X,X,O,O,O,X
TLSJIOZ,X,X,O,O,X,X
TLSJZIO,X,O,X,X,O,X
TLSJZOI,X,O,X,X,O,X
TLSJOIZ,X,X,O,O,O,X
TLSJOZI,X,O,X,X,O,X
TLSZIJO,O,O,O,X,X,X
TLSZIOJ,X,O,O,X,X,X
TLSZJIO,O,O,X,X,O,X
TLSZJOI,X,O,X,X,O,X
TLSZOIJ,X,O,O,X,X,X
TLSZOJI,X,O,X,X,X,X
TLSOIJZ,X,X,O,O,X,X
TLSOIZJ,X,O,O,O,X,X
TLSOJIZ,X,X,O,O,O,X
TLSOJZI,X,O,X,X,O,X
TLSOZIJ,X,O,O,X,X,X
TLSOZJI,X,O,X,X,O,X
TLZIJSO,O,X,X,O,X,X
TLZIJOS,O,O,X,O,X,X
TLZISJO,X,O,X,O,X,X
TLZISOJ,X,O,X,O,X,O
