sequence,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBxhB8nB1qBzr?BirB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFlgB3hBziBUlBxr?BywB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBKnBziBxqBFr?B0rB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhF8mBziBikB1qBXs?BOrB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhFXhBziBikBmqBFs?B8rB
TILJSZO,X,X,O,O,O
TILJSOZ,X,X,O,O,O
TILJZSO,X,X,O,X,O
TILJZOS,X,X,O,X,O
TILJOSZ,X,X,O,O,O
TILJOZS,X,X,O,X,O
TILSJZO,X,X,O,O,O
TILSJOZ,X,X,O,O,O
TILSZJO,X,X,X,O,X
TILSZOJ,X,X,X,O,X
TILSOJZ,X,X,O,O,O
TILSOZJ,X,X,X,O,X
TILZJSO,X,X,X,X,O
TILZJOS,X,X,X,X,O
TILZSJO,X,X,X,O,X
TILZSOJ,X,X,X,O,X
TILZOJS,X,X,X,X,O
TILZOSJ,X,X,X,O,X
TILOJSZ,X,X,O,O,O
TILOJZS,X,X,O,X,O
TILOSJZ,X,X,O,O,O
TILOSZJ,X,X,X,O,X
TILOZJS,X,X,X,X,O
TILOZSJ,X,X,X,O,X
TIJLSZO,X,X,O,X,O
TIJLSOZ,X,X,O,X,O
TIJLZSO,X,X,O,X,O
TIJLZOS,X,X,O,X,O
TIJLOSZ,X,X,O,X,O
TIJLOZS,X,X,O,X,O
TIJSLZO,X,X,O,X,X
TIJSLOZ,X,O,O,X,X
TIJSZLO,O,O,X,X,X
TIJSZOL,O,O,X,X,X
TIJSOLZ,X,O,O,X,X
TIJSOZL,O,O,X,X,X
TIJZLSO,O,O,X,X,X
TIJZLOS,X,O,X,X,X
TIJZSLO,O,O,X,X,X
TIJZSOL,O,O,X,X,X
TIJZOLS,O,O,X,X,X
TIJZOSL,O,O,X,X,X
TIJOLSZ,X,X,O,X,O
TIJOLZS,X,X,O,X,O
TIJOSLZ,X,O,O,X,X
TIJOSZL,O,O,X,X,X
TIJOZLS,O,O,X,X,X
TIJOZSL,O,O,X,X,X
TISLJZO,X,X,O,O,X
TISLJOZ,X,O,O,O,X
TISLZJO,X,X,X,O,X
TISLZOJ,X,X,X,O,X
TISLOJZ,X,O,O,O,X
TISLOZJ,X,X,X,O,X
TISJLZO,X,X,O,X,X
TISJLOZ,X,O,O,X,X
TISJZLO,O,O,X,X,X
TISJZOL,O,O,X,X,X
TISJOLZ,X,O,O,X,X
TISJOZL,O,O,X,X,X
TISZLJO,O,O,X,O,X
TISZLOJ,X,O,X,O,X
TISZJLO,O,O,X,X,X
TISZJOL,O,O,X,X,X
TISZOLJ,O,O,X,O,X
TISZOJL,O,O,X,X,X
TISOLJZ,X,O,O,O,X
TISOLZJ,X,X,X,O,X
TISOJLZ,X,O,O,X,X
TISOJZL,O,O,X,X,X
TISOZLJ,O,O,X,O,X
TISOZJL,O,O,X,X,X
TIZLJSO,O,O,X,X,X
TIZLJOS,X,O,X,X,X
TIZLSJO,O,O,X,X,X
TIZLSOJ,X,O,X,X,X
TIZLOJS,X,O,X,X,X
TIZLOSJ,X,O,X,X,X
TIZJLSO,O,O,X,X,X
TIZJLOS,X,O,X,X,X
TIZJSLO,O,O,X,X,X
TIZJSOL,O,O,X,X,X
TIZJOLS,O,O,X,X,X
TIZJOSL,O,O,X,X,X
TIZSLJO,O,O,X,X,X
TIZSLOJ,X,O,X,X,X
TIZSJLO,O,O,X,X,X
TIZSJOL,O,O,X,X,X
TIZSOLJ,O,O,X,X,X
TIZSOJL,O,O,X,X,X
TIZOLJS,O,O,X,X,X
TIZOLSJ,O,O,X,X,X
TIZOJLS,O,O,X,X,X
TIZOJSL,O,O,X,X,X
TIZOSLJ,O,O,X,X,X
TIZOSJL,O,O,X,X,X
TIOLJSZ,X,X,O,O,O
TIOLJZS,X,X,O,X,O
TIOLSJZ,X,X,O,O,O
TIOLSZJ,X,X,X,O,X
TIOLZJS,X,X,X,X,O
TIOLZSJ,X,X,X,O,X
TIOJLSZ,X,X,O,X,O
TIOJLZS,X,X,O,X,O
TIOJSLZ,X,O,O,X,X
TIOJSZL,O,O,X,X,X
TIOJZLS,O,O,X,X,X
TIOJZSL,O,O,X,X,X
TIOSLJZ,X,O,O,O,X
TIOSLZJ,X,X,X,O,X
TIOSJLZ,X,O,O,X,X
TIOSJZL,O,O,X,X,X
TIOSZLJ,O,O,X,O,X
TIOSZJL,O,O,X,X,X
TIOZLJS,O,O,X,X,X
TIOZLSJ,O,O,X,X,X
TIOZJLS,O,O,X,X,X
TIOZJSL,O,O,X,X,X
TIOZSLJ,O,O,X,X,X
TIOZSJL,O,O,X,X,X
TLIJSZO,X,X,O,O,O
TLIJSOZ,X,X,O,O,O
TLIJZSO,X,X,O,X,O
TLIJZOS,X,X,O,X,O
TLIJOSZ,X,X,O,O,O
TLIJOZS,X,X,O,X,O
TLISJZO,X,X,O,O,O
TLISJOZ,X,X,O,O,O
TLISZJO,X,X,X,O,X
TLISZOJ,X,X,X,O,X
TLISOJZ,X,X,O,O,O
TLISOZJ,X,X,X,O,X
TLIZJSO,X,X,X,X,O
TLIZJOS,X,X,X,X,O
TLIZSJO,X,X,X,O,X
TLIZSOJ,X,X,X,O,X
TLIZOJS,X,X,X,X,O
TLIZOSJ,X,X,X,O,X
TLIOJSZ,X,X,O,O,O
TLIOJZS,X,X,O,X,O
TLIOSJZ,X,X,O,O,O
TLIOSZJ,X,X,X,O,X
TLIOZJS,X,X,X,X,O
TLIOZSJ,X,X,X,O,X
TLJISZO,X,X,O,O,O
TLJISOZ,X,X,O,O,O
TLJIZSO,X,X,O,X,O
TLJIZOS,X,X,O,X,O
TLJIOSZ,X,X,O,O,O
TLJIOZS,X,X,O,X,O
TLJSIZO,X,X,O,O,O
TLJSIOZ,X,X,O,O,O
TLJSZIO,O,X,X,O,O
TLJSZOI,O,X,X,O,O
TLJSOIZ,X,X,O,O,O
TLJSOZI,O,X,X,O,O
TLJZISO,O,X,X,X,O
TLJZIOS,X,X,X,X,O
TLJZSIO,O,X,X,X,O
TLJZSOI,O,X,X,X,O
TLJZOIS,O,X,X,X,O
TLJZOSI,O,X,X,X,O
TLJOISZ,X,X,O,O,O
TLJOIZS,X,X,O,X,O
TLJOSIZ,X,X,O,O,O
TLJOSZI,O,X,X,O,O
TLJOZIS,O,X,X,X,O
TLJOZSI,O,X,X,X,O
TLSIJZO,X,X,O,O,O
TLSIJOZ,X,X,O,O,O
TLSIZJO,X,X,X,O,X
TLSIZOJ,X,X,X,O,X
TLSIOJZ,X,X,O,O,O
TLSIOZJ,X,X,X,O,X
TLSJIZO,X,X,O,O,O
TLSJIOZ,X,X,O,O,O
TLSJZIO,O,X,X,O,O
TLSJZOI,O,X,X,O,O
TLSJOIZ,X,X,O,O,O
TLSJOZI,O,X,X,O,O
TLSZIJO,O,X,X,O,X
TLSZIOJ,X,X,X,O,X
TLSZJIO,O,X,X,O,X
TLSZJOI,O,X,X,O,X
TLSZOIJ,O,X,X,O,X
TLSZOJI,O,X,X,O,X
TLSOIJZ,X,X,O,O,O
TLSOIZJ,X,X,X,O,X
TLSOJIZ,X,X,O,O,O
TLSOJZI,O,X,X,O,O
TLSOZIJ,O,X,X,O,X
TLSOZJI,O,X,X,O,X
TLZIJSO,O,X,X,X,O
TLZIJOS,X,X,X,X,O
TLZISJO,O,X,X,O,X
TLZISOJ,X,X,X,O,X
TLZIOJS,X,X,X,X,O
TLZIOSJ,X,X,X,O,X
