sequence,v115@QhA8FeE8CeF8Jex/IvhF/mBUiBFjBTkB2qBSvB,v115@QhA8FeE8CeF8Jei/IvhF3gBUiBFjBTmBxpBWvB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjBTkBeqBSrB8qB,v115@QhA8FeE8CeF8JeKEJvhFRgBUiBFjBTmBXqBGqB,v115@QhA8FeE8CeF8JeKEJvhFUhBFiBXjBxqBupBTqB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjB2pBSrB8qBzpB,v115@QhA8FeE8CeF8JeT/IvhFXjB2qBRmBCnB0pBlqB,v115@QhA8FeE8CeF8JeT/IvhFRhBFjBmlBCnB/qB0pB
TILJSZO,X,O,X,X,O,O,X,X
TILJSOZ,X,X,O,X,O,O,X,X
TILJZSO,X,O,X,X,O,O,X,X
TILJZOS,X,X,X,X,O,O,X,O
TILJOSZ,X,O,O,X,O,O,X,X
TILJOZS,X,O,O,X,O,O,X,X
TILSJZO,X,O,X,X,O,O,X,X
TILSJOZ,X,X,O,X,O,O,X,X
TILSZJO,X,O,X,X,O,X,X,X
TILSZOJ,X,O,X,X,O,X,X,X
TILSOJZ,X,O,O,O,O,X,X,X
TILSOZJ,X,O,X,O,O,X,X,X
TILZJSO,X,O,X,X,O,X,X,X
TILZJOS,X,X,X,X,O,X,X,O
TILZSJO,X,O,X,X,O,X,X,X
TILZSOJ,X,O,X,X,O,X,X,X
TILZOJS,X,O,X,O,O,X,X,O
TILZOSJ,X,O,X,O,O,X,X,X
TILOJSZ,X,O,O,X,O,X,X,X
TILOJZS,X,O,O,O,O,X,X,X
TILOSJZ,X,O,O,O,O,X,X,X
TILOSZJ,X,O,X,O,O,X,X,X
TILOZJS,X,O,X,O,O,X,X,X
TILOZSJ,X,O,X,O,O,X,X,X
TIJLSZO,O,O,X,X,O,O,X,X
TIJLSOZ,X,X,O,X,O,O,X,X
TIJLZSO,X,O,X,X,O,O,X,X
TIJLZOS,X,X,X,X,O,O,X,O
TIJLOSZ,X,O,O,X,O,O,X,X
TIJLOZS,X,O,O,X,O,O,X,X
TIJSLZO,O,O,X,X,O,O,X,X
TIJSLOZ,X,X,O,X,O,O,X,X
TIJSZLO,O,O,X,X,O,X,X,X
