sequence,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFlhB3iB5oBU?mBywBzsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFXhBliB5oBU?nBTrByxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFiiB5oBFmBf?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PexAJvhF/nBGjBilBc?rBVxBTtB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF/nB5oBFmBa?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF6oBFmBXnB0?nBTrBxxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhB6oBFmB3?rBUtBTsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhBTnB0rBX?tB6tBFrB
TILJSZO,O,O,O,X,X,O,X,X
TILJSOZ,O,O,X,X,X,O,X,X
TILJZSO,O,O,O,X,O,O,X,X
TILJZOS,O,O,X,X,X,X,X,X
TILJOSZ,X,O,X,X,X,O,X,X
TILJOZS,X,O,X,X,X,X,X,X
TILSJZO,O,O,O,X,X,O,X,X
TILSJOZ,O,O,X,X,X,O,X,X
TILSZJO,O,O,O,X,X,O,X,X
TILSZOJ,O,O,O,X,X,X,X,X
TILSOJZ,O,O,X,X,X,O,X,X
TILSOZJ,X,O,X,X,X,X,X,X
TILZJSO,O,O,O,X,O,O,X,X
TILZJOS,O,O,X,X,X,X,X,X
TILZSJO,O,O,O,X,O,O,X,X
TILZSOJ,O,O,O,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,O,X,X
TILOJZS,X,O,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,O,X,X
TILOSZJ,X,O,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X
TIJLSZO,O,O,O,X,X,O,X,X
TIJLSOZ,O,O,X,X,X,O,X,X
TIJLZSO,O,O,O,X,O,O,X,X
TIJLZOS,O,O,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,O,X,X
TIJLOZS,X,O,X,X,X,X,X,X
TIJSLZO,O,O,O,X,X,O,O,X
TIJSLOZ,O,O,X,X,X,O,X,X
TIJSZLO,O,O,O,X,O,O,O,X
TIJSZOL,O,O,O,X,O,X,O,X
TIJSOLZ,O,O,X,X,X,O,X,X
TIJSOZL,O,O,X,X,X,X,O,X
TIJZLSO,O,O,O,X,O,O,X,X
TIJZLOS,O,O,X,X,X,X,X,X
TIJZSLO,O,O,O,X,O,O,X,X
TIJZSOL,O,O,O,X,O,X,X,X
TIJZOLS,O,X,X,X,X,X,X,X
TIJZOSL,O,O,O,X,O,X,X,X
TIJOLSZ,O,O,X,X,X,O,X,X
TIJOLZS,O,O,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,X,O,X,X
TIJOSZL,O,O,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,X,X,X
TIJOZSL,O,O,O,X,O,X,X,X
TISLJZO,O,O,O,X,X,O,O,X
TISLJOZ,O,O,X,X,X,O,X,X
TISLZJO,O,O,O,X,X,O,O,X
TISLZOJ,O,O,O,X,X,X,O,X
TISLOJZ,O,O,X,X,X,O,X,X
TISLOZJ,X,O,X,X,X,X,X,X
TISJLZO,O,O,O,X,X,O,O,X
TISJLOZ,O,O,X,X,X,O,X,X
TISJZLO,O,O,O,O,O,O,O,X
TISJZOL,O,O,O,O,O,X,O,X
TISJOLZ,O,O,X,X,X,O,X,X
TISJOZL,O,O,X,X,X,X,O,X
TISZLJO,O,X,O,O,O,O,O,X
TISZLOJ,X,X,O,O,X,X,O,X
TISZJLO,O,O,O,O,O,O,O,X
TISZJOL,O,O,O,O,O,X,O,X
TISZOLJ,X,X,O,X,X,X,O,X
TISZOJL,O,X,O,O,O,X,O,X
TISOLJZ,O,O,X,X,X,O,X,X
TISOLZJ,O,O,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,O,X,X
TISOJZL,O,O,X,X,X,X,O,X
TISOZLJ,O,O,X,X,X,X,O,X
TISOZJL,O,O,X,X,X,X,O,X
TIZLJSO,O,O,O,O,O,O,X,X
TIZLJOS,O,O,X,X,X,X,X,X
TIZLSJO,O,O,O,O,O,O,X,X
TIZLSOJ,O,O,O,O,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X
TIZLOSJ,O,O,X,O,X,X,X,X
TIZJLSO,O,O,O,X,O,O,X,X
TIZJLOS,O,O,X,X,X,X,X,X
TIZJSLO,O,O,O,O,O,O,X,X
TIZJSOL,O,O,O,O,O,X,X,X
TIZJOLS,O,X,X,X,X,X,X,X
