sequence,v115@OhA8BeA8FeB8AeD8AeD8Kem/IvhFzgBfnBxiB0kB6t?BFrB,v115@OhA8BeA8FeB8AeD8AeD8KeT/IvhF0hBmiB5oBllBXl?BirB,v115@OhA8BeA8FeB8AeD8AeD8KeyEJvhFzgBfnBmiB5oB0k?BFrB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBFhBxiBzmB6t?BmqB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBmiB5oByqBzm?BFrB
TILJSZO,X,O,O,X,X
TILJSOZ,X,O,O,X,X
TILJZSO,X,O,X,X,X
TILJZOS,X,O,X,X,X
TILJOSZ,X,O,O,X,X
TILJOZS,X,O,X,X,X
TILSJZO,O,O,O,X,X
TILSJOZ,O,O,O,X,X
TILSZJO,O,O,O,X,X
TILSZOJ,O,O,O,X,O
TILSOJZ,O,O,O,X,O
TILSOZJ,O,O,O,X,O
TILZJSO,O,O,X,X,X
TILZJOS,O,O,X,X,X
TILZSJO,O,O,O,X,X
TILZSOJ,O,O,O,X,X
TILZOJS,O,O,X,X,X
TILZOSJ,O,O,O,X,X
TILOJSZ,X,O,O,X,O
TILOJZS,X,O,X,X,X
TILOSJZ,O,O,O,X,O
TILOSZJ,O,O,O,X,O
TILOZJS,O,O,X,X,X
TILOZSJ,O,O,O,X,X
TIJLSZO,X,O,O,O,X
TIJLSOZ,X,O,O,X,X
TIJLZSO,X,O,X,X,X
TIJLZOS,X,O,X,X,X
TIJLOSZ,X,O,O,X,X
TIJLOZS,X,O,X,X,X
TIJSLZO,X,X,O,O,X
TIJSLOZ,X,X,O,X,X
TIJSZLO,X,X,O,O,X
TIJSZOL,X,O,O,O,O
TIJSOLZ,X,X,O,X,O
TIJSOZL,X,O,O,O,O
TIJZLSO,X,X,X,X,X
TIJZLOS,X,O,X,X,X
TIJZSLO,X,X,X,O,X
TIJZSOL,X,O,X,O,X
TIJZOLS,X,O,X,X,X
TIJZOSL,X,O,X,X,X
TIJOLSZ,X,O,O,X,O
TIJOLZS,X,O,X,X,X
TIJOSLZ,X,X,O,X,O
TIJOSZL,X,O,O,O,O
TIJOZLS,X,O,X,X,X
TIJOZSL,X,O,X,X,X
TISLJZO,O,O,O,X,X
TISLJOZ,O,O,O,X,X
TISLZJO,O,O,O,X,X
TISLZOJ,O,O,O,X,O
