sequence,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFmiB5oB?XlBlmBcsBTrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhF8mBziB?5oBilBXsBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBihB?ziB5oBFsB3rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeGAJvhF/mBFiB?8nB5oBzkBywB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFXiB8nB?5oBilBzrBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFziB5oB?XlBFsBOrB8rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFThBOnB?8nB5oBXlB1wB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBThB?5oBlnB3rBisB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeWFJvhFxiBlmB?csB6tBXlBTrB
TILJSZO,X,O,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,X,X,X
TILJZOS,X,X,O,X,O,X,X,X,X
TILJOSZ,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,O,X,X,X,X
TILSJZO,X,O,X,X,X,O,X,X,X
TILSJOZ,X,O,X,X,X,O,X,X,X
TILSZJO,X,O,O,X,X,O,X,O,X
TILSZOJ,X,O,O,X,X,O,X,O,X
TILSOJZ,X,O,X,X,X,O,X,X,X
TILSOZJ,X,O,O,X,X,O,X,O,X
TILZJSO,X,X,O,X,X,X,X,O,X
TILZJOS,X,X,O,X,O,X,X,X,X
TILZSJO,X,X,O,X,X,X,X,O,X
TILZSOJ,X,X,O,X,X,X,X,O,X
TILZOJS,X,X,O,X,O,X,X,X,X
TILZOSJ,X,X,O,X,O,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,O,X,X,X,X
TILOSJZ,X,O,X,X,X,O,X,X,X
TILOSZJ,X,O,O,X,X,O,X,X,X
TILOZJS,X,X,O,X,O,X,X,X,X
TILOZSJ,X,X,O,X,O,X,X,X,X
TIJLSZO,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,X
TIJLZSO,X,X,O,X,X,X,X,X,X
TIJLZOS,X,X,O,X,O,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,O,X,X,X,X
TIJSLZO,O,O,X,X,X,O,X,X,X
TIJSLOZ,X,O,X,X,X,O,X,X,X
TIJSZLO,O,X,X,O,X,O,X,O,X
TIJSZOL,O,X,X,O,X,O,X,O,X
TIJSOLZ,X,O,X,X,X,O,X,X,X
TIJSOZL,X,X,X,X,X,O,X,O,X
TIJZLSO,O,X,O,O,X,X,X,O,X
TIJZLOS,X,X,O,X,O,X,X,X,X
TIJZSLO,O,X,O,O,X,X,X,O,X
TIJZSOL,O,X,O,O,X,X,X,O,X
TIJZOLS,X,X,O,X,O,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X,O,X
TIJOLSZ,X,O,X,X,X,X,X,X,X
TIJOLZS,X,X,O,X,O,X,X,X,X
TIJOSLZ,X,O,X,X,X,O,X,X,X
TIJOSZL,X,X,X,X,X,O,X,X,X
TIJOZLS,X,X,O,X,O,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,O,X,X,X
TISLJOZ,X,O,X,X,X,O,X,X,X
TISLZJO,O,O,O,X,X,O,O,O,X
TISLZOJ,O,O,O,X,X,O,O,O,X
TISLOJZ,X,O,X,X,X,O,X,X,X
TISLOZJ,X,O,O,X,X,O,X,O,X
TISJLZO,O,O,X,X,X,O,X,X,X
TISJLOZ,X,O,X,X,X,O,X,X,X
TISJZLO,O,X,X,O,X,O,X,O,X
TISJZOL,O,X,X,O,X,O,X,O,X
TISJOLZ,X,O,X,X,X,O,X,X,X
TISJOZL,X,X,X,X,X,O,X,O,X
TISZLJO,O,O,O,O,X,O,O,O,X
TISZLOJ,O,O,O,O,X,O,O,O,X
TISZJLO,O,X,O,O,X,O,O,O,X
TISZJOL,O,X,O,O,X,O,O,O,X
