sequence,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFukB3gBUiBF?jB6rBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBFiBX?jB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBXjBl?mBUqBCsB,v115@QhA8DeA8AeD8AeA8BeA8AeD8Jei/IvhF1lBxhBXjBc?pBurBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBFiBXjBz?kB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBXjBzkBl?mBUqBCsB
TILJSZO,O,O,O,X,O,X
TILJSOZ,O,O,X,X,O,O
TILJZSO,O,O,O,X,O,X
TILJZOS,O,O,O,X,O,X
TILJOSZ,O,O,X,X,O,O
TILJOZS,O,O,X,X,O,X
TILSJZO,O,O,O,X,O,X
TILSJOZ,O,O,X,X,O,O
TILSZJO,O,O,O,O,O,X
TILSZOJ,O,O,O,O,O,X
TILSOJZ,O,O,X,X,O,O
TILSOZJ,O,O,X,X,O,X
TILZJSO,O,O,O,O,O,X
TILZJOS,O,O,O,X,O,X
TILZSJO,O,O,O,O,O,X
TILZSOJ,O,O,O,O,O,X
TILZOJS,O,O,O,X,O,X
TILZOSJ,O,O,O,O,O,X
TILOJSZ,O,O,X,X,O,O
TILOJZS,O,O,X,X,O,X
TILOSJZ,O,O,X,X,O,O
TILOSZJ,O,O,X,X,O,X
TILOZJS,O,O,X,X,O,X
TILOZSJ,O,O,X,X,O,X
TIJLSZO,O,X,O,O,X,X
TIJLSOZ,O,X,X,X,X,O
TIJLZSO,O,X,O,O,X,X
TIJLZOS,O,X,O,O,X,X
TIJLOSZ,O,X,X,X,X,O
TIJLOZS,O,X,X,X,X,X
TIJSLZO,O,X,O,O,X,X
TIJSLOZ,O,X,X,X,X,O
TIJSZLO,X,O,O,O,X,X
TIJSZOL,X,O,O,O,X,O
TIJSOLZ,X,X,X,X,X,O
TIJSOZL,X,X,O,O,X,O
TIJZLSO,O,O,O,O,X,X
TIJZLOS,O,O,O,O,X,X
TIJZSLO,X,O,O,O,X,X
TIJZSOL,X,O,O,O,X,O
TIJZOLS,O,O,O,O,X,X
TIJZOSL,O,O,O,O,X,O
TIJOLSZ,O,X,X,X,X,O
TIJOLZS,O,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,O
TIJOSZL,O,X,O,O,X,O
TIJOZLS,O,X,O,O,X,X
TIJOZSL,O,X,O,O,X,O
TISLJZO,O,O,O,X,O,X
TISLJOZ,O,O,X,X,O,O
TISLZJO,O,O,O,O,O,X
TISLZOJ,O,O,O,O,O,X
TISLOJZ,O,O,X,X,O,O
TISLOZJ,O,O,X,X,O,X
TISJLZO,O,X,O,O,X,X
TISJLOZ,O,X,X,X,X,O
TISJZLO,X,O,O,O,X,X
TISJZOL,X,O,O,O,X,O
TISJOLZ,X,X,X,X,X,O
TISJOZL,X,X,O,O,X,O
TISZLJO,X,O,O,O,X,X
TISZLOJ,X,O,O,O,X,X
TISZJLO,X,O,O,O,X,X
TISZJOL,X,O,O,O,X,O
TISZOLJ,O,O,O,O,X,X
TISZOJL,O,O,O,X,X,O
TISOLJZ,O,X,X,X,O,O
TISOLZJ,O,X,X,X,O,X
TISOJLZ,O,X,X,X,X,O
TISOJZL,O,X,O,X,X,O
TISOZLJ,O,O,O,O,X,X
TISOZJL,O,O,O,X,X,O
TIZLJSO,O,O,O,O,X,X
TIZLJOS,O,O,O,O,X,X
TIZLSJO,O,O,O,O,X,X
TIZLSOJ,O,O,O,O,X,X
TIZLOJS,O,O,O,X,X,X
TIZLOSJ,O,O,O,O,X,X
TIZJLSO,O,O,O,O,X,X
TIZJLOS,O,O,O,O,X,X
TIZJSLO,X,O,O,O,X,X
TIZJSOL,X,O,O,O,X,O
TIZJOLS,O,O,O,O,X,X
TIZJOSL,O,O,O,O,X,O
TIZSLJO,X,O,O,O,X,X
TIZSLOJ,X,O,O,O,X,X
TIZSJLO,X,O,O,O,X,X
TIZSJOL,X,O,O,O,X,O
TIZSOLJ,O,O,O,O,X,X
TIZSOJL,O,O,O,X,X,O
TIZOLJS,O,O,O,X,X,X
TIZOLSJ,O,O,O,O,X,X
TIZOJLS,O,O,O,X,X,X
TIZOJSL,O,O,O,X,X,O
TIZOSLJ,O,O,O,O,X,X
TIZOSJL,O,O,O,X,X,O
TIOLJSZ,O,X,X,X,O,O
TIOLJZS,O,X,X,X,O,X
TIOLSJZ,O,X,X,X,O,O
TIOLSZJ,O,X,X,X,O,X
TIOLZJS,O,X,X,X,O,X
TIOLZSJ,O,X,X,X,O,X
TIOJLSZ,O,X,X,X,X,O
TIOJLZS,O,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,O
TIOJSZL,O,X,O,X,X,O
TIOJZLS,O,X,O,X,X,X
TIOJZSL,O,X,O,X,X,O
TIOSLJZ,O,X,X,X,O,O
