sequence,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEicBGeB3hBz?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEOhB8hBqiBT?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEmcBCeBThBX?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEOhB8hBCeBX?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEicBuiBcjB3?hBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE2hBqiBTeB3?hBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEKhBzcBuiBc?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEOhBTeBCiB0?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE8hBqiBTeBV?rBOrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEyhBWjBThBX?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE2hBSjB3hBz?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEqiBTeBXmB8?mBOrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEyhBuiBcjBT?hBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE8hBCeBXjBV?rBOrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEOhB8hBSjBz?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE/hBTeB0iBd?rBCsB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEKhBWiBTeB0?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEKhBzcBWjBX?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEGeBziBXmBl?mBirB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEuiBcjBXmBl?mBirB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEzcBuiBcjB/?mBdrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhECdBTeB/mB0?iBdrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEWiBTeB/mB0?iBdrB
TILJSZO,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,X,X,X,X,X
TILJOSZ,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TILJOZS,X,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TILSJZO,O,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TILSZJO,O,O,O,O,O,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TILSZOJ,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TILSOJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILSOZJ,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,O,X,X,X,X,X
TILZSJO,X,O,X,O,O,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TILOJZS,X,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TILOSJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOSZJ,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
