sequence,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhEZi?BGeBXhBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBqiBTjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeG8IvhEZi?BCeBzgBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBCeBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhEZi?BuiBcjBXhBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeR8IvhEui?BcjBzgBanBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BxdBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BZiBuiBcjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEZi?BqiBTeBXhBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JecBJvhEZi?BqiBTeB1qBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhExd?BOnBXjBzgBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhEZi?BuiBcjBzgBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JecBJvhEZi?BCeBXjB1qBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhETe?BXhBOnB0iBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBSjBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhETe?BXhB0iBOnBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhExi?BzgBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWDJvhERh?BzgBanBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhEZi?BWjBzgBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEZi?BSjBXhBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEqi?BTeB3lBcmBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeR8IvhEWj?BzgBanBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeT8IvhEcj?BOnByqB5lBlsB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEcj?BTiBXhBinBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuCJvhEcj?BRhBzgBanBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BZiBWjBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEGe?BziB3lBFmBCrB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEui?BcjB3lBFmBCrB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BxiBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhEcj?BxhB3iBmmBlqB
TILJSZO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TILJZSO,X,O,X,X,X,O,X,O,X,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TILJZOS,X,O,X,X,X,O,O,O,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,O,X
TILJOZS,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,O,X
TILSJZO,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TILSZOJ,O,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TILSOJZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSOZJ,O,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TILZJSO,X,O,X,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O
TILZJOS,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X
TILZSJO,X,O,X,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILZSOJ,X,O,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILZOJS,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TILZOSJ,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TILOJSZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,X
TILOJZS,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,X,O,X
TILOSJZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X
TILOSZJ,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TILOZJS,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X
TILOZSJ,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TIJLSZO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TIJLZSO,X,O,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
