sequence,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?BOhB8hB5iBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B2hB5iB3hBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B5iBXmB8mBOrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhE2g?B5iBXmB8mBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhEFc?B5iBOrB/qB8rB
TILJSZO,X,X,X,X,O
TILJSOZ,X,O,X,X,X
TILJZSO,O,X,X,X,O
TILJZOS,O,O,X,X,X
TILJOSZ,X,O,X,X,X
TILJOZS,O,O,X,X,X
TILSJZO,X,X,X,O,X
TILSJOZ,X,O,X,X,X
TILSZJO,O,X,O,O,X
TILSZOJ,O,X,O,X,X
TILSOJZ,X,O,X,X,X
TILSOZJ,O,X,O,X,X
TILZJSO,O,X,X,X,X
TILZJOS,O,O,X,X,X
TILZSJO,O,X,X,X,X
TILZSOJ,O,X,X,X,X
TILZOJS,O,O,X,X,X
TILZOSJ,O,X,X,X,X
TILOJSZ,X,O,X,X,X
TILOJZS,O,O,X,X,X
TILOSJZ,X,O,X,X,X
TILOSZJ,O,X,O,X,X
TILOZJS,O,O,X,X,X
TILOZSJ,O,X,X,X,X
TIJLSZO,X,X,X,X,O
TIJLSOZ,X,O,X,X,X
TIJLZSO,O,X,X,X,O
TIJLZOS,O,O,X,X,X
TIJLOSZ,X,O,X,X,X
TIJLOZS,O,O,X,X,X
TIJSLZO,X,X,X,X,X
TIJSLOZ,X,O,X,X,X
TIJSZLO,X,X,X,X,X
TIJSZOL,X,X,X,X,X
TIJSOLZ,X,O,X,X,X
TIJSOZL,X,X,X,X,X
TIJZLSO,O,X,X,X,X
TIJZLOS,O,O,X,X,X
TIJZSLO,O,X,X,X,X
TIJZSOL,O,X,X,X,X
TIJZOLS,O,O,X,X,X
TIJZOSL,O,X,X,X,X
TIJOLSZ,X,O,X,X,X
TIJOLZS,O,O,X,X,X
TIJOSLZ,X,O,X,X,X
TIJOSZL,X,X,X,X,X
TIJOZLS,O,O,X,X,X
TIJOZSL,O,X,X,X,X
TISLJZO,X,X,X,O,X
