sequence,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhEciBTeBRrBO?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeB0hBd?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeBXiBd?rB0rB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeG9IvhETeBRgBanBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeC9IvhETeBRgBOnBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeT+IvhERgBFiBOrBC?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBmmBf?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBlmBf?rBmrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8Je38IvhETeBlmBcnBG?lBarB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JecCJvhETeBRgB9mBf?rBmrB
TILJSZO,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,O,O,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,O,O,X,X,X,X,X
TILJOSZ,X,X,X,O,O,X,X,O,X,X
TILJOZS,O,X,X,O,O,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,O,O,X,X,X,X,X,X
TILSZJO,X,X,O,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,O,O,X,X,X,O,X,X
TILSOZJ,X,X,O,X,X,X,X,O,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,O,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,O,X,O,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,O,X,O
TILOJSZ,X,X,X,O,O,O,O,O,X,X
TILOJZS,O,X,X,O,O,O,X,X,X,X
TILOSJZ,X,X,O,O,X,X,X,O,X,X
TILOSZJ,X,X,O,X,X,X,X,O,X,X
TILOZJS,O,O,X,O,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,O,X,O
TIJLSZO,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,O,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,O,O,X,X,X,X,X
TIJLOSZ,X,X,X,O,O,O,O,O,X,X
TIJLOZS,O,X,X,O,O,O,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,O,O,X,X,X,X
TIJSOZL,X,X,X,X,X,O,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,O,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,O,X
TIJZOLS,O,X,X,X,O,O,X,X,X,X
TIJZOSL,X,X,X,X,X,O,X,X,O,O
TIJOLSZ,X,X,X,O,O,O,O,O,X,X
TIJOLZS,O,X,X,O,O,O,X,X,X,X
TIJOSLZ,X,X,X,X,O,O,X,X,X,X
TIJOSZL,X,X,X,X,X,O,X,X,X,X
TIJOZLS,O,X,X,X,O,O,X,X,X,X
TIJOZSL,X,X,X,X,X,O,X,X,O,O
TISLJZO,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,O,O,X,X,X,X,X,X
TISLZJO,X,X,O,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,X,X,X,X,X,X
TISLOJZ,X,X,O,O,X,X,X,O,X,X
TISLOZJ,X,X,O,X,X,X,X,O,X,X
TISJLZO,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,O,X,O,X,X,X,X,X
TISJZLO,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,X,O,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,O,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,X,X,X,X
TISZJLO,X,X,O,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X,X,O
TISZOJL,X,X,O,X,X,X,X,X,X,O
TISOLJZ,X,X,O,O,X,X,X,O,X,X
TISOLZJ,X,X,O,X,X,X,X,O,X,X
TISOJLZ,X,X,O,X,O,O,X,X,X,X
TISOJZL,X,X,X,X,X,O,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,O
TISOZJL,X,X,O,X,X,X,X,X,X,O
TIZLJSO,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,O,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,O,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,O,X,O
TIZJLSO,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,O,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,O,X
TIZJOLS,O,O,X,X,O,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X,X,X,O,O
TIZSLJO,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,X,X,X
TIZSJLO,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X,O,X
TIZSOLJ,X,O,X,X,X,X,X,X,X,O
TIZSOJL,X,O,X,X,X,X,X,X,O,O
TIZOLJS,O,O,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,O,X,O
TIZOJLS,O,O,X,X,O,O,X,X,X,X
TIZOJSL,X,X,X,X,X,O,X,X,O,O
TIZOSLJ,X,O,X,X,X,X,X,X,X,O
TIZOSJL,X,O,X,X,X,X,X,X,O,O
TIOLJSZ,X,X,X,O,O,O,O,O,X,X
TIOLJZS,O,X,X,O,O,O,X,X,X,X
TIOLSJZ,X,X,O,O,X,X,X,O,X,X
TIOLSZJ,X,X,O,X,X,X,X,O,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,O,X,O
TIOJLSZ,X,X,X,O,O,O,O,O,X,X
TIOJLZS,O,X,X,O,O,O,X,X,X,X
TIOJSLZ,X,X,X,X,O,O,X,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,X,X
TIOJZLS,O,X,X,X,O,O,X,X,X,X
TIOJZSL,X,X,X,X,X,O,X,X,O,O
TIOSLJZ,X,X,O,O,X,X,X,O,X,X
TIOSLZJ,X,X,O,X,X,X,X,O,X,X
TIOSJLZ,X,X,O,X,O,O,X,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,O
TIOSZJL,X,X,O,X,X,X,X,X,X,O
TIOZLJS,O,O,X,O,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,O,X,O
TIOZJLS,O,O,X,X,O,O,X,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,O,O
TIOZSLJ,X,O,X,X,X,X,X,X,X,O
TIOZSJL,X,O,X,X,X,X,X,X,O,O
TLIJSZO,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,O,O,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,O,O,X,X,X,X,X
TLIJOSZ,X,X,X,O,O,X,X,O,X,X
TLIJOZS,O,X,X,O,O,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,O,X,X,X,X,X,X
