sequence,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBCeBT?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEmcBfjB6jBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBGeB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBzdB+jB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBfjB6?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEKhBzcBGeBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBSjB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBCeBTjB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEyhBGeBUjBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhECeBTjBXmB8?mBOrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzdB+jBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEGeBUjBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBGeB/mBU?jBdrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBSjB/mBU?jBdrB
TILJSZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TILJSOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TILJZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TILJOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TILSJZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TILSJOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TILSZOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TILZJOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TILZSJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
TILZSOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TILZOSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TILOZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TIJLZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJSLZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TIJSLOZ,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TIJSZLO,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TIJSOLZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X
TIJSOZL,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TIJZLSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TIJZLOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TIJZSLO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TIJZSOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIJZOSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X
TIJOSZL,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TIJOZLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TISLJOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TISLZJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TISLZOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TISLOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TISJLZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
