sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB
comments,tspin quad,tspin,tspin,I_tetraminoT_tetramino skim,J_tetramino skim save T_tetramino,J_tetramino skim save O_tetramino,L_tetramino skim save I_tetramino,L_tetramino skim save S_tetramino,not a minimal in tetrio,a,a
TILJSZO,O,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,O,X,O,X,O,X,X,X
TILJZOS,X,O,O,O,X,X,X,O,X,X,X
TILJOSZ,O,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,O,O,O,X,X,X,O,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,O,X,X,X
TILZJOS,X,O,O,O,X,X,X,O,X,X,X
TILZSJO,X,O,X,O,X,O,X,X,X,X,X
TILZSOJ,X,O,X,O,X,O,X,O,X,X,X
TILZOJS,X,O,O,O,X,X,X,O,X,X,X
TILZOSJ,X,O,X,O,X,X,X,O,X,X,X
TILOJSZ,O,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,O,O,O,X,X,X,O,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,O,O,X,X,X,O,X,X,X
TILOZSJ,X,O,X,O,X,X,X,O,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,O,X,O,X,X,X,X,X
TIJLZOS,X,X,O,O,X,X,X,X,X,X,X
TIJLOSZ,O,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,O,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X,X,X,X
