sequence,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBFn?BKmB,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBKc?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBGlBJa?BzaB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBpgBzf?BOfB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBGbBzQBJQ?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBzVBOVBpW?BFdB
comments,followup 1 (91.67%),followup 1 (91.67%),followup 2 J_tetramino O_tetramino,followup 2 O_tetramino J_tetramino,followup 2 J_tetramino O_tetramino,followup 2 O_tetramino J_tetramino
TILJSZO,O,O,O,O,O,X
TILJSOZ,O,O,O,O,O,X
TILJZSO,O,O,O,O,O,X
TILJZOS,O,O,O,O,O,X
TILJOSZ,O,O,O,O,O,X
TILJOZS,O,O,O,O,O,X
TILSJZO,O,O,O,O,O,X
TILSJOZ,O,O,O,O,O,X
TILSZJO,O,O,O,O,O,X
TILSZOJ,O,X,O,O,X,O
TILSOJZ,O,X,O,O,X,O
TILSOZJ,O,X,O,O,X,O
TILZJSO,O,O,O,O,O,X
TILZJOS,O,O,O,O,O,X
TILZSJO,O,O,O,O,O,X
TILZSOJ,O,X,O,O,X,O
TILZOJS,O,X,O,O,X,O
TILZOSJ,O,X,O,O,X,O
TILOJSZ,O,X,O,O,X,O
TILOJZS,O,X,O,O,X,O
TILOSJZ,O,X,O,O,X,O
TILOSZJ,O,X,O,O,X,O
TILOZJS,O,X,O,O,X,O
TILOZSJ,O,X,O,O,X,O
TIJLSZO,O,O,O,O,O,X
TIJLSOZ,O,O,O,O,O,X
TIJLZSO,O,O,O,O,O,X
TIJLZOS,O,O,O,O,O,X
TIJLOSZ,O,O,O,O,O,X
TIJLOZS,O,O,O,O,O,X
TIJSLZO,O,O,O,X,X,X
TIJSLOZ,O,O,O,X,X,X
TIJSZLO,O,O,O,X,X,X
TIJSZOL,O,O,O,X,X,X
TIJSOLZ,O,O,O,X,X,X
TIJSOZL,O,O,O,X,X,X
TIJZLSO,O,O,O,O,O,X
TIJZLOS,O,O,O,O,O,X
TIJZSLO,O,O,O,X,X,X
TIJZSOL,O,O,O,X,X,X
TIJZOLS,O,O,O,O,O,X
TIJZOSL,O,O,O,O,X,X
TIJOLSZ,O,O,O,O,O,X
TIJOLZS,O,O,O,O,O,X
TIJOSLZ,O,O,O,O,X,X
TIJOSZL,O,O,O,O,X,X
TIJOZLS,O,O,O,O,O,X
TIJOZSL,O,O,O,O,X,X
TISLJZO,O,O,O,O,X,X
TISLJOZ,O,O,O,O,X,X
TISLZJO,O,O,O,O,X,X
TISLZOJ,O,X,O,O,X,X
TISLOJZ,O,X,O,O,X,X
TISLOZJ,O,X,O,O,X,X
TISJLZO,O,O,O,X,X,X
TISJLOZ,O,O,O,X,X,X
TISJZLO,O,O,O,X,X,X
TISJZOL,O,O,O,X,X,X
TISJOLZ,O,O,O,X,X,X
TISJOZL,O,O,O,X,X,X
TISZLJO,O,O,O,O,X,X
TISZLOJ,O,X,O,O,X,X
TISZJLO,O,O,O,X,X,X
TISZJOL,O,O,O,X,X,X
TISZOLJ,O,X,X,O,X,X
TISZOJL,O,X,X,O,X,X
TISOLJZ,O,X,X,O,X,X
TISOLZJ,O,X,X,O,X,X
TISOJLZ,O,X,X,O,X,X
TISOJZL,O,X,X,O,X,X
TISOZLJ,O,X,X,O,X,X
TISOZJL,O,X,X,O,X,X
TIZLJSO,O,O,O,O,O,X
TIZLJOS,O,O,O,O,O,X
TIZLSJO,O,O,O,O,O,X
TIZLSOJ,O,X,O,O,X,O
TIZLOJS,O,X,O,O,X,O
TIZLOSJ,O,X,O,O,X,O
TIZJLSO,O,O,O,O,O,X
TIZJLOS,O,O,O,O,O,X
TIZJSLO,O,O,O,X,X,X
TIZJSOL,O,O,O,X,X,X
TIZJOLS,O,O,O,O,O,X
TIZJOSL,O,O,O,O,X,X
TIZSLJO,O,O,O,O,X,X
TIZSLOJ,O,X,O,O,X,X
TIZSJLO,O,O,O,X,X,X
TIZSJOL,O,O,O,X,X,X
TIZSOLJ,O,X,X,O,X,X
TIZSOJL,O,X,X,O,X,X
TIZOLJS,O,X,O,O,X,O
TIZOLSJ,O,X,O,O,X,O
TIZOJLS,O,X,O,O,X,O
TIZOJSL,O,X,O,O,X,X
TIZOSLJ,O,X,X,O,X,X
TIZOSJL,O,X,X,O,X,X
TIOLJSZ,O,X,O,O,X,O
TIOLJZS,O,X,O,O,X,O
TIOLSJZ,O,X,O,O,X,O
TIOLSZJ,O,X,O,O,X,O
TIOLZJS,O,X,O,O,X,O
TIOLZSJ,O,X,O,O,X,O
TIOJLSZ,O,X,O,O,X,O
TIOJLZS,O,X,O,O,X,O
