sequence,v115@RhE8AeJ8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBv+jFDK+AAAvhFzhB1lBXeBsfBOfBxhB,v115@RhE8AeJ8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBv3ntCpOBAAvhFzhB0gB2kBXjBxhBlfB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBUtPFDpCBAAvhF1lB3fB+jBsiBxhBifB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VB6/9tCM+AAAvhF0fBGjBlgBXjBifBxhB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBz/lFDM+AAAvhF3gBGiBlfB0hBifBxiB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBz/TFDU+AAAvhF3gBGiBifB0hBlfBxiB,v115@RhE8AeJ8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJNUPCvOBAAvhFxkBfjB6jB2gBTaBlhB,v115@RhE8AeJ8AeC8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBTHUFDqOBAAvhF3gBTeBSiBsfBOfBlhB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBzfjxCM+AAAvhF3gB+jBsiBlfBifBxhB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBzfjWCU+AAAvhF3gB+jBsiBifBlfBxhB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBsX+tCK+AAAvhFSnB0cBlgB3aB2kBxiB,v115@RhE8AeJ8AeC8JeXCYaAFLDmClcJSAVDEHBEooRBToA?VBp3HgC0CBAAvhFxkBUeB2gBTaBlcBSoB,v115@RhE8AeJ8AeC8Je3AYaAFLDmClcJSAVDEHBEooRBToA?VBK+LgC6OBAAvhF+jBRiBKfBzaB0hBliB,v115@RhE8AeJ8AeC8Je3AYaAFLDmClcJSAVDEHBEooRBToA?VBK+TFDvOBAAvhF+jBRiByfB0hBTfBliB,v115@RhE8AeJ8AeC8JeUDYaAFLDmClcJSAVDEHBEooRBaoA?VBUubgCqCBAAvhFVnBxkB3cBTaBGeBibB,v115@RhE8AeJ8AeC8JeVHYaAFLDmClcJSAVDEHBEooRBUoA?VBK3TWCa+AAAvhF+jBzdB3cBKfBUgBRbB
TILJSZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TILJSOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TILJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TILJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TILJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TILJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TILSJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TILSJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TILSZJO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TILSZOJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O
TILSOJZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
TILSOZJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
TILZJSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TILZJOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TILZSJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TILZSOJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O
TILZOJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O
TILZOSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O
TILOJSZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TILOJZS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TILOSJZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TILOSZJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
TILOZJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TILOZSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIJLSZO,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
TIJLSOZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
TIJLZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TIJLZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TIJLOSZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
TIJLOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TIJSLZO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TIJSLOZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TIJSZLO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TIJSZOL,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
TIJSOLZ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,O
TIJSOZL,X,X,O,X,O,X,O,X,O,X,X,O,X,X,O,X
TIJZLSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJZSLO,X,X,O,X,X,X,O,O,X,X,X,O,X,X,O,X
TIJZSOL,X,X,O,X,X,X,O,O,O,X,X,O,X,X,O,X
TIJZOLS,X,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TIJZOSL,X,X,O,O,X,X,O,O,O,X,X,O,X,X,O,X
TIJOLSZ,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,O
TIJOLZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TIJOSLZ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,O
TIJOSZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
