sequence,v115@IhA8HeE8EeF8Ne5IJvhFziB3gBifBlmBmsBUsB
TILJSZO,X
TILJSOZ,O
TILJZSO,X
TILJZOS,X
TILJOSZ,O
TILJOZS,X
TILSJZO,X
TILSJOZ,O
TILSZJO,X
TILSZOJ,X
TILSOJZ,X
TILSOZJ,X
TILZJSO,X
TILZJOS,X
TILZSJO,X
TILZSOJ,X
TILZOJS,X
TILZOSJ,X
TILOJSZ,X
TILOJZS,X
TILOSJZ,X
TILOSZJ,X
TILOZJS,X
TILOZSJ,X
TIJLSZO,X
TIJLSOZ,O
TIJLZSO,X
TIJLZOS,X
TIJLOSZ,O
TIJLOZS,X
TIJSLZO,X
TIJSLOZ,O
TIJSZLO,X
TIJSZOL,X
TIJSOLZ,O
TIJSOZL,X
TIJZLSO,X
TIJZLOS,X
TIJZSLO,X
TIJZSOL,X
TIJZOLS,X
TIJZOSL,X
TIJOLSZ,O
TIJOLZS,X
TIJOSLZ,O
TIJOSZL,X
TIJOZLS,X
TIJOZSL,X
TISLJZO,X
TISLJOZ,O
TISLZJO,X
TISLZOJ,X
TISLOJZ,X
TISLOZJ,X
TISJLZO,X
TISJLOZ,O
TISJZLO,X
TISJZOL,X
TISJOLZ,O
TISJOZL,X
TISZLJO,X
TISZLOJ,X
TISZJLO,X
TISZJOL,X
TISZOLJ,X
TISZOJL,X
TISOLJZ,X
TISOLZJ,X
TISOJLZ,X
TISOJZL,X
TISOZLJ,X
TISOZJL,X
TIZLJSO,X
TIZLJOS,X
TIZLSJO,X
TIZLSOJ,X
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,X
TIZJLOS,X
TIZJSLO,X
TIZJSOL,X
TIZJOLS,X
TIZJOSL,X
TIZSLJO,X
TIZSLOJ,X
TIZSJLO,X
TIZSJOL,X
TIZSOLJ,X
TIZSOJL,X
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,X
TIZOSLJ,X
TIZOSJL,X
TIOLJSZ,X
TIOLJZS,X
TIOLSJZ,X
TIOLSZJ,X
TIOLZJS,X
TIOLZSJ,X
TIOJLSZ,X
TIOJLZS,X
TIOJSLZ,X
TIOJSZL,X
TIOJZLS,X
TIOJZSL,X
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,X
TIOSZLJ,X
TIOSZJL,X
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,X
TIOZSLJ,X
TIOZSJL,X
TLIJSZO,X
TLIJSOZ,O
TLIJZSO,X
TLIJZOS,X
TLIJOSZ,O
TLIJOZS,X
TLISJZO,X
TLISJOZ,O
TLISZJO,X
TLISZOJ,X
TLISOJZ,X
TLISOZJ,X
TLIZJSO,X
TLIZJOS,X
TLIZSJO,X
TLIZSOJ,X
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,X
TLIOJZS,X
TLIOSJZ,X
TLIOSZJ,X
TLIOZJS,X
TLIOZSJ,X
TLJISZO,X
TLJISOZ,O
TLJIZSO,X
TLJIZOS,X
TLJIOSZ,O
TLJIOZS,X
TLJSIZO,X
TLJSIOZ,O
TLJSZIO,X
TLJSZOI,X
TLJSOIZ,O
TLJSOZI,X
TLJZISO,X
TLJZIOS,X
TLJZSIO,X
TLJZSOI,X
TLJZOIS,X
TLJZOSI,X
TLJOISZ,O
TLJOIZS,X
TLJOSIZ,O
TLJOSZI,X
TLJOZIS,X
TLJOZSI,X
TLSIJZO,X
TLSIJOZ,O
TLSIZJO,X
TLSIZOJ,X
TLSIOJZ,X
TLSIOZJ,X
TLSJIZO,X
TLSJIOZ,O
TLSJZIO,X
TLSJZOI,X
TLSJOIZ,O
TLSJOZI,X
TLSZIJO,X
TLSZIOJ,X
TLSZJIO,X
TLSZJOI,X
TLSZOIJ,X
TLSZOJI,X
TLSOIJZ,X
TLSOIZJ,X
TLSOJIZ,X
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,X
TLZIJOS,X
TLZISJO,X
TLZISOJ,X
TLZIOJS,X
TLZIOSJ,X
TLZJISO,X
TLZJIOS,X
TLZJSIO,X
TLZJSOI,X
TLZJOIS,X
TLZJOSI,X
TLZSIJO,X
TLZSIOJ,X
TLZSJIO,X
TLZSJOI,X
TLZSOIJ,X
TLZSOJI,X
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,X
TLOIJZS,X
TLOISJZ,X
TLOISZJ,X
TLOIZJS,X
TLOIZSJ,X
TLOJISZ,X
TLOJIZS,X
TLOJSIZ,X
TLOJSZI,X
TLOJZIS,X
TLOJZSI,X
TLOSIJZ,X
TLOSIZJ,X
TLOSJIZ,X
TLOSJZI,X
TLOSZIJ,X
TLOSZJI,X
TLOZIJS,X
TLOZISJ,X
TLOZJIS,X
TLOZJSI,X
TLOZSIJ,X
TLOZSJI,X
TJILSZO,X
TJILSOZ,O
TJILZSO,X
TJILZOS,X
TJILOSZ,O
TJILOZS,X
TJISLZO,X
TJISLOZ,O
TJISZLO,X
TJISZOL,X
TJISOLZ,O
TJISOZL,X
TJIZLSO,X
TJIZLOS,X
TJIZSLO,X
TJIZSOL,X
TJIZOLS,X
TJIZOSL,X
TJIOLSZ,O
TJIOLZS,X
TJIOSLZ,O
TJIOSZL,X
TJIOZLS,X
TJIOZSL,X
TJLISZO,X
TJLISOZ,O
TJLIZSO,X
TJLIZOS,X
TJLIOSZ,O
TJLIOZS,X
TJLSIZO,X
TJLSIOZ,O
TJLSZIO,X
TJLSZOI,X
TJLSOIZ,O
TJLSOZI,X
TJLZISO,X
TJLZIOS,X
TJLZSIO,X
TJLZSOI,X
TJLZOIS,X
TJLZOSI,X
TJLOISZ,O
TJLOIZS,X
TJLOSIZ,O
TJLOSZI,X
TJLOZIS,X
TJLOZSI,X
TJSILZO,X
TJSILOZ,O
TJSIZLO,X
TJSIZOL,X
TJSIOLZ,O
TJSIOZL,X
TJSLIZO,X
TJSLIOZ,O
TJSLZIO,X
TJSLZOI,X
TJSLOIZ,O
TJSLOZI,X
TJSZILO,X
TJSZIOL,X
TJSZLIO,X
TJSZLOI,X
TJSZOIL,X
TJSZOLI,X
TJSOILZ,O
TJSOIZL,X
TJSOLIZ,O
TJSOLZI,X
TJSOZIL,X
TJSOZLI,X
TJZILSO,X
TJZILOS,X
TJZISLO,X
TJZISOL,X
TJZIOLS,X
TJZIOSL,X
TJZLISO,X
TJZLIOS,X
TJZLSIO,X
TJZLSOI,X
TJZLOIS,X
TJZLOSI,X
TJZSILO,X
TJZSIOL,X
TJZSLIO,X
TJZSLOI,X
TJZSOIL,X
TJZSOLI,X
TJZOILS,X
TJZOISL,X
TJZOLIS,X
TJZOLSI,X
TJZOSIL,X
TJZOSLI,X
TJOILSZ,O
TJOILZS,X
TJOISLZ,O
TJOISZL,X
TJOIZLS,X
TJOIZSL,X
TJOLISZ,O
TJOLIZS,X
TJOLSIZ,O
TJOLSZI,X
TJOLZIS,X
TJOLZSI,X
TJOSILZ,O
TJOSIZL,X
TJOSLIZ,O
TJOSLZI,X
TJOSZIL,X
TJOSZLI,X
TJOZILS,X
TJOZISL,X
TJOZLIS,X
TJOZLSI,X
TJOZSIL,X
TJOZSLI,X
TSILJZO,X
TSILJOZ,O
TSILZJO,X
