sequence,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBzcBGeB0mBln?B3sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeBlmB3n?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFzbBRdBSjB3hBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhF0cBTeBmgBfsBln?B6sB,v115@9gB8HeD8EeF8CeH8BeB8Jem6IvhFfhBxcBTeBCiBln?BUsB,v115@9gB8HeD8EeF8CeH8BeB8Jex6IvhFygBGdBTeB3hBln?BUsB
TILJSZO,O,X,O,O,X,O,X
TILJSOZ,X,X,O,O,X,O,O
TILJZSO,O,X,X,O,X,X,X
TILJZOS,O,X,X,O,X,X,O
TILJOSZ,X,X,O,O,X,O,O
TILJOZS,O,X,X,O,X,X,O
TILSJZO,O,X,O,O,X,O,O
TILSJOZ,X,X,O,O,X,O,O
TILSZJO,O,X,O,O,X,O,O
TILSZOJ,O,X,O,O,X,O,O
TILSOJZ,X,X,O,O,X,O,O
TILSOZJ,X,X,O,O,X,O,O
TILZJSO,O,X,X,O,X,X,O
TILZJOS,O,X,X,O,X,X,O
TILZSJO,O,X,O,O,X,X,O
TILZSOJ,O,X,O,O,X,X,O
TILZOJS,O,X,X,O,X,X,O
TILZOSJ,O,X,O,X,X,X,O
TILOJSZ,X,X,O,O,X,O,O
TILOJZS,O,X,X,O,X,X,O
TILOSJZ,X,X,O,O,X,O,O
TILOSZJ,X,X,O,O,X,O,O
TILOZJS,O,X,X,O,X,X,O
TILOZSJ,O,X,O,X,X,X,O
TIJLSZO,O,X,O,O,X,O,X
TIJLSOZ,X,X,O,O,X,O,O
TIJLZSO,O,X,X,O,X,X,X
TIJLZOS,O,X,X,O,X,X,O
TIJLOSZ,X,X,O,O,X,O,O
TIJLOZS,O,X,X,O,X,X,O
TIJSLZO,O,O,O,O,O,O,O
TIJSLOZ,X,O,O,O,O,O,O
TIJSZLO,O,O,O,O,O,O,O
TIJSZOL,O,O,O,O,O,O,O
TIJSOLZ,X,O,O,O,O,O,O
TIJSOZL,X,O,O,O,O,O,O
TIJZLSO,O,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,O
TIJZSLO,O,X,X,X,O,X,X
TIJZSOL,O,X,X,X,O,X,X
TIJZOLS,O,X,X,X,X,X,O
TIJZOSL,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,O,X,O,O
TIJOLZS,O,X,X,O,X,X,O
TIJOSLZ,X,O,O,X,O,O,O
TIJOSZL,X,O,O,X,O,O,O
TIJOZLS,O,X,X,X,X,X,O
