sequence,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFxcBXeB?8kB+lBThBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeR7IvhFCdBXeB?ukBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFcgBxcB?XeBThBSqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhF2gBCdB?XeBUhBTlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeSAJvhFxcBXeB?ThBUgBWqBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeG7IvhFxcBXeB?ThBClBUlBlrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Je5/IvhFibBXeB?clBThBFnBGrB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8Jeu/IvhFUcBXeB?TgB6rBFsBRvB,v115@zgA8IeA8EeA8BeB8EeE8FeH8AeD8JeC7IvhFXeB0gB?5mBzpBerBFsB
TILJSZO,O,O,O,X,X,O,X,X,X
TILJSOZ,X,O,X,O,O,O,X,X,X
TILJZSO,O,O,O,X,X,O,X,X,X
TILJZOS,O,O,O,X,X,X,X,X,X
TILJOSZ,X,O,X,O,O,O,X,X,X
TILJOZS,X,X,X,O,O,O,X,X,X
TILSJZO,O,O,O,X,X,O,X,X,X
TILSJOZ,X,O,X,O,O,O,X,X,X
TILSZJO,O,O,O,X,X,O,X,X,X
TILSZOJ,O,O,O,O,X,X,X,O,X
TILSOJZ,O,O,O,O,O,O,X,O,X
TILSOZJ,X,X,O,O,X,O,X,O,X
TILZJSO,O,O,O,X,X,O,X,X,X
TILZJOS,O,O,O,X,X,X,X,X,X
TILZSJO,O,O,O,X,X,O,X,X,X
TILZSOJ,O,O,O,O,X,X,X,O,X
TILZOJS,X,O,O,O,X,X,X,O,X
TILZOSJ,O,O,O,O,X,X,X,O,X
TILOJSZ,O,O,O,O,O,O,X,O,X
TILOJZS,O,O,O,O,O,O,X,O,X
TILOSJZ,O,O,O,O,O,O,X,O,X
TILOSZJ,X,X,O,O,X,O,X,O,X
TILOZJS,X,X,O,O,X,O,X,O,X
TILOZSJ,X,X,O,O,X,O,X,O,X
TIJLSZO,O,O,O,X,X,O,X,X,X
TIJLSOZ,X,O,X,O,O,O,X,X,X
TIJLZSO,O,O,O,X,X,O,X,X,X
TIJLZOS,O,O,O,X,X,X,X,X,X
TIJLOSZ,X,O,X,O,O,O,X,X,X
TIJLOZS,X,X,X,O,O,X,X,X,X
TIJSLZO,O,O,O,X,X,O,X,X,X
TIJSLOZ,X,O,X,O,O,O,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,O,X,O,X,X
TIJSOLZ,O,O,O,O,O,O,X,O,X
TIJSOZL,O,X,X,O,O,X,O,X,X
TIJZLSO,O,O,X,X,X,X,X,X,X
