sequence,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFRbB/iBajBzgBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFygB2iB0fBziB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBmdBKlBzgB0iBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbByiBmgB0iBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je//Iv?hFRbBidBOlB8lBziBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hFibBmdB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jem7Iv?hFidBxfBziB0fB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Je2/Iv?hFzbB/iBajBRlBUlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gByiB0iBRlB3lBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jex6Iv?hFehB/iBajB0fBTlBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8Jei6Iv?hFzbBRlB3nBUlBmnBlsB,v115@4gA8CeA8EeA8CeB8DeB8BeC8BeB8CeH8AeB8JeT6Iv?hF2gBliBRlB8sB3qBisB
TILJSZO,X,X,X,O,X,X,X,O,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,O,O,X,X,X
TILJZSO,X,X,X,X,X,O,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,X,X,O,X,X,X
TILJOSZ,X,X,X,X,X,X,O,O,O,X,X,X
TILJOZS,X,X,X,X,X,O,O,X,O,X,X,X
TILSJZO,X,X,O,O,O,X,X,O,X,X,O,X
TILSJOZ,X,X,X,O,O,X,X,O,O,X,X,X
TILSZJO,X,X,O,X,O,O,X,O,X,X,O,X
TILSZOJ,X,X,O,X,O,O,X,O,X,X,O,X
TILSOJZ,X,X,O,O,O,X,X,O,O,X,X,X
TILSOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TILZJSO,X,X,O,X,O,O,X,X,X,X,X,X
TILZJOS,X,X,O,X,X,O,X,X,O,X,X,X
TILZSJO,X,X,O,X,O,O,X,X,X,X,X,X
TILZSOJ,X,X,O,X,O,O,X,X,X,X,X,X
TILZOJS,X,X,O,X,X,O,X,X,O,X,X,X
TILZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,O,O,O,X,X,X
TILOJZS,X,X,X,X,X,O,O,X,O,X,X,X
TILOSJZ,X,X,O,O,X,X,O,O,O,X,X,X
TILOSZJ,X,X,O,X,X,O,X,O,X,X,X,X
TILOZJS,X,X,O,X,X,O,O,X,O,X,X,X
TILOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,X,X,O,X,X,X,X
