sequence,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFzbBUdBajB2lBfnBFrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFUcBajBTgBOnB3hBFrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhF3bBUdBajBllBzmBOrB,v115@0gB8FeA8AeA8GeA8AeA8EeA8AeA8AeB8DeG8AeE8Je?Z/IvhFcgBajBThBOnBfrBlrB
TILJSZO,O,X,X,X
TILJSOZ,O,X,X,X
TILJZSO,X,X,X,X
TILJZOS,X,X,X,X
TILJOSZ,O,X,X,X
TILJOZS,X,X,X,X
TILSJZO,O,X,X,X
TILSJOZ,O,X,X,X
TILSZJO,O,X,X,X
TILSZOJ,X,X,X,X
TILSOJZ,X,X,X,X
TILSOZJ,X,X,O,X
TILZJSO,X,X,X,X
TILZJOS,X,X,X,X
TILZSJO,X,X,X,X
TILZSOJ,X,X,X,X
TILZOJS,X,X,X,X
TILZOSJ,X,X,X,X
TILOJSZ,X,X,O,X
TILOJZS,X,X,O,X
TILOSJZ,X,X,X,X
TILOSZJ,X,X,O,X
TILOZJS,X,X,X,X
TILOZSJ,X,X,O,X
TIJLSZO,O,X,X,X
TIJLSOZ,O,X,X,X
TIJLZSO,X,X,X,X
TIJLZOS,X,X,X,X
TIJLOSZ,O,X,X,X
TIJLOZS,X,O,X,X
TIJSLZO,O,X,X,X
TIJSLOZ,O,X,X,X
TIJSZLO,O,X,X,X
TIJSZOL,O,X,X,X
TIJSOLZ,O,X,X,X
TIJSOZL,O,X,X,X
TIJZLSO,X,X,X,X
TIJZLOS,X,X,X,X
TIJZSLO,X,X,X,X
TIJZSOL,X,X,X,X
TIJZOLS,X,X,X,X
TIJZOSL,X,X,X,X
TIJOLSZ,O,X,X,X
TIJOLZS,X,O,X,X
TIJOSLZ,O,X,X,X
TIJOSZL,O,X,X,X
TIJOZLS,X,O,X,X
TIJOZSL,X,X,X,X
TISLJZO,O,X,X,X
TISLJOZ,O,X,X,X
TISLZJO,O,X,X,X
TISLZOJ,X,X,X,X
TISLOJZ,X,X,X,X
TISLOZJ,X,X,O,X
TISJLZO,O,X,X,X
TISJLOZ,O,X,X,X
TISJZLO,O,X,X,X
TISJZOL,O,X,X,X
TISJOLZ,O,X,X,X
TISJOZL,O,X,X,X
TISZLJO,O,X,X,X
TISZLOJ,X,X,X,X
TISZJLO,O,X,X,X
TISZJOL,O,X,X,X
TISZOLJ,X,X,X,X
TISZOJL,X,X,X,X
TISOLJZ,X,X,X,X
TISOLZJ,X,X,O,X
TISOJLZ,X,X,X,X
TISOJZL,X,X,X,X
TISOZLJ,X,X,O,X
TISOZJL,X,X,X,X
TIZLJSO,X,X,X,X
TIZLJOS,X,X,X,X
TIZLSJO,X,X,X,X
TIZLSOJ,X,X,X,X
TIZLOJS,X,X,X,X
TIZLOSJ,X,X,X,X
TIZJLSO,X,X,X,X
TIZJLOS,X,X,X,X
TIZJSLO,X,X,X,X
TIZJSOL,X,X,X,X
TIZJOLS,X,X,X,X
TIZJOSL,X,X,X,X
TIZSLJO,X,X,X,X
TIZSLOJ,X,X,X,X
TIZSJLO,X,X,X,X
TIZSJOL,X,X,X,X
TIZSOLJ,X,X,X,X
TIZSOJL,X,X,X,X
TIZOLJS,X,X,X,X
TIZOLSJ,X,X,X,X
TIZOJLS,X,X,X,X
TIZOJSL,X,X,X,X
TIZOSLJ,X,X,X,X
TIZOSJL,X,X,X,X
TIOLJSZ,X,X,O,X
TIOLJZS,X,X,O,X
TIOLSJZ,X,X,X,X
TIOLSZJ,X,X,O,X
TIOLZJS,X,X,X,X
TIOLZSJ,X,X,O,X
TIOJLSZ,X,X,X,X
