sequence,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF6jBFhBXiB8?nBmqBzrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjB6?rBcsBmqB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex9IvhFFhBXiBTjBc?sB6rBmqB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex9IvhFFhBXiBTjBS?sBmqB0rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjBS?sBmqB0rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF6jBFhB8mBz?iBmqBXsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBFiBTjBy?qB+rBcsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeeCJvhFfjB6jBFhBc?sBxqBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Je6DJvhFFhBXiB8nBO?sBxqBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jem8IvhFCeBFhBTjBc?sBxqB3rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhFTeB8mBWoBy?qBXsBFrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX8IvhFxdBTjBlmBc?sBmqBCsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeVBJvhFTeBmmBCoBx?qBcsB3rB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeSCJvhFTeBUhBxnBl?mBmqBXsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeX+IvhFFhBSoBUnBx?qBOsBTrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhF8iB+jBzhBK?rB3lBFsB,v115@zgD8FeC8GeD8FeB8FeF8CeC8JeFBJvhFXiBTjBCjBU?nBxqB2wB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jem8IvhFfjB6jBTnBx?qB0rBFrB,v115@zgD8FeC8GeD8FeB8FeF8CeC8Jex8IvhFFhB8mBCjBT?jBmqBXsB
TILJSZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TILSOJZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILZJSO,O,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TILOSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
