sequence,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcB3gBGiBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygBTfBGiB0lBlm?B3rB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBzfBChBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcBGiBllB3m?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0hBll?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Je06IvhFxbB/iB2kBqlBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFWgBxbB/iB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhF3bBUdB1kBWrBxr?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeT6IvhF2gBqhB/iBxkBVr?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhFRcB3fBTiBllBcr?BGrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygB/iBTfB0lBlm?B+rB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFXcBViBUgBxmBGl?BTrB
TILJSZO,O,X,X,X,X,O,X,X,O,O,X,X,O
TILJSOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
TILJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TILSJZO,X,X,X,X,O,O,X,X,O,O,X,X,O
TILSJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
TILSZJO,X,X,X,X,X,O,X,X,O,O,X,X,O
TILSZOJ,O,X,X,X,X,O,X,X,X,O,X,X,O
TILSOJZ,O,X,X,X,O,O,X,X,X,O,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TILZJSO,X,X,X,X,X,X,X,X,O,X,X,X,O
TILZJOS,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,O,X,X,X,O
TILZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TILZOJS,X,X,X,X,X,X,X,X,O,X,X,X,O
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOJSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X,X,O,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TILOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJLSZO,O,X,X,X,X,O,X,X,O,O,X,X,O
TIJLSOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
TIJLZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
TIJLZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJSLZO,O,X,X,X,X,O,X,X,O,O,X,X,O
TIJSLOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,O,O,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,O,O,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,O,O,X,X,X
TIJZLSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,O,O,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
