sequence,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgB3?iBOrBCsB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhFTfB0gBlhB3?iBOrBCsB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgB3?iBKrBWxB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhFxbBCgBXhBl?iBUnBTrB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhF8fBqgBlhB3?iBxrBTrB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgBu?nBimB3rB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhF8fBqgBTcBl?iBxrB3rB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jem6IvhFCcBTfBlhB3?iBxrBUrB
TILJSZO,O,X,O,O,X,O,O,X
TILJSOZ,X,X,X,O,X,X,O,X
TILJZSO,O,X,O,O,X,X,O,X
TILJZOS,O,X,O,O,X,O,O,X
TILJOSZ,X,X,O,O,X,X,X,X
TILJOZS,X,X,O,O,X,X,O,X
TILSJZO,O,X,O,O,O,O,O,X
TILSJOZ,X,X,X,O,X,X,O,X
TILSZJO,O,X,O,O,O,O,O,X
TILSZOJ,O,X,O,X,O,O,O,X
TILSOJZ,O,X,X,O,X,X,O,X
TILSOZJ,O,X,X,X,O,O,O,X
TILZJSO,O,X,O,O,O,X,O,X
TILZJOS,O,X,O,O,X,O,O,X
TILZSJO,O,X,O,O,O,X,O,X
TILZSOJ,O,X,O,O,O,X,O,X
TILZOJS,O,X,O,O,X,O,O,X
TILZOSJ,O,X,O,X,X,X,O,X
TILOJSZ,O,X,O,O,X,X,X,X
TILOJZS,O,X,O,O,X,X,O,X
TILOSJZ,O,X,O,O,X,X,O,X
TILOSZJ,O,X,O,O,X,X,O,X
TILOZJS,O,X,O,O,X,X,O,X
TILOZSJ,O,X,O,X,X,X,O,X
TIJLSZO,O,X,O,O,X,O,O,X
TIJLSOZ,X,X,X,O,X,X,O,X
TIJLZSO,O,X,O,O,X,X,O,X
TIJLZOS,O,X,O,O,X,O,O,X
TIJLOSZ,X,X,X,O,X,X,X,X
TIJLOZS,X,X,O,O,X,X,O,X
TIJSLZO,X,X,X,O,X,O,O,O
TIJSLOZ,X,X,X,O,X,X,O,O
TIJSZLO,O,X,X,O,X,O,O,O
TIJSZOL,O,X,O,X,X,O,O,O
TIJSOLZ,X,X,X,O,X,O,O,O
TIJSOZL,X,X,X,X,X,O,X,X
TIJZLSO,O,X,O,O,X,X,O,O
TIJZLOS,O,X,O,O,X,O,O,O
TIJZSLO,O,X,X,O,X,O,O,O
TIJZSOL,O,X,O,O,X,O,O,O
TIJZOLS,O,X,O,X,X,O,O,O
TIJZOSL,O,X,O,X,X,O,O,X
TIJOLSZ,X,X,X,O,X,O,X,X
TIJOLZS,O,X,X,O,X,O,X,X
TIJOSLZ,X,X,X,O,X,O,X,X
TIJOSZL,O,X,X,O,X,O,X,X
TIJOZLS,O,X,X,X,X,O,X,X
TIJOZSL,O,X,X,X,X,O,X,X
TISLJZO,O,X,O,O,O,O,O,O
TISLJOZ,X,X,X,O,X,X,O,O
TISLZJO,O,X,O,O,O,O,O,O
TISLZOJ,O,X,O,X,O,O,O,O
TISLOJZ,X,X,X,O,X,O,O,O
TISLOZJ,O,X,X,X,O,O,O,O
TISJLZO,X,X,X,O,O,O,O,O
TISJLOZ,X,X,X,O,X,X,O,O
TISJZLO,O,X,X,O,X,O,O,O
TISJZOL,O,X,O,X,X,O,O,O
TISJOLZ,X,X,X,O,X,X,O,O
TISJOZL,X,X,X,X,X,O,X,O
TISZLJO,O,X,O,O,O,O,O,O
TISZLOJ,O,X,O,X,O,O,O,O
TISZJLO,O,X,X,O,O,O,O,O
TISZJOL,O,X,O,X,X,O,O,O
TISZOLJ,O,X,O,X,X,O,O,O
TISZOJL,O,X,O,X,X,O,O,O
TISOLJZ,X,X,X,O,X,O,O,O
TISOLZJ,O,X,O,X,O,O,O,O
TISOJLZ,X,X,X,O,X,O,O,O
TISOJZL,O,X,O,X,X,O,X,O
TISOZLJ,O,X,O,X,X,O,O,O
TISOZJL,O,X,O,X,X,O,O,O
TIZLJSO,O,X,O,O,O,X,O,O
TIZLJOS,O,X,O,O,X,O,O,O
TIZLSJO,O,X,O,O,O,X,O,O
TIZLSOJ,O,X,O,O,O,X,O,O
TIZLOJS,O,X,O,O,X,O,O,O
TIZLOSJ,O,X,O,X,X,X,O,O
TIZJLSO,O,X,O,O,O,X,O,O
TIZJLOS,O,X,O,O,X,O,O,O
TIZJSLO,O,X,X,O,O,O,O,O
TIZJSOL,O,X,O,O,X,O,O,O
TIZJOLS,O,X,O,X,X,O,O,O
TIZJOSL,O,X,O,X,X,O,O,O
TIZSLJO,O,X,O,O,O,O,O,O
TIZSLOJ,O,X,O,O,O,O,O,O
TIZSJLO,O,X,X,O,O,O,O,O
TIZSJOL,O,X,O,O,X,O,O,O
TIZSOLJ,O,X,O,O,X,O,O,O
TIZSOJL,O,X,O,O,X,O,O,O
TIZOLJS,O,X,O,X,X,O,O,O
TIZOLSJ,O,X,O,X,X,X,O,O
TIZOJLS,O,X,O,X,X,O,O,O
TIZOJSL,O,X,O,X,X,O,O,O
TIZOSLJ,O,X,O,X,X,X,O,O
TIZOSJL,O,X,O,X,X,O,O,O
TIOLJSZ,O,X,O,O,X,O,X,X
TIOLJZS,O,X,O,O,X,O,O,X
TIOLSJZ,O,X,O,O,X,O,O,X
TIOLSZJ,O,X,O,O,X,O,O,X
TIOLZJS,O,X,O,O,X,O,O,X
TIOLZSJ,O,X,O,X,X,X,O,X
TIOJLSZ,O,X,O,O,X,O,X,X
TIOJLZS,O,X,O,O,X,O,X,X
TIOJSLZ,X,X,X,O,X,O,X,O
TIOJSZL,O,X,O,O,X,O,X,O
TIOJZLS,O,X,O,X,X,O,X,O
TIOJZSL,O,X,O,X,X,O,X,O
TIOSLJZ,O,X,O,O,X,O,O,O
TIOSLZJ,O,X,O,O,X,O,O,O
TIOSJLZ,X,X,X,O,X,O,O,O
TIOSJZL,O,X,O,O,X,O,X,O
TIOSZLJ,O,X,O,O,X,O,O,O
TIOSZJL,O,X,O,O,X,O,O,O
TIOZLJS,O,X,O,X,X,O,O,O
TIOZLSJ,O,X,O,X,X,X,O,O
TIOZJLS,O,X,O,X,X,O,O,O
TIOZJSL,O,X,O,X,X,O,O,O
TIOZSLJ,O,X,O,X,X,O,O,O
TIOZSJL,O,X,O,X,X,O,O,O
TLIJSZO,O,X,O,O,X,O,O,X
TLIJSOZ,X,X,X,O,X,X,O,X
TLIJZSO,O,X,O,O,X,X,O,X
TLIJZOS,O,X,O,O,X,O,O,X
TLIJOSZ,X,X,O,O,X,X,X,X
TLIJOZS,X,X,O,O,X,X,O,X
TLISJZO,O,X,O,O,O,O,O,X
TLISJOZ,X,X,X,O,X,X,O,X
TLISZJO,O,X,O,O,O,O,O,X
TLISZOJ,O,X,O,X,O,O,O,X
TLISOJZ,O,X,X,O,X,X,O,X
TLISOZJ,O,X,X,X,O,O,O,X
TLIZJSO,O,X,O,O,O,X,O,X
TLIZJOS,O,X,O,O,X,O,O,X
TLIZSJO,O,X,O,O,O,X,O,X
TLIZSOJ,O,X,O,O,O,X,O,X
TLIZOJS,O,X,O,O,X,O,O,X
TLIZOSJ,O,X,O,X,X,X,O,X
TLIOJSZ,O,X,O,O,X,X,X,X
TLIOJZS,O,X,O,O,X,X,O,X
TLIOSJZ,O,X,O,O,X,X,O,X
TLIOSZJ,O,X,O,O,X,X,O,X
TLIOZJS,O,X,O,O,X,X,O,X
TLIOZSJ,O,X,O,X,X,X,O,X
TLJISZO,O,X,O,O,X,O,O,X
TLJISOZ,X,X,X,O,X,X,O,X
TLJIZSO,O,X,O,O,X,X,O,X
TLJIZOS,O,X,O,O,X,O,O,X
TLJIOSZ,O,X,O,O,X,X,X,X
TLJIOZS,O,X,O,O,X,X,O,X
TLJSIZO,O,X,O,O,X,O,X,X
TLJSIOZ,X,X,X,O,X,X,X,X
TLJSZIO,O,X,O,O,X,O,X,X
TLJSZOI,O,X,O,O,X,O,X,X
TLJSOIZ,O,X,O,O,X,O,X,X
TLJSOZI,O,X,O,O,X,O,X,X
TLJZISO,O,X,O,O,X,X,O,X
TLJZIOS,O,X,O,O,X,O,O,X
TLJZSIO,O,X,O,O,X,X,O,X
TLJZSOI,O,X,O,O,X,X,O,X
TLJZOIS,O,X,O,O,X,O,O,X
TLJZOSI,O,X,O,O,X,X,O,X
TLJOISZ,O,X,O,O,X,O,X,X
TLJOIZS,O,X,O,O,X,O,X,X
TLJOSIZ,O,X,O,O,X,O,X,X
TLJOSZI,O,X,O,O,X,O,X,X
TLJOZIS,O,X,O,O,X,O,O,X
TLJOZSI,O,X,O,O,X,X,O,X
TLSIJZO,O,X,O,O,O,O,O,X
TLSIJOZ,X,X,X,O,X,X,O,X
TLSIZJO,O,X,O,O,O,O,O,X
TLSIZOJ,O,O,O,X,O,O,O,X
TLSIOJZ,O,X,O,O,X,O,O,X
TLSIOZJ,O,O,O,X,O,O,O,X
TLSJIZO,O,X,O,O,X,O,X,X
TLSJIOZ,O,X,X,O,X,X,X,X
TLSJZIO,O,X,O,O,O,O,X,X
TLSJZOI,O,O,O,O,O,O,X,X
TLSJOIZ,O,X,O,O,X,O,X,X
TLSJOZI,O,O,O,O,X,O,X,X
TLSZIJO,O,X,O,O,O,O,O,X
TLSZIOJ,O,O,O,O,O,O,O,X
TLSZJIO,O,X,O,O,O,O,O,X
TLSZJOI,O,O,O,O,O,O,O,X
TLSZOIJ,O,O,O,O,X,O,X,X
TLSZOJI,O,O,O,O,O,O,O,X
TLSOIJZ,O,X,O,O,X,O,X,X
TLSOIZJ,O,O,O,O,X,O,X,X
TLSOJIZ,O,X,O,O,X,O,X,X
TLSOJZI,O,O,O,O,X,O,X,X
TLSOZIJ,O,O,O,O,X,O,X,X
TLSOZJI,O,O,O,O,O,O,O,X
TLZIJSO,O,X,O,O,O,X,O,X
TLZIJOS,O,X,O,O,X,O,O,X
TLZISJO,O,X,O,O,O,X,O,X
TLZISOJ,O,X,O,O,O,X,O,X
TLZIOJS,O,X,O,O,X,O,O,X
TLZIOSJ,O,X,O,X,X,X,O,X
TLZJISO,O,X,O,O,O,X,O,X
TLZJIOS,O,X,O,O,X,X,O,X
TLZJSIO,X,X,O,O,O,X,O,X
TLZJSOI,X,X,O,O,O,X,O,X
TLZJOIS,O,X,O,O,X,X,O,X
TLZJOSI,X,X,O,O,X,X,O,X
TLZSIJO,O,X,O,O,O,X,O,X
TLZSIOJ,O,O,O,O,O,X,O,X
TLZSJIO,O,X,X,O,O,X,O,X
TLZSJOI,O,O,X,O,O,X,O,X
TLZSOIJ,O,O,O,O,X,X,X,X
TLZSOJI,O,O,X,O,O,X,O,X
TLZOIJS,O,X,O,O,X,O,O,X
TLZOISJ,O,O,O,X,X,X,O,X
TLZOJIS,O,X,O,O,X,X,O,X
TLZOJSI,X,X,O,O,X,X,O,X
TLZOSIJ,O,O,O,O,X,X,X,X
TLZOSJI,O,O,X,O,X,X,O,X
TLOIJSZ,O,X,O,O,X,O,X,X
TLOIJZS,O,X,O,O,X,O,O,X
TLOISJZ,O,X,O,O,X,O,O,X
TLOISZJ,O,O,O,O,X,O,O,X
TLOIZJS,O,X,O,O,X,O,O,X
TLOIZSJ,O,O,O,X,X,X,O,X
TLOJISZ,O,X,O,O,X,O,X,X
TLOJIZS,O,X,O,O,X,O,X,X
TLOJSIZ,O,X,O,O,X,O,X,X
TLOJSZI,O,X,O,O,X,O,X,X
TLOJZIS,O,X,O,O,X,O,O,X
TLOJZSI,O,X,O,O,X,X,O,X
TLOSIJZ,O,X,O,O,X,O,X,X
TLOSIZJ,O,O,O,O,X,O,X,X
TLOSJIZ,O,X,O,O,X,O,X,X
TLOSJZI,O,O,O,O,X,O,X,X
TLOSZIJ,O,O,O,O,X,O,X,X
TLOSZJI,O,O,O,O,X,O,O,X
TLOZIJS,O,X,O,O,X,O,O,X
TLOZISJ,O,O,O,X,X,X,O,X
TLOZJIS,O,X,O,O,X,X,O,X
TLOZJSI,X,X,O,O,X,X,O,X
TLOZSIJ,O,O,O,O,X,X,X,X
TLOZSJI,O,O,X,O,X,X,O,X
TJILSZO,O,X,O,O,X,O,O,X
TJILSOZ,X,X,X,O,X,X,O,X
TJILZSO,O,X,O,O,X,X,O,X
TJILZOS,O,X,O,O,X,O,O,X
TJILOSZ,X,X,X,O,X,X,X,X
TJILOZS,X,X,O,O,X,X,O,X
TJISLZO,X,X,X,O,X,O,O,O
TJISLOZ,X,X,X,O,X,X,O,O
TJISZLO,O,X,X,O,X,O,O,O
TJISZOL,O,X,O,X,X,O,O,O
TJISOLZ,X,X,X,O,X,O,O,O
TJISOZL,X,X,X,X,X,O,X,X
TJIZLSO,O,X,O,O,X,X,O,O
TJIZLOS,O,X,O,O,X,O,O,O
TJIZSLO,O,X,X,O,X,O,O,O
TJIZSOL,O,X,O,O,X,O,O,O
TJIZOLS,O,X,O,X,X,O,O,O
TJIZOSL,O,X,O,X,X,O,O,X
TJIOLSZ,X,X,X,O,X,O,X,X
TJIOLZS,O,X,X,O,X,O,X,X
TJIOSLZ,X,X,X,O,X,O,X,X
TJIOSZL,O,X,X,O,X,O,X,X
TJIOZLS,O,X,X,X,X,O,X,X
TJIOZSL,O,X,X,X,X,O,X,X
TJLISZO,O,X,O,O,X,O,O,X
TJLISOZ,X,X,X,O,X,X,O,X
TJLIZSO,O,X,O,O,X,X,O,X
TJLIZOS,O,X,O,O,X,O,O,X
TJLIOSZ,X,X,O,O,X,X,X,X
TJLIOZS,X,X,O,O,X,X,O,X
TJLSIZO,O,X,O,O,X,O,X,X
TJLSIOZ,X,X,X,O,X,X,X,X
TJLSZIO,O,X,O,O,X,O,X,X
TJLSZOI,O,X,O,O,X,O,X,X
TJLSOIZ,O,X,O,O,X,O,X,X
TJLSOZI,O,X,O,O,X,O,X,X
TJLZISO,O,X,O,O,X,X,O,X
TJLZIOS,O,X,O,O,X,O,O,X
TJLZSIO,X,X,O,O,X,X,O,X
TJLZSOI,X,X,O,O,X,X,O,X
TJLZOIS,O,X,O,O,X,O,O,X
TJLZOSI,X,X,O,O,X,X,O,X
TJLOISZ,O,X,O,O,X,O,X,X
TJLOIZS,O,X,O,O,X,O,X,X
TJLOSIZ,O,X,O,O,X,O,X,X
TJLOSZI,O,X,O,O,X,O,X,X
TJLOZIS,O,X,O,O,X,O,O,X
TJLOZSI,X,X,O,O,X,X,O,X
TJSILZO,X,X,X,O,X,O,X,O
TJSILOZ,X,X,X,O,X,X,X,O
TJSIZLO,O,X,X,O,X,O,X,O
TJSIZOL,O,X,O,O,X,O,X,O
TJSIOLZ,X,X,X,O,X,O,X,O
TJSIOZL,X,X,X,X,X,O,X,X
TJSLIZO,X,X,X,O,X,O,X,X
TJSLIOZ,X,X,X,O,X,O,X,O
TJSLZIO,X,X,X,O,X,O,X,X
TJSLZOI,X,X,X,O,X,O,X,O
TJSLOIZ,X,X,X,O,X,O,X,O
TJSLOZI,X,X,X,O,X,O,X,O
TJSZILO,O,X,X,O,X,O,X,X
TJSZIOL,O,X,O,O,X,O,X,X
TJSZLIO,X,X,X,O,X,O,X,X
TJSZLOI,X,X,X,O,X,O,X,O
TJSZOIL,O,X,O,O,X,O,X,X
TJSZOLI,X,X,X,X,X,O,X,X
TJSOILZ,X,X,X,O,X,O,X,X
TJSOIZL,O,X,O,O,X,O,X,X
TJSOLIZ,X,X,X,O,X,O,X,O
TJSOLZI,X,X,X,O,X,O,X,O
TJSOZIL,O,X,O,O,X,O,X,X
TJSOZLI,X,X,X,X,X,O,X,X
TJZILSO,O,X,O,O,X,X,O,X
TJZILOS,O,X,O,O,X,O,O,X
TJZISLO,O,X,X,O,X,O,O,X
TJZISOL,O,X,O,O,X,O,O,X
TJZIOLS,O,X,O,X,X,O,O,X
TJZIOSL,O,X,O,X,X,O,O,X
TJZLISO,O,X,X,O,X,X,O,X
TJZLIOS,O,X,X,O,X,O,O,X
TJZLSIO,X,X,X,O,X,X,O,X
TJZLSOI,X,X,X,O,X,X,O,X
TJZLOIS,O,X,X,O,X,O,O,X
TJZLOSI,X,X,X,O,X,X,O,X
TJZSILO,O,X,X,O,X,O,O,X
TJZSIOL,O,X,X,O,X,O,O,X
TJZSLIO,X,X,X,O,X,O,O,X
TJZSLOI,X,X,X,O,X,O,O,X
TJZSOIL,O,X,X,O,X,O,X,X
TJZSOLI,X,X,X,X,X,O,X,X
TJZOILS,O,X,O,X,X,O,O,X
TJZOISL,O,X,O,X,X,O,O,X
TJZOLIS,O,X,X,O,X,O,O,X
TJZOLSI,X,X,X,O,X,X,O,X
TJZOSIL,O,X,X,O,X,O,X,X
TJZOSLI,X,X,X,X,X,O,X,X
TJOILSZ,O,X,O,O,X,O,X,X
TJOILZS,O,X,O,O,X,O,X,X
TJOISLZ,X,X,X,O,X,O,X,X
TJOISZL,O,X,O,O,X,O,X,X
TJOIZLS,O,X,O,X,X,O,X,X
TJOIZSL,O,X,O,X,X,O,X,X
TJOLISZ,O,X,O,O,X,O,X,X
TJOLIZS,O,X,O,O,X,O,X,X
TJOLSIZ,O,X,O,O,X,O,X,X
TJOLSZI,O,X,O,O,X,O,X,X
TJOLZIS,O,X,O,O,X,O,X,X
TJOLZSI,X,X,O,O,X,X,X,X
TJOSILZ,X,X,X,O,X,O,X,X
TJOSIZL,O,X,O,O,X,O,X,X
TJOSLIZ,X,X,X,O,X,O,X,X
TJOSLZI,X,X,X,O,X,O,X,X
TJOSZIL,O,X,O,O,X,O,X,X
TJOSZLI,X,X,X,X,X,O,X,X
TJOZILS,O,X,O,X,X,O,X,X
TJOZISL,O,X,O,X,X,O,X,X
