sequence,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oB6rBcsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBcsB6rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBcjBFhBR?sBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFCeBFhBXjBR?sB8rBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBcjBGiBR?sBlrBisB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBCeBOoBx?mBFsB8rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxcBFhB8mBC?jBOoBXsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBOoBl?mBcsBCsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBFhBRnBc?oBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFVhB3dBcjBx?mBurBisB
TILJSZO,X,X,X,X,O,X,O,O,X,X,X,X
TILJSOZ,X,X,X,X,O,X,O,O,X,X,X,X
TILJZSO,X,X,X,O,X,X,O,O,X,X,O,O
TILJZOS,X,X,X,O,X,X,O,O,X,X,O,O
TILJOSZ,X,X,X,X,O,X,O,O,X,X,X,X
TILJOZS,X,X,X,O,X,X,O,O,X,X,O,O
TILSJZO,X,X,X,X,O,X,O,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X,O,X,X,X,X,X
TILSZJO,X,X,X,O,X,X,O,X,X,X,O,O
TILSZOJ,X,X,X,O,X,X,O,X,X,X,O,O
TILSOJZ,X,X,X,X,O,X,O,X,X,X,X,X
TILSOZJ,X,X,X,O,X,X,O,X,X,X,O,O
TILZJSO,X,X,X,O,X,X,O,X,X,X,O,O
TILZJOS,X,X,X,O,X,X,O,X,X,X,O,O
TILZSJO,X,X,X,O,X,O,O,X,X,X,O,O
TILZSOJ,X,X,X,O,X,O,O,X,X,X,O,O
TILZOJS,X,X,X,O,X,X,O,X,X,X,O,O
TILZOSJ,X,X,X,O,X,O,O,X,X,X,O,O
TILOJSZ,X,X,X,X,O,X,O,O,X,X,X,X
TILOJZS,X,X,X,O,X,X,O,O,X,X,O,O
TILOSJZ,X,X,X,X,O,X,O,X,X,X,X,X
TILOSZJ,X,X,X,O,X,X,O,X,X,X,O,O
TILOZJS,X,X,X,O,X,X,O,X,X,X,O,O
TILOZSJ,X,X,X,O,X,O,O,X,X,X,O,O
TIJLSZO,X,X,X,X,O,X,O,O,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,O,O,X,X,X,X
TIJLZSO,X,X,X,O,X,X,O,O,X,X,X,O
TIJLZOS,X,X,X,O,X,X,O,O,X,X,X,O
TIJLOSZ,X,X,X,X,O,X,O,O,X,X,X,X
TIJLOZS,X,X,X,O,X,X,O,O,X,X,X,O
TIJSLZO,X,X,X,X,X,X,O,O,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,O,O,X,X,X,X
TIJSZLO,X,X,X,X,X,X,O,O,X,X,X,X
TIJSZOL,X,X,X,X,X,X,O,O,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,O,O,X,X,X,X
