sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
TILJSZO,X,X,X,X,X,X,O,O,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,O,X,X,X,X
TILJOZS,X,X,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,X,O,X,X,X,O,O,X,X,X,X
TILSJOZ,X,X,X,X,O,X,X,O,X,X,X,X
TILSZJO,X,X,O,X,X,X,X,O,X,X,X,X
TILSZOJ,X,X,O,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,O,X,X,O,X,X,X,X
TILSOZJ,X,X,O,X,O,X,X,O,X,X,X,X
TILZJSO,X,X,O,X,X,X,O,X,X,X,X,X
TILZJOS,X,X,O,X,X,X,O,X,X,X,X,X
TILZSJO,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,X,O,O,X,X,X,X
TILOJZS,X,X,X,X,X,X,O,X,X,X,X,X
TILOSJZ,X,X,O,X,O,X,O,O,X,X,X,X
TILOSZJ,X,X,O,X,O,X,X,O,X,X,X,X
TILOZJS,X,X,O,X,X,X,O,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,X,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,O,X,X,X
TIJLZSO,X,O,X,X,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,O,X,X,X
TIJLOZS,X,X,X,O,X,X,O,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,O,X,X,X,X,X
TIJSLOZ,X,O,X,X,O,X,X,X,O,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,O,X,X,X,X,O,X,X,X
TIJSOLZ,O,O,X,O,O,X,X,X,O,X,X,X
TIJSOZL,O,X,X,O,O,X,X,X,O,X,X,X
TIJZLSO,O,O,X,X,X,X,O,X,X,X,X,X
TIJZLOS,O,X,X,O,X,X,O,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,O,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,O,X,X,X,X,X,X,O,X
TIJOLSZ,X,X,X,O,O,X,X,X,O,X,X,X
TIJOLZS,X,X,X,O,X,X,O,X,X,X,X,X
TIJOSLZ,O,O,X,O,O,X,X,X,O,X,X,X
