sequence,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBciBTeBWsBFo?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBqiBTeB8mB+t?BlsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFUdBGeB6mB/oBTn?BVyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF8iB+jBlhB/sBCn?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFGdBlhB6oBXnB8s?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBFeBTiBcoBWs?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFXeBSoBUnBlmBTt?BGsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFFdBXeB0hBSoBGs?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cB+jBliBzmBCt?BUtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBCtBct?BGtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFlhBcnBTjBCnBGt?BXtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBGtBct?BCtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF+jBlhB3iBzmBCt?BUtB
TILJSZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TILJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TILJZSO,O,X,O,X,X,O,X,X,X,X,X,X,O
TILJZOS,O,X,X,X,X,O,X,X,X,X,X,X,X
TILJOSZ,O,X,O,X,X,O,X,X,O,X,X,X,O
TILJOZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TILSJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TILSJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TILSZJO,O,X,O,X,O,O,X,X,X,X,X,X,X
TILSZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
TILSOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,X,O,X,X,X,X,X,X,O
TILZJOS,O,X,X,X,X,O,X,X,X,X,O,X,X
TILZSJO,O,X,O,X,X,O,X,X,X,X,X,X,X
TILZSOJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TILZOJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TILOJZS,O,X,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TILOZJS,O,X,O,X,X,X,X,X,X,O,X,X,X
TILOZSJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TIJLSZO,O,O,O,X,O,O,X,O,X,X,X,X,O
TIJLSOZ,O,O,O,X,X,O,X,O,X,X,X,X,O
TIJLZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
TIJLZOS,O,O,X,X,X,O,X,O,X,X,X,X,X
TIJLOSZ,O,O,O,X,X,O,X,X,X,X,X,X,O
TIJLOZS,O,O,O,X,X,O,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,O,O,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
TIJSZLO,O,O,O,X,O,X,X,X,X,X,X,X,X
TIJSZOL,O,O,O,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TIJSOZL,O,O,O,O,O,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,X,O,X,X,X,X,X
TIJZLOS,O,O,X,X,X,X,X,O,X,X,O,X,X
TIJZSLO,O,O,X,X,O,X,X,O,X,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,O,X,X,O,X,X
TIJZOLS,O,O,X,X,X,X,X,O,X,X,O,X,X
TIJZOSL,O,O,X,X,X,X,X,O,X,X,O,X,X
TIJOLSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
TIJOLZS,O,O,X,O,X,O,X,O,X,X,X,X,X
TIJOSLZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TIJOSZL,O,O,O,O,O,X,X,X,X,X,X,O,X
TIJOZLS,O,O,X,O,X,X,X,O,X,X,O,O,X
TIJOZSL,O,O,O,O,X,X,X,O,X,X,O,O,X
TISLJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TISLJOZ,X,X,O,X,X,O,X,X,X,X,X,X,O
TISLZJO,X,X,O,X,O,O,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,O,O,X,X,X,X,X,X,X
TISLOJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,O,X,O,O,X,X,X,X,X,X,X
TISJLOZ,X,X,O,X,X,O,X,X,X,X,X,X,X
TISJZLO,O,O,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,O,O,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,O,X,O,X,X,X,X,X,X,X
TISJOZL,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZLJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZJLO,X,O,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,O,O,X,O,X,X,X,X,X,O,X,X
TISZOLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZOJL,X,X,O,O,O,X,X,X,X,X,X,X,X
TISOLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
