sequence,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFmgBzhBfoB6oB0l?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBamBzhBGjBUo?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBUiBGjBzlBfs?BVyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBemBUiBFjBfs?BSyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBUhBFiB6oBzn?BmrB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBymBGjBUoBXm?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBFiB8nB+oBzl?BfsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBmhBSoBXmBUo?BFsB
TILJSZO,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,O
TILJZSO,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X
TILSJZO,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,O
TILSZJO,X,X,O,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,O
TILSOZJ,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,O,X,X
TILZSJO,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,O,X,X
TILZOSJ,X,X,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X
TILOZJS,X,X,X,X,X,O,X,X
TILOZSJ,X,X,X,X,X,X,X,X
TIJLSZO,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,O
TIJLZSO,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,O
TIJSZLO,X,X,O,X,X,X,X,X
TIJSZOL,X,X,O,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,O
TIJSOZL,X,X,O,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X
TISLJZO,X,X,O,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,O
TISLZJO,O,O,O,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,X,O
TISLOZJ,O,O,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,O
TISJZLO,X,X,O,X,X,X,X,X
TISJZOL,X,X,O,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,O
TISJOZL,X,X,O,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X
TISZJOL,O,O,O,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X
TISOLJZ,X,X,O,X,X,X,X,O
TISOLZJ,O,O,O,X,X,X,X,X
TISOJLZ,X,X,O,X,X,X,X,O
TISOJZL,X,X,O,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,O,X,X
TIZLSJO,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,O,X,X
TIZLOSJ,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,O,X,X
TIZJSLO,O,O,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,X,X
TIZJOSL,O,O,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,O,X,X
TIZOLSJ,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,O,X,X
TIZOJSL,O,O,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,X
TIOLSZJ,X,X,O,X,X,X,X,X
TIOLZJS,X,X,X,X,X,O,X,X
TIOLZSJ,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X
TIOZLJS,X,X,X,X,X,O,X,X
TIOZLSJ,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,O,X,X
TIOZJSL,O,O,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,O
TLIJZSO,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X
TLISJZO,X,X,O,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,O
TLISZJO,X,X,O,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,O
TLISOZJ,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,O,X,X
TLIZSJO,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,O,X,X
TLIZOSJ,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X
TLIOZJS,X,X,X,X,X,O,X,X
TLIOZSJ,X,X,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,O
TLJIZSO,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X
