sequence,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8Jex6IvhFicBzdB?OkBXgBFnBUsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFCbB2hB?zdBXgBFnBUsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFufBcgB?TcBidBFnB3sB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeZ/IvhFGbB/hB?FdB8iBzfBKsB,v115@8gA8IeA8CeB8CeB8AeE8AeI8BeB8JeT7IvhF/hBRdB?OkBliB0fBKsB
TILJSZO,O,O,X,O,X
TILJSOZ,O,O,X,X,X
TILJZSO,X,X,O,O,X
TILJZOS,O,X,O,X,X
TILJOSZ,O,O,X,X,X
TILJOZS,O,X,O,X,X
TILSJZO,O,O,X,O,X
TILSJOZ,O,O,X,X,X
TILSZJO,X,O,O,O,X
TILSZOJ,O,O,O,O,X
TILSOJZ,O,O,X,O,X
TILSOZJ,O,O,O,O,X
TILZJSO,X,X,O,O,X
TILZJOS,X,X,O,X,X
TILZSJO,X,X,O,O,X
TILZSOJ,X,X,O,O,X
TILZOJS,X,X,O,O,X
TILZOSJ,X,X,O,O,X
TILOJSZ,O,O,X,O,X
TILOJZS,O,X,O,O,X
TILOSJZ,O,O,X,O,X
TILOSZJ,O,O,O,O,X
TILOZJS,X,X,O,O,X
TILOZSJ,X,X,O,O,X
TIJLSZO,O,O,X,O,X
TIJLSOZ,O,O,X,X,X
TIJLZSO,X,X,O,O,X
TIJLZOS,O,X,O,X,X
TIJLOSZ,O,O,X,X,X
TIJLOZS,O,X,O,X,X
TIJSLZO,O,O,X,X,X
TIJSLOZ,O,O,X,X,X
TIJSZLO,O,O,X,X,X
TIJSZOL,O,O,X,X,X
TIJSOLZ,O,O,X,X,X
TIJSOZL,O,O,X,X,X
TIJZLSO,X,X,O,O,X
TIJZLOS,O,X,O,X,X
TIJZSLO,X,O,O,X,X
TIJZSOL,X,O,O,X,X
TIJZOLS,O,X,O,X,X
TIJZOSL,X,O,O,X,X
TIJOLSZ,O,O,X,X,X
TIJOLZS,O,X,O,X,X
TIJOSLZ,O,O,X,X,X
TIJOSZL,O,O,X,X,X
TIJOZLS,O,X,O,X,X
TIJOZSL,X,O,O,X,X
TISLJZO,O,O,X,X,X
TISLJOZ,O,O,X,X,X
TISLZJO,X,O,O,X,X
TISLZOJ,O,O,O,X,X
TISLOJZ,O,O,X,X,X
TISLOZJ,O,O,O,X,X
TISJLZO,O,O,X,X,X
TISJLOZ,O,O,X,X,X
TISJZLO,O,O,X,X,X
TISJZOL,O,O,X,X,X
TISJOLZ,O,O,X,X,X
TISJOZL,O,O,X,X,X
TISZLJO,X,O,O,X,X
TISZLOJ,O,O,O,X,X
TISZJLO,X,O,O,X,X
TISZJOL,X,O,O,X,X
TISZOLJ,O,O,O,X,X
TISZOJL,X,O,O,X,X
TISOLJZ,O,O,X,X,X
TISOLZJ,O,O,O,X,X
TISOJLZ,O,O,X,X,X
TISOJZL,O,O,X,X,X
TISOZLJ,O,O,O,X,X
TISOZJL,X,O,O,X,X
TIZLJSO,X,X,O,O,X
TIZLJOS,X,X,O,X,X
TIZLSJO,X,X,O,O,X
TIZLSOJ,X,X,O,O,X
TIZLOJS,X,X,O,O,X
TIZLOSJ,X,X,O,O,X
TIZJLSO,X,X,O,O,X
TIZJLOS,X,X,O,X,X
TIZJSLO,X,O,O,X,X
TIZJSOL,X,O,O,X,X
TIZJOLS,X,X,O,X,X
TIZJOSL,X,O,O,X,X
TIZSLJO,X,O,O,X,X
TIZSLOJ,X,O,O,X,X
TIZSJLO,X,O,O,X,X
TIZSJOL,X,O,O,X,X
TIZSOLJ,X,O,O,X,X
TIZSOJL,X,O,O,X,X
TIZOLJS,X,X,O,O,X
TIZOLSJ,X,X,O,O,X
TIZOJLS,X,X,O,O,X
TIZOJSL,X,O,O,X,X
TIZOSLJ,X,O,O,X,X
TIZOSJL,X,O,O,X,X
TIOLJSZ,O,O,X,O,X
TIOLJZS,O,X,O,O,X
TIOLSJZ,O,O,X,O,X
TIOLSZJ,O,O,O,O,X
TIOLZJS,X,X,O,O,X
TIOLZSJ,X,X,O,O,X
TIOJLSZ,O,O,X,O,X
TIOJLZS,O,X,O,O,X
TIOJSLZ,O,O,X,X,X
TIOJSZL,O,O,X,X,X
TIOJZLS,O,X,O,O,X
TIOJZSL,X,O,O,X,X
TIOSLJZ,O,O,X,X,X
TIOSLZJ,O,O,O,X,X
TIOSJLZ,O,O,X,X,X
TIOSJZL,O,O,X,X,X
TIOSZLJ,O,O,O,X,X
TIOSZJL,X,O,O,X,X
TIOZLJS,X,X,O,O,X
TIOZLSJ,X,X,O,O,X
TIOZJLS,X,X,O,O,X
TIOZJSL,X,O,O,X,X
TIOZSLJ,X,O,O,X,X
TIOZSJL,X,O,O,X,X
TLIJSZO,O,O,X,O,O
TLIJSOZ,O,O,X,X,O
TLIJZSO,X,X,O,O,X
TLIJZOS,O,X,O,X,X
TLIJOSZ,O,O,X,X,O
TLIJOZS,O,X,O,X,X
TLISJZO,O,O,X,O,O
TLISJOZ,O,O,X,X,O
TLISZJO,X,O,O,O,O
TLISZOJ,O,O,O,O,O
TLISOJZ,O,O,X,O,O
TLISOZJ,O,O,O,O,O
TLIZJSO,X,X,O,O,X
TLIZJOS,X,X,O,X,X
TLIZSJO,X,X,O,O,X
TLIZSOJ,X,X,O,O,X
TLIZOJS,X,X,O,O,X
TLIZOSJ,X,X,O,O,X
TLIOJSZ,O,O,X,O,O
TLIOJZS,O,X,O,O,X
TLIOSJZ,O,O,X,O,O
TLIOSZJ,O,O,O,O,O
TLIOZJS,X,X,O,O,X
TLIOZSJ,X,X,O,O,X
TLJISZO,O,O,X,O,O
TLJISOZ,O,O,X,X,O
TLJIZSO,X,X,O,O,X
TLJIZOS,O,X,O,X,X
TLJIOSZ,O,O,X,X,O
TLJIOZS,O,X,O,X,X
TLJSIZO,O,O,X,O,O
TLJSIOZ,O,O,X,X,O
TLJSZIO,O,O,X,O,O
TLJSZOI,O,O,X,O,O
TLJSOIZ,O,O,X,X,O
TLJSOZI,O,O,X,X,O
TLJZISO,X,X,O,O,X
TLJZIOS,O,X,O,X,X
TLJZSIO,O,X,O,O,O
TLJZSOI,O,X,O,O,O
TLJZOIS,O,X,O,X,X
TLJZOSI,O,X,O,X,O
TLJOISZ,O,O,X,X,O
TLJOIZS,O,X,O,X,X
TLJOSIZ,O,O,X,X,O
TLJOSZI,O,O,X,X,O
TLJOZIS,O,X,O,X,X
TLJOZSI,O,X,O,X,O
TLSIJZO,O,O,X,O,O
TLSIJOZ,O,O,X,X,O
TLSIZJO,X,O,O,O,O
TLSIZOJ,O,O,O,O,O
TLSIOJZ,O,O,X,O,O
TLSIOZJ,O,O,O,O,O
TLSJIZO,O,O,X,O,O
TLSJIOZ,O,O,X,X,O
TLSJZIO,O,O,X,O,O
TLSJZOI,O,O,X,O,O
TLSJOIZ,O,O,X,X,O
TLSJOZI,O,O,X,X,O
TLSZIJO,X,O,O,O,O
TLSZIOJ,O,O,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,O,O,O,O
TLSZOJI,O,O,O,O,O
TLSOIJZ,O,O,X,O,O
TLSOIZJ,O,O,O,O,O
TLSOJIZ,O,O,X,O,O
TLSOJZI,O,O,X,O,O
TLSOZIJ,O,O,O,O,O
TLSOZJI,O,O,O,O,O
TLZIJSO,X,X,O,O,X
TLZIJOS,X,X,O,X,X
TLZISJO,X,X,O,O,X
TLZISOJ,X,X,O,O,X
TLZIOJS,X,X,O,O,X
TLZIOSJ,X,X,O,O,X
TLZJISO,X,X,O,O,X
TLZJIOS,O,X,O,X,X
TLZJSIO,O,X,O,O,O
TLZJSOI,O,X,O,O,O
TLZJOIS,O,X,O,X,X
TLZJOSI,O,X,O,X,O
TLZSIJO,X,X,O,O,O
TLZSIOJ,O,X,O,O,O
TLZSJIO,O,X,O,O,O
TLZSJOI,O,X,O,O,O
TLZSOIJ,O,X,O,O,O
TLZSOJI,O,X,O,O,O
TLZOIJS,X,X,O,O,X
TLZOISJ,X,X,O,O,X
TLZOJIS,O,X,O,O,X
TLZOJSI,O,X,O,O,O
TLZOSIJ,O,X,O,O,O
TLZOSJI,O,X,O,O,O
TLOIJSZ,O,O,X,O,O
TLOIJZS,O,X,O,O,X
TLOISJZ,O,O,X,O,O
TLOISZJ,O,O,O,O,O
TLOIZJS,X,X,O,O,X
TLOIZSJ,X,X,O,O,X
TLOJISZ,O,O,X,O,O
TLOJIZS,O,X,O,O,X
TLOJSIZ,O,O,X,O,O
TLOJSZI,O,O,X,O,O
TLOJZIS,O,X,O,O,X
