sequence,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFGc?BxdB0iB6oBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8Jez6IvhFSh?BmdB5jB0iBllB3qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeG7IvhFTc?B/iBajB5jBllBUqB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JefAJvhFlb?BchBidB5jBziB+qB,v115@zgA8IeA8IeB8CeB8CeC8AeE8AeB8BeF8JeR7IvhFch?BTdBFgB6oBXjB+qB
TILJSZO,X,X,O,O,X
TILJSOZ,O,X,O,X,X
TILJZSO,O,O,X,O,X
TILJZOS,O,O,X,X,X
TILJOSZ,O,X,O,X,X
TILJOZS,O,O,X,X,X
TILSJZO,X,X,O,O,X
TILSJOZ,O,X,O,X,X
TILSZJO,X,O,O,X,X
TILSZOJ,X,O,O,X,X
TILSOJZ,O,X,O,X,X
TILSOZJ,X,O,O,X,X
TILZJSO,O,O,X,X,X
TILZJOS,O,O,X,X,X
TILZSJO,O,O,X,X,X
TILZSOJ,O,O,X,X,X
TILZOJS,O,O,X,X,X
TILZOSJ,O,O,X,X,X
TILOJSZ,O,X,O,X,X
TILOJZS,O,O,X,X,X
TILOSJZ,O,X,O,X,X
TILOSZJ,X,O,O,X,X
TILOZJS,O,O,X,X,X
TILOZSJ,O,O,X,X,X
TIJLSZO,X,X,O,O,X
TIJLSOZ,O,X,O,X,X
TIJLZSO,O,O,X,O,X
TIJLZOS,O,O,X,X,X
TIJLOSZ,O,X,O,X,X
TIJLOZS,O,O,X,X,X
TIJSLZO,X,X,O,O,X
TIJSLOZ,X,X,O,X,X
TIJSZLO,X,X,O,O,X
TIJSZOL,X,X,O,O,X
TIJSOLZ,X,X,O,O,X
TIJSOZL,X,X,O,O,X
TIJZLSO,O,O,X,O,X
TIJZLOS,O,O,X,X,X
TIJZSLO,X,O,O,O,X
TIJZSOL,O,O,O,O,X
TIJZOLS,O,O,X,O,X
TIJZOSL,O,O,O,O,X
TIJOLSZ,O,X,O,O,X
TIJOLZS,O,O,X,O,X
TIJOSLZ,X,X,O,O,X
TIJOSZL,X,X,O,O,X
TIJOZLS,O,O,X,O,X
TIJOZSL,O,O,O,O,X
TISLJZO,X,X,O,O,X
TISLJOZ,X,X,O,X,X
TISLZJO,X,O,O,X,X
TISLZOJ,X,O,O,X,X
TISLOJZ,X,X,O,X,X
TISLOZJ,X,O,O,X,X
TISJLZO,X,X,O,O,X
TISJLOZ,X,X,O,X,X
TISJZLO,X,X,O,O,X
TISJZOL,X,X,O,O,X
TISJOLZ,X,X,O,O,X
TISJOZL,X,X,O,O,X
TISZLJO,X,O,O,X,X
TISZLOJ,X,O,O,X,X
TISZJLO,X,O,O,X,X
TISZJOL,X,O,O,X,X
TISZOLJ,X,O,O,X,X
TISZOJL,X,O,O,X,X
TISOLJZ,X,X,O,O,X
TISOLZJ,X,O,O,X,X
TISOJLZ,X,X,O,O,X
TISOJZL,X,X,O,O,X
TISOZLJ,X,O,O,X,X
TISOZJL,X,O,O,X,X
TIZLJSO,O,O,X,X,X
TIZLJOS,O,O,X,X,X
TIZLSJO,O,O,X,X,X
TIZLSOJ,O,O,X,X,X
TIZLOJS,O,O,X,X,X
TIZLOSJ,O,O,X,X,X
TIZJLSO,O,O,X,X,X
TIZJLOS,O,O,X,X,X
TIZJSLO,X,O,O,X,X
TIZJSOL,O,O,O,X,X
TIZJOLS,O,O,X,X,X
TIZJOSL,O,O,O,X,X
TIZSLJO,X,O,O,X,X
TIZSLOJ,X,O,O,X,X
TIZSJLO,X,O,O,X,X
TIZSJOL,O,O,O,X,X
TIZSOLJ,X,O,O,X,X
TIZSOJL,O,O,O,X,X
TIZOLJS,O,O,X,X,X
TIZOLSJ,O,O,X,X,X
TIZOJLS,O,O,X,X,X
TIZOJSL,O,O,O,X,X
TIZOSLJ,X,O,O,X,X
TIZOSJL,O,O,O,X,X
TIOLJSZ,O,X,O,O,X
TIOLJZS,O,O,X,O,X
TIOLSJZ,O,X,O,O,X
TIOLSZJ,X,O,O,X,X
TIOLZJS,O,O,X,X,X
TIOLZSJ,O,O,X,X,X
TIOJLSZ,O,X,O,O,X
TIOJLZS,O,O,X,O,X
TIOJSLZ,X,X,O,O,X
TIOJSZL,X,X,O,O,X
TIOJZLS,O,O,X,O,X
TIOJZSL,O,O,O,O,X
TIOSLJZ,X,X,O,O,X
TIOSLZJ,X,O,O,X,X
TIOSJLZ,X,X,O,O,X
TIOSJZL,X,X,O,O,X
TIOSZLJ,X,O,O,X,X
TIOSZJL,X,O,O,X,X
TIOZLJS,O,O,X,X,X
TIOZLSJ,O,O,X,X,X
TIOZJLS,O,O,X,X,X
TIOZJSL,O,O,O,X,X
TIOZSLJ,X,O,O,X,X
TIOZSJL,O,O,O,X,X
TLIJSZO,X,X,O,O,X
TLIJSOZ,O,X,O,X,X
TLIJZSO,O,O,X,O,X
TLIJZOS,O,O,X,X,X
TLIJOSZ,O,X,O,X,X
TLIJOZS,O,O,X,X,X
TLISJZO,X,X,O,O,X
TLISJOZ,O,X,O,X,X
TLISZJO,X,O,O,X,X
TLISZOJ,X,O,O,X,X
TLISOJZ,O,X,O,X,X
TLISOZJ,X,O,O,X,X
TLIZJSO,O,O,X,X,X
TLIZJOS,O,O,X,X,X
TLIZSJO,O,O,X,X,X
TLIZSOJ,O,O,X,X,X
TLIZOJS,O,O,X,X,X
TLIZOSJ,O,O,X,X,X
TLIOJSZ,O,X,O,X,X
TLIOJZS,O,O,X,X,X
TLIOSJZ,O,X,O,X,X
TLIOSZJ,X,O,O,X,X
