sequence,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBOiB6jBcmBzi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBcmBmiBTi?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcBKiBzdB+jBcm?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXcB6jBFiB8nBTm?BOsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFXdBTeBamBWoB0h?BFsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFTeBFhB3mBCoBcn?BmrB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFmcBCeBFhBTjB3m?BcsB,v115@9gC8GeD8FeD8DeH8AeC8Jex6IvhFCeB/nBTjB0mBFm?BmrB
TILJSZO,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X
TILJZSO,O,O,O,X,X,X,X,X
TILJZOS,X,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X
TILZJSO,O,O,O,X,X,X,X,X
TILZJOS,X,X,O,X,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X
TIJLZSO,O,O,O,X,X,X,X,X
TIJLZOS,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X,X
TIJZLOS,X,X,O,X,X,X,O,X
TIJZSLO,O,O,O,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X
TIJZOLS,O,X,O,X,X,X,O,X
TIJZOSL,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X
TIJOLZS,O,X,O,X,X,X,O,X
TIJOSLZ,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,O,X,X
TISLOJZ,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,O,X,X
TISJLZO,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,X,X,X,O,X
TISZLOJ,X,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,X,X,O,X
TISZJOL,X,X,X,X,X,X,O,X
TISZOLJ,X,X,X,X,X,X,O,X
TISZOJL,X,X,X,X,X,X,O,X
TISOLJZ,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,O,X
TISOZJL,X,X,X,X,X,X,O,X
TIZLJSO,O,O,O,X,X,X,X,X
TIZLJOS,X,X,O,X,X,X,O,X
TIZLSJO,O,O,O,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X,X
TIZJLOS,X,X,O,X,X,X,O,X
TIZJSLO,O,O,O,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X,X
TIZJOLS,O,X,O,X,X,X,O,X
TIZJOSL,O,X,X,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,X,O,X
TIZOJSL,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,O,X
TIOLSJZ,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,O,X
TIOZLJS,O,X,X,X,X,X,O,X
TIOZLSJ,O,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,X,O,X
TIOZJSL,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,X,X
TLIJZSO,O,O,O,X,X,X,X,X
TLIJZOS,X,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,X,X
TLIZJOS,X,X,O,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,O,X,X,X
TLJIZSO,O,O,O,X,X,X,X,X
TLJIZOS,X,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,O,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,O,X,X,X
TLJSOZI,X,X,X,X,O,X,X,X
TLJZISO,O,O,O,X,X,X,X,X
TLJZIOS,X,X,O,X,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X,X
TLJZSOI,X,O,O,X,X,X,X,X
TLJZOIS,X,X,O,X,X,X,X,X
TLJZOSI,X,X,O,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X
TLZIJSO,O,O,O,X,X,X,X,X
TLZIJOS,X,X,O,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,X,X,X,X
TLZJIOS,X,X,O,X,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X,X
TLZJSOI,X,O,O,X,X,X,X,X
TLZJOIS,X,X,O,X,X,X,X,X
TLZJOSI,X,X,O,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X
TLZSJOI,X,O,O,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X
TJILZSO,O,O,O,X,X,X,X,X
TJILZOS,X,X,O,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X
TJILOZS,X,X,O,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,X,X,X,X,X
TJIZLOS,X,X,O,X,X,X,O,X
TJIZSLO,O,O,O,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X,X
TJIZOLS,O,X,O,X,X,X,O,X
TJIZOSL,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X
TJIOLZS,O,X,O,X,X,X,O,X
TJIOSLZ,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,O,X,X,X
TJLIZSO,O,O,O,X,X,X,X,X
TJLIZOS,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,O,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,O,X,X,X
TJLSOZI,X,X,X,X,O,X,X,X
TJLZISO,O,O,O,X,X,X,X,X
TJLZIOS,X,X,O,X,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X,X
TJLZSOI,X,O,O,X,X,X,X,X
TJLZOIS,X,X,O,X,X,X,X,X
TJLZOSI,X,X,O,X,X,X,X,X
TJLOISZ,X,X,X,X,O,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X
TJLOSIZ,X,X,X,X,O,X,X,X
TJLOSZI,X,X,X,X,O,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X
TJLOZSI,X,X,O,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,O,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,O,X,X,X
TJSLOZI,X,X,X,X,O,X,X,X
TJSZILO,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,O,X,X,X
TJSOLZI,X,X,X,X,O,X,X,X
TJSOZIL,X,X,X,X,X,X,X,X
