sequence,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeT7IvhFxcBWlB/mBU?iBlqBywB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeT7IvhFxcBflBuqBF?nB0rBirB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jex8IvhFflBlgBUiBO?rB6qBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je6AJvhFxcBzfBlhB/?rBOsB0qB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je6AJvhFXdBzfBFnBx?qBerB0rB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeT7IvhFxcBflBFnBC?rBUrBmrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je6AJvhFxcBzfB/rBF?nB0qBmrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeX7IvhFxcBChBVnBU?lBerBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je08IvhFflBlgBxmB6?qBOsBTrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeZBJvhFCdBGgBVnBX?gB0qBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeX9IvhFCgBFnBxqBe?rBTlB0rB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jem7IvhFFdBCgBcmBT?lBXnBRwB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je8/IvhFqgBxcB/qBF?nBTrBmrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jex7IvhFXdBCgBTlBF?nB0rBerB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je08IvhFCgBFnBxqBe?rBTlBXsB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeX7IvhFCdBVnBRlBm?qBzrB8qB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jex7IvhFCgB/qBUmBF?nBOsBTrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jex8IvhFCgBTlB/rBF?nBmrB0qB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je07IvhFCdBzfBVnB3?lB2rBRwB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je8/IvhFzbBXdBWnBx?qBywBlqB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jei7IvhFchBflB5lBF?nBTrBOsB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je8/IvhFugBCdBZmBV?nB/qBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8JeT7IvhFCdBflB8lBV?nB2rBRwB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Je8/IvhFxcBylBFnB+?lBXrBzrB,v115@zgB8FeC8FeD8GeD8EeF8DeC8Jem7IvhFUiBRlBfsBF?lBzqBCsB
TILJSZO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILJSOZ,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TILJZOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILJOZS,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
TILSJOZ,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TILSZOJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TILSOJZ,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TILZJSO,X,O,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X
TILZJOS,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TILZSOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X
TILOJSZ,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TILOZJS,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
