sequence,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF5hBKiBzdB8?lB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdB0gBFnBG?rB3sBirB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF8iBlhBzlB2?sBCnBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdB6lB/mBU?iB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF5hByiB8lBT?iB2wBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdBmgBUiBf?rBqrBlsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhF8iBlhBzlBR?sBywBGsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeKCJvhFzdBlgBRrB3?sBcrBGrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeX9IvhF8iBlgBTmB2?sBCmBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je37IvhFuhB8lBliBy?rBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeaCJvhFzdBxgBUhBf?rB1sBWxB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je8CJvhFlgB3hB2sBz?lBCnBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeG8IvhFidBlgB0nBR?rBTrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Jei8IvhF0gBfnBliBW?rBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JefCJvhFmdBlgBqnB0?mBzlBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JelAJvhFUiBXmBznBG?mBinBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeF8IvhFXdB8iB6lBT?mB2sBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFyiBlgBTiBR?rB3sBUrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JexAJvhFiiBzgBumB1?sBUrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je39IvhFlgBxmBumB8?sBzlBywB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je8BJvhFlgB3iB2rBC?mBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFyiBlgBXnBz?lB0nBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je2CJvhFlgBcmBXnBC?mBznBxwB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhF3dBSmBOsBl?lB8sBTrB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeR8IvhFzdBlgBGrBi?sBcrB/sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je+BJvhFKiBlgBznBR?rBUrB3sB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeSCJvhFlgBxmBeoBz?lB3rBUsB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeWCJvhFlgBxmB8sBz?lB3rBisB,v115@zgC8FeC8GeD8EeE8FeE8DeB8JeSCJvhFlgBxmBeoBz?lBUsB3rB,v115@zgC8FeC8GeD8EeE8FeE8DeB8Je38IvhF6lBliBmmBU?mBznBxwB
TILJSZO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
TILJSOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TILJZSO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
TILJZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
TILJOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TILSJZO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,O
TILSJOZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TILSZJO,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
TILSZOJ,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TILSOZJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TILZJOS,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
TILZSOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILOJZS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TIJLZSO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
TIJLZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
TIJLOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
