sequence,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBF?nB8sBmsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBl?iBUnBetB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFWiBxdBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBSiBTeB2?mBFoB0sB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBRdBCiB/?sBFoBctB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jex7IvhF6iBTeB0gBl?hB/sBOtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBCdBxiBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBGeBihBU?jBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFSjBxgB0gBF?nBXoBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFfjB6jBxgB0?gBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBThBliB2?sBctBCtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhF2hBXeBcoBR?mBqsBFsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je2AJvhFCdBxiBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFFdBzgBfnB5?nBcoBOtB
TILJSZO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILJZOS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILJOSZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILSJZO,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TILSJOZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TILSZJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TILSZOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TILSOJZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X
TILZJOS,X,X,O,X,X,X,X,X,O,X,X,O,X,X
TILZSJO,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TILZSOJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TILOJSZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILOSJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TILOSZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TILOZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TILOZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
