sequence,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFicBuiBcjBX?gBzhBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBqiBTeBX?gB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBSjBXgB0?hBziBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Je2AJvhFRcBCeBzhBX?jB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhF/hBRdBSjB2?nB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jei7IvhFWjBRhB0fBz?hBXjBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFyhBGeBXgBz?iB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhF2hBTeBXgBS?nB8sBFsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhFxhBOoB0fBl?hBCjB/sB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFTcBcjBXgBS?nB2sBlsB
TILJSZO,X,X,X,X,O,O,X,X,X,X
TILJSOZ,X,X,X,X,O,O,X,X,X,X
TILJZSO,O,O,X,X,X,O,X,X,X,X
TILJZOS,O,O,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,O,O,X,X,X,X
TILJOZS,O,O,X,X,X,O,X,X,X,X
TILSJZO,O,O,O,X,O,O,X,X,X,X
TILSJOZ,O,O,X,X,O,O,O,X,X,X
TILSZJO,O,O,O,X,X,X,X,X,X,X
TILSZOJ,O,O,O,X,X,X,O,X,X,X
TILSOJZ,O,O,X,X,O,X,O,X,X,X
TILSOZJ,O,O,O,X,X,X,O,X,X,X
TILZJSO,O,O,O,X,X,O,X,X,X,X
TILZJOS,O,O,X,X,X,O,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,O,O,X,X,X
TILOJZS,O,O,X,X,X,O,X,X,X,X
TILOSJZ,O,O,X,X,O,X,O,X,X,X
