sequence,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFxdB0fB?lhB3iBTmBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxdBzfB?lhB3iB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxdB?lhB3iBirB0rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8JeT6IvhFegBxcB?XeBFnB0rBirB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFTcBxdB?0fBliB3mBywB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFTcBxdB?liB0fBmrB3rB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jem6IvhFCdBXeB?0fBVnBZmBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFxcBXeB?zfBVnB0mB2wB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBmrBTrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jey/IvhFxdBlhB?3iB0fBOrBzrB,v115@2gA8IeA8EeB8BeB8CeF8CeG8CeC8Jei6IvhFXeBzfB?WnBZmB8rBFsB
TILJSZO,X,X,O,X,O,O,X,X,O,X,X
TILJSOZ,X,X,O,X,O,O,X,O,O,X,X
TILJZSO,X,X,X,X,O,O,X,X,X,X,X
TILJZOS,X,X,X,X,O,O,X,X,X,X,X
TILJOSZ,X,X,O,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,O,O,X,X,X,X,X
TILSJZO,O,X,O,X,O,X,X,X,O,O,X
TILSJOZ,X,X,O,X,O,X,X,O,O,X,X
TILSZJO,O,X,O,X,O,X,O,X,O,O,X
TILSZOJ,O,X,X,X,O,X,O,O,O,O,X
TILSOJZ,X,X,O,X,O,X,X,O,X,X,X
TILSOZJ,O,X,X,X,O,O,X,O,O,O,X
TILZJSO,O,X,X,X,O,X,O,X,X,X,X
TILZJOS,X,X,X,X,O,X,O,X,X,X,X
TILZSJO,O,X,X,X,O,X,O,X,X,X,X
TILZSOJ,O,X,X,X,O,X,O,O,X,X,X
TILZOJS,X,X,X,X,O,O,O,X,X,X,X
TILZOSJ,X,X,X,X,O,O,O,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,O,X,X,X
TILOJZS,X,X,X,X,O,O,X,X,X,X,X
TILOSJZ,X,X,X,X,O,X,X,O,X,X,X
TILOSZJ,X,X,X,X,O,O,X,O,X,X,X
TILOZJS,X,X,X,X,O,O,X,X,X,X,X
TILOZSJ,X,X,X,X,O,O,X,O,X,X,X
TIJLSZO,X,X,O,X,O,O,X,X,O,X,X
TIJLSOZ,X,X,O,X,O,O,X,O,O,X,X
TIJLZSO,X,X,X,X,O,O,X,X,X,X,X
TIJLZOS,X,X,X,X,O,O,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,O,O,X,X,X,X,X
TIJSLZO,X,X,O,X,X,O,X,X,O,X,X
TIJSLOZ,X,O,O,O,X,O,X,O,O,X,X
TIJSZLO,X,X,X,O,X,O,X,X,O,X,X
TIJSZOL,X,O,O,O,X,O,X,X,X,X,X
TIJSOLZ,X,O,O,O,X,O,X,O,O,X,X
TIJSOZL,X,O,O,O,X,O,X,X,X,X,X
TIJZLSO,X,X,X,O,O,O,X,X,X,X,X
TIJZLOS,X,X,X,O,O,O,X,X,X,X,X
TIJZSLO,X,X,X,O,O,O,X,X,X,X,X
TIJZSOL,X,X,X,O,O,O,X,X,X,X,X
TIJZOLS,X,X,X,O,O,O,X,X,X,X,X
TIJZOSL,X,X,X,O,O,X,X,X,X,X,X
TIJOLSZ,X,O,O,X,X,O,X,O,X,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,X
TIJOSLZ,X,O,O,O,X,O,X,O,X,X,X
TIJOSZL,X,O,O,O,X,O,X,X,X,X,X
TIJOZLS,X,X,X,O,O,O,X,X,X,X,X
TIJOZSL,X,X,X,O,O,X,X,X,X,X,X
TISLJZO,O,X,O,X,O,X,X,X,O,O,X
TISLJOZ,X,X,O,O,O,X,X,O,O,X,X
TISLZJO,O,X,O,X,O,X,O,X,O,O,X
TISLZOJ,O,X,X,X,O,X,O,O,O,O,X
TISLOJZ,X,O,O,X,O,X,X,O,X,X,X
TISLOZJ,O,O,X,X,O,O,X,O,O,O,X
TISJLZO,X,X,O,X,X,X,X,X,O,O,X
TISJLOZ,X,O,O,O,X,X,X,O,O,X,X
TISJZLO,O,X,X,O,X,X,X,X,O,X,X
TISJZOL,O,O,O,O,X,X,X,X,X,X,X
TISJOLZ,X,O,O,O,X,X,X,O,O,X,X
TISJOZL,X,O,O,O,X,X,X,X,X,X,X
TISZLJO,O,X,X,X,O,X,O,X,O,O,X
TISZLOJ,O,X,X,X,O,X,O,O,O,O,X
TISZJLO,O,X,X,X,O,X,O,X,X,X,X
TISZJOL,O,X,O,O,O,X,O,X,X,X,X
TISZOLJ,X,O,X,X,X,X,O,O,X,X,X
TISZOJL,O,X,X,X,O,X,O,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X,O,X,X,X
TISOLZJ,X,O,X,X,X,O,X,O,O,O,X
TISOJLZ,X,O,O,O,X,X,X,O,X,X,X
TISOJZL,X,O,O,O,X,X,X,O,X,X,X
TISOZLJ,X,O,X,X,X,X,X,O,X,X,X
TISOZJL,O,X,X,X,O,X,X,X,X,X,X
TIZLJSO,O,X,X,X,O,X,O,X,X,X,X
TIZLJOS,X,X,X,X,O,X,O,X,X,X,X
TIZLSJO,O,X,X,X,O,X,O,X,X,X,X
TIZLSOJ,O,X,X,X,O,X,O,O,X,X,X
TIZLOJS,X,X,X,X,O,O,O,X,X,X,X
TIZLOSJ,X,X,X,X,O,O,O,X,X,X,X
TIZJLSO,O,X,X,X,O,X,O,X,X,X,X
TIZJLOS,X,X,X,X,O,X,O,X,X,X,X
TIZJSLO,O,X,X,X,O,X,O,X,X,X,X
TIZJSOL,O,X,X,X,O,X,O,X,X,X,X
TIZJOLS,X,X,X,X,O,X,O,X,X,X,X
TIZJOSL,X,X,X,X,O,X,O,X,X,X,X
TIZSLJO,O,X,X,X,O,X,O,X,X,X,X
TIZSLOJ,O,X,X,X,O,X,O,O,X,X,X
TIZSJLO,O,X,X,X,O,X,O,X,X,X,X
TIZSJOL,O,X,X,X,O,X,O,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,O,O,X,X,X
TIZSOJL,O,X,X,X,O,X,O,X,X,X,X
TIZOLJS,X,X,X,X,O,O,O,X,X,X,X
TIZOLSJ,X,X,X,X,O,O,O,O,X,X,X
TIZOJLS,X,X,X,X,O,X,O,X,X,X,X
TIZOJSL,X,X,X,X,O,X,O,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,O,O,X,X,X
TIZOSJL,X,X,X,X,O,X,O,X,X,X,X
TIOLJSZ,X,O,X,X,X,O,X,O,X,X,X
TIOLJZS,X,X,X,X,O,O,X,O,X,X,X
TIOLSJZ,X,O,X,X,O,X,X,O,X,X,X
TIOLSZJ,X,O,X,X,O,O,X,O,X,X,X
TIOLZJS,X,X,X,X,O,O,X,X,X,X,X
TIOLZSJ,X,X,X,X,O,O,X,O,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,O,X,X,X
TIOJLZS,X,X,X,X,X,O,X,O,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,O,X,X,X
TIOJSZL,X,O,X,X,X,X,X,O,X,X,X
TIOJZLS,X,X,X,X,O,X,X,O,X,X,X
TIOJZSL,X,X,X,X,O,X,X,O,X,X,X
TIOSLJZ,X,O,X,X,X,X,X,O,X,X,X
TIOSLZJ,X,O,X,X,X,O,X,O,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,O,X,X,X
TIOSJZL,X,O,X,X,X,X,X,O,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,O,X,X,X
TIOSZJL,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,X,X,O,O,X,X,X,X,X
TIOZLSJ,X,X,X,X,O,O,X,O,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,X,O,X,X,X
TIOZSJL,X,X,X,X,O,X,X,X,X,X,X
TLIJSZO,X,X,O,X,O,O,X,X,O,X,X
TLIJSOZ,X,X,O,X,O,O,X,O,O,X,X
TLIJZSO,X,X,X,X,O,O,X,X,X,X,X
TLIJZOS,X,X,X,X,O,O,X,X,X,X,X
