sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TILJSZO,X,X,O,X,X,X
TILJSOZ,X,X,O,X,X,X
TILJZSO,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X
TILJOZS,X,X,X,X,X,X
TILSJZO,X,X,O,X,X,X
TILSJOZ,X,X,O,X,X,X
TILSZJO,X,X,O,X,X,X
TILSZOJ,X,X,O,X,X,X
TILSOJZ,X,X,O,X,X,X
TILSOZJ,X,X,O,X,X,X
TILZJSO,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X
TILOJZS,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X
TILOSZJ,X,X,O,X,X,X
TILOZJS,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X
TIJLSZO,X,X,O,X,X,X
TIJLSOZ,X,X,O,X,X,X
TIJLZSO,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X
TIJLOZS,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X
TIJSLOZ,X,X,O,X,X,X
TIJSZLO,X,X,O,X,X,X
TIJSZOL,X,X,O,X,X,X
TIJSOLZ,X,X,O,X,X,X
TIJSOZL,X,X,O,X,X,O
TIJZLSO,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X
TIJOLZS,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,X
TIJOSZL,X,X,O,X,X,X
TIJOZLS,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X
TISLJZO,X,X,O,X,X,X
TISLJOZ,X,X,O,X,X,X
TISLZJO,X,X,O,X,X,X
TISLZOJ,X,X,O,X,X,X
TISLOJZ,X,X,O,X,X,X
TISLOZJ,X,X,O,X,X,X
TISJLZO,X,X,O,X,X,X
TISJLOZ,X,X,O,X,X,X
TISJZLO,X,X,O,X,X,X
TISJZOL,X,X,O,X,X,X
TISJOLZ,X,X,O,X,X,X
TISJOZL,X,X,O,X,X,O
TISZLJO,X,X,O,X,X,X
TISZLOJ,X,X,O,X,X,X
TISZJLO,X,X,O,X,X,X
TISZJOL,X,X,O,X,X,X
TISZOLJ,X,X,O,X,X,X
TISZOJL,X,X,O,X,X,X
TISOLJZ,X,X,O,X,X,X
TISOLZJ,X,X,O,X,X,X
TISOJLZ,X,X,O,X,X,X
TISOJZL,X,X,O,X,X,O
TISOZLJ,X,X,O,X,X,X
TISOZJL,X,X,O,X,X,X
TIZLJSO,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X
TIOLJZS,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,X
TIOLSZJ,X,X,O,X,X,X
TIOLZJS,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X
TIOJLZS,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,X
TIOJSZL,X,X,O,X,X,X
TIOJZLS,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,X
TIOSLZJ,X,X,O,X,X,X
TIOSJLZ,X,X,O,X,X,X
TIOSJZL,X,X,O,X,X,X
TIOSZLJ,X,X,O,X,X,X
TIOSZJL,X,X,O,X,X,X
TIOZLJS,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,X
TLIJSOZ,X,X,O,X,X,X
TLIJZSO,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X
TLIJOSZ,X,X,O,X,X,X
TLIJOZS,X,O,X,X,X,X
TLISJZO,X,X,O,X,X,X
TLISJOZ,O,X,O,X,X,X
TLISZJO,X,X,O,X,X,X
TLISZOJ,X,X,O,X,X,X
TLISOJZ,O,X,O,X,X,X
TLISOZJ,X,X,O,X,X,X
TLIZJSO,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X
TLIZSJO,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X
TLIZOSJ,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X
TLIOJZS,X,O,X,X,X,X
TLIOSJZ,O,X,O,X,X,X
TLIOSZJ,X,X,O,X,X,X
TLIOZJS,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,X
TLJISOZ,X,X,O,X,X,X
TLJIZSO,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X
TLJIOSZ,X,X,O,X,X,X
TLJIOZS,X,O,X,X,X,X
TLJSIZO,X,X,O,X,X,X
TLJSIOZ,X,X,O,X,X,X
TLJSZIO,X,X,O,X,X,X
TLJSZOI,X,X,O,X,X,X
TLJSOIZ,X,X,O,X,X,X
TLJSOZI,X,X,O,X,X,X
TLJZISO,X,X,X,X,X,X
TLJZIOS,X,O,X,X,X,X
TLJZSIO,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X
TLJZOSI,X,O,X,X,X,X
TLJOISZ,X,X,O,X,X,X
TLJOIZS,X,O,X,X,X,X
TLJOSIZ,X,X,O,X,X,X
TLJOSZI,X,X,O,X,X,X
TLJOZIS,X,O,X,X,X,X
TLJOZSI,X,O,X,X,X,X
TLSIJZO,X,X,O,X,X,X
TLSIJOZ,O,X,O,X,X,X
TLSIZJO,X,X,O,X,X,X
TLSIZOJ,X,X,O,X,X,X
TLSIOJZ,O,X,O,X,X,X
TLSIOZJ,X,X,O,X,X,X
TLSJIZO,X,X,O,X,X,X
TLSJIOZ,O,X,O,X,X,X
TLSJZIO,O,X,O,X,X,X
TLSJZOI,O,X,O,X,X,X
TLSJOIZ,O,X,O,X,X,X
TLSJOZI,O,X,O,X,X,X
TLSZIJO,O,X,O,X,X,X
TLSZIOJ,O,X,O,X,X,X
TLSZJIO,O,X,O,X,X,X
TLSZJOI,O,X,O,X,X,X
TLSZOIJ,O,X,O,X,X,X
TLSZOJI,O,X,O,X,X,X
TLSOIJZ,O,X,O,X,X,X
TLSOIZJ,X,X,O,X,X,X
TLSOJIZ,O,X,O,X,X,X
TLSOJZI,O,X,O,X,X,X
TLSOZIJ,O,X,O,X,X,X
TLSOZJI,O,X,O,X,X,X
TLZIJSO,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X
TLZISJO,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X
TLZIOJS,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X
TLZJISO,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,X
TLZJSIO,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X
TLZJOSI,X,O,X,X,X,X
TLZSIJO,O,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X
TLZSJOI,O,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X
TLZOIJS,X,O,X,X,X,X
TLZOISJ,O,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X
TLZOJSI,X,O,X,X,X,X
TLZOSIJ,O,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X
TLOIJZS,X,O,X,X,X,X
TLOISJZ,O,X,O,X,X,X
TLOISZJ,X,X,O,X,X,X
TLOIZJS,X,O,X,X,X,X
TLOIZSJ,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X
TLOJIZS,X,O,X,X,X,X
TLOJSIZ,X,X,O,X,X,X
TLOJSZI,X,X,O,X,X,X
TLOJZIS,X,O,X,X,X,X
TLOJZSI,X,O,X,X,X,X
TLOSIJZ,O,X,O,X,X,X
TLOSIZJ,X,X,O,X,X,X
TLOSJIZ,O,X,O,X,X,X
TLOSJZI,O,X,O,X,X,X
