sequence,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBigBu?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFxbBXdBmgB6?qBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgB0cB5lBK?mBFnBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFOgBXdB5lBK?mBFnB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFibBFdB3gB5?mB8qBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Je2/IvhFRbBCdB3gBV?nB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhFXdBmfBzgBF?nBCrB0rB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jex6IvhF0cBmfBzgBF?nBCrBXsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFTcBUgB/rBF?nB5lBOsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBRgBWnB3?gB8qBzrB,v115@7gB8GeE8FeE8DeF8AeA8BeC8JeT6IvhFZhB/lBWnB8?rB6qBFsB,v115@7gB8GeE8FeE8DeF8AeA8BeC8Jei6IvhFFdBUgBxmBX?mBzrBuqB
TILJSZO,X,O,O,O,X,O,X,X,X,O,X,X
TILJSOZ,O,O,O,O,X,X,O,X,X,X,X,X
TILJZSO,X,O,O,O,X,O,X,X,X,O,X,X
TILJZOS,X,O,O,O,X,O,X,X,X,O,X,X
TILJOSZ,O,O,O,O,X,X,O,O,X,X,X,X
TILJOZS,X,O,O,O,X,O,O,O,X,O,X,X
TILSJZO,X,O,O,O,X,X,X,X,X,X,X,X
TILSJOZ,O,O,O,O,X,X,O,X,X,X,X,X
TILSZJO,X,O,O,O,X,X,X,X,X,X,X,X
TILSZOJ,O,O,O,O,X,X,X,X,X,X,X,X
TILSOJZ,O,O,O,O,X,X,O,X,X,X,X,X
TILSOZJ,O,O,O,O,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,O,X,O,X,X,X,O,X,X
TILZJOS,X,X,O,O,X,O,X,X,X,O,X,X
TILZSJO,X,X,O,O,O,O,X,X,X,X,X,X
TILZSOJ,O,X,O,O,O,O,X,X,X,X,X,X
TILZOJS,X,X,O,O,X,X,X,O,X,O,X,O
TILZOSJ,O,X,O,O,O,X,X,X,X,X,X,O
TILOJSZ,O,O,O,O,X,X,O,O,X,O,X,X
TILOJZS,X,O,O,O,X,X,O,O,X,O,X,O
TILOSJZ,O,O,O,O,X,X,O,X,X,X,X,X
TILOSZJ,O,O,O,O,X,X,X,X,X,X,X,O
TILOZJS,X,X,O,O,X,X,X,O,X,X,X,O
TILOZSJ,O,X,O,O,O,X,X,X,X,X,X,O
TIJLSZO,O,X,O,O,X,O,X,X,X,O,X,X
TIJLSOZ,O,X,O,O,X,X,O,X,X,X,X,X
TIJLZSO,O,X,O,O,O,O,X,X,X,O,X,X
TIJLZOS,O,X,O,O,O,O,X,X,X,O,X,X
TIJLOSZ,O,X,O,O,X,X,O,O,X,X,X,X
TIJLOZS,O,X,O,O,O,O,O,O,X,O,X,X
TIJSLZO,O,X,X,X,X,O,X,X,X,O,X,X
TIJSLOZ,O,X,X,X,X,X,O,X,X,X,X,X
TIJSZLO,X,X,X,X,O,X,X,X,X,X,O,X
TIJSZOL,O,X,X,X,O,X,X,X,X,X,O,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,O,X,X,X,X,X,O,X
TIJZLSO,X,X,X,X,O,O,X,X,X,O,X,X
TIJZLOS,X,X,X,X,O,O,X,X,X,O,X,X
TIJZSLO,X,X,X,X,O,O,X,X,X,O,X,X
TIJZSOL,X,X,X,X,O,O,X,X,X,X,X,X
TIJZOLS,X,X,X,X,O,O,X,X,X,O,X,X
TIJZOSL,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,O,X,X,X,X,X,X,X,X
TIJOLZS,O,X,O,O,O,O,X,X,X,O,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,O,X,X,X,X,X,O,X
TIJOZLS,X,X,X,X,O,X,X,X,X,X,X,X
