sequence,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBasB8sB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBysBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBxdB?3gBSnBOoBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBFnB8sBisB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeU7IvhFRdBSjB?lhB3gBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iB8sBasB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBSjB?3gBRnBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFCeBTgB?lhBXjB2sBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFSjBTgB?lhBmnB3nBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iBysBUsB
TILJSZO,O,O,O,X,X,X,X,X,X,X
TILJSOZ,O,O,X,X,X,X,X,X,X,X
TILJZSO,X,O,O,X,O,X,X,X,X,X
TILJZOS,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,X,X,O,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,X,O
TILSZJO,O,O,O,X,O,X,O,X,X,X
TILSZOJ,O,O,O,X,O,X,O,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X,O
TILSOZJ,X,X,X,X,X,X,O,X,X,O
TILZJSO,O,O,O,X,O,X,X,X,X,X
TILZJOS,O,O,O,X,O,X,X,X,X,X
TILZSJO,O,O,O,X,O,X,O,X,X,X
TILZSOJ,O,O,O,X,O,X,O,X,X,X
TILZOJS,O,O,O,X,O,X,X,X,X,X
TILZOSJ,O,O,O,X,O,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,O,O
TILOJZS,X,X,X,X,X,X,X,X,O,X
TILOSJZ,X,O,X,X,X,X,X,X,O,O
TILOSZJ,X,X,X,X,X,X,X,X,X,O
TILOZJS,X,X,O,X,X,X,X,X,O,X
TILOZSJ,X,X,O,X,O,X,X,X,X,O
TIJLSZO,O,O,O,X,O,X,X,X,X,X
TIJLSOZ,O,O,X,X,X,X,X,X,X,X
TIJLZSO,X,O,O,X,O,X,X,X,X,X
TIJLZOS,X,O,O,X,O,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,X,O,X
TIJLOZS,X,X,O,X,O,X,X,X,O,X
TIJSLZO,O,O,O,X,O,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,O,X,X
TIJSZLO,O,X,X,O,O,X,X,X,X,X
