sequence,v115@EhC8FeF8DeG8AeF8JeO/IvhF6gB0cBxdBzfB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBCgB/mBTgBlqB,v115@EhC8FeF8DeG8AeF8JeK/IvhFzaB+gB0cBxdB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBflBlgBTmB6qB,v115@EhC8FeF8DeG8AeF8JeT6IvhF0bBxdBykBumBXhBlqB,v115@EhC8FeF8DeG8AeF8JeT6IvhFxdBlhBmkBUmB/lBCrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFCcBxdBTfBlhB/qBUrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFxdBTfBclBXmBlmBCrB
TILJSZO,O,O,O,X,O,X,O,X
TILJSOZ,O,O,O,X,O,X,O,X
TILJZSO,O,O,O,X,O,X,X,X
TILJZOS,X,X,O,X,O,X,X,X
TILJOSZ,O,O,O,X,O,X,O,X
TILJOZS,O,X,O,X,O,X,O,X
TILSJZO,O,O,O,X,X,X,O,X
TILSJOZ,O,O,O,X,X,X,O,X
TILSZJO,O,O,O,X,X,X,O,X
TILSZOJ,O,O,O,X,X,X,O,X
TILSOJZ,O,O,O,X,X,X,O,X
TILSOZJ,O,O,O,X,X,X,O,X
TILZJSO,O,O,O,X,O,O,X,X
TILZJOS,X,X,O,X,O,O,X,X
TILZSJO,O,O,O,X,X,X,O,X
TILZSOJ,O,O,O,X,X,X,O,X
TILZOJS,O,X,O,X,O,X,O,X
TILZOSJ,O,X,O,X,X,X,O,X
TILOJSZ,O,O,O,X,O,X,O,X
TILOJZS,O,X,O,X,O,X,O,X
TILOSJZ,O,O,O,X,X,X,O,X
TILOSZJ,O,O,O,X,X,X,O,X
TILOZJS,O,X,O,X,O,X,O,X
TILOZSJ,O,X,O,X,X,X,O,X
TIJLSZO,O,O,O,X,O,X,O,X
TIJLSOZ,O,O,O,X,O,X,O,X
TIJLZSO,O,O,O,X,O,X,X,X
