sequence,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBXiBllBc?sBTrBCrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBTiBllBc?rBXsBCrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiB6?rBcsBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFKiBzdB3gBc?mBWwBFsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBlmBc?sBzqBCsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFyiB3gBcmBT?iBWwBFsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiBS?sBzqB0rB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBllBcrBT?nBCrBXsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je07IvhFzdBllBGnBZ?nBXrB6rB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBFhBXiB6?qBcsBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFidBfnBunBl?lB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBfnB6nBl?lB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je07IvhFmdBSnBllBx?rBzrBXrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFRdB1lB3iBq?rBUnBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdBllB3mBc?sBzqBCsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhF1lBRiB3iBq?rBUnBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX8IvhFmdBTiBllBx?rBqrB0qB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFRdB1lBUiBq?rB3nBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFidBWnBllB3?nB0rBzqB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je8CJvhFzhBllBxrB6?qBOrBXsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeT8IvhF8iBllBxrB3?rB6qBOsB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX8IvhFmdBFiBxlBc?sB6qBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jem7IvhFfiB8iB1lBS?rBTnBRwB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Jex7IvhFmdB3gBFiBc?sBCrBTrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8Je8BJvhFzdBllBxrBX?sB6qBOrB,v115@zgB8GeD8FeC8FeE8EeE8DeC8JeX9IvhF8iBllBxrBz?rB6qBOrB
TILJSZO,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TILJSOZ,X,X,X,O,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TILJZSO,O,O,O,O,X,O,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X
TILJZOS,X,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TILJOSZ,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TILJOZS,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TILSJOZ,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,O,O,O,X
TILSOJZ,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TILSOZJ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X
TILZJSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X,X,X,O,O,X,X
TILZJOS,X,X,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TILZSJO,O,O,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X
TILZSOJ,X,O,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,O,O,X,X
TILZOJS,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,O
TILZOSJ,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O
TILOJSZ,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TILOJZS,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TILOSJZ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
TILOSZJ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X
TILOZJS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,O
TILOZSJ,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O
TIJLSZO,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TIJLSOZ,X,X,X,O,X,X,O,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TIJLZSO,O,O,O,O,X,O,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X
