sequence,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiB6rBcs?BzqB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBcsB6r?BzqB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcByiBcmBTiBWw?BFsB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFyiBFhBGnBXnBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFeiBzdBFhBcsBXm?BSwB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBcsBCr?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiBSsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBFiBcsBCr?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmcBzdB8qBCnBXs?BFrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmcBzdBFhBcsBCr?B3rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFidBFhB3iBWsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFmdBFhBXiBSsBzq?B0rB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFXcBmdBlmBcsBzq?BCsB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFzdBFhB/nBumB8q?BywB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhFidBGhB3iB8qBFs?BTrB,v115@8gD8FeE8DeE8EeE8DeC8Jex6IvhF0cB3iBTmBuqBln?BywB
TILJSZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TILJZOS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TILJOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILSJOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TILSZJO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TILSZOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TILSOJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZJSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TILZJOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TILZSJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TILZSOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TILZOJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TILOJZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TILOZSJ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TIJLSZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TIJLZOS,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJSZOL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJZLSO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIJZLOS,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJZSLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIJZSOL,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TIJZOLS,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TIJZOSL,O,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X
TIJOLSZ,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TIJOLZS,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TIJOZLS,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TIJOZSL,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
TISLJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TISLJOZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TISLZJO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TISLZOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TISLOJZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISJLZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TISJLOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TISJZOL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TISZLJO,O,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X
TISZLOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TISZJLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TISZJOL,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X
TISZOLJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TISZOJL,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TISOLJZ,O,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X
TISOLZJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISOJLZ,O,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X
TISOZLJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLJSO,O,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TIZLJOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIZLSJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X
TIZLSOJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,O,X
TIZLOJS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZJLSO,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X
TIZJLOS,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIZJSLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TIZJSOL,O,O,X,X,O,O,X,O,X,O,X,X,X,X,O,X
TIZJOLS,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
TIZJOSL,O,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X
TIZSLJO,O,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X
TIZSLOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZSJLO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X
