sequence,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhFRcBukB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jem6IvhFRcB6kB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFOgBicB5lBF?iBfqB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBfqBl?lBzmBCrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF2gBRcBFiBf?qB6qB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBFhBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFygBFiBxlBG?lBzmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhF5gBzfB/mBF?iBmmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFRcBigBFiB+?qB0rBzpB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFegBRcBFiBS?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBf?qB0mBuqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUhBFiBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex/IvhF/mBFiB0fBS?qBmmBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiB0fB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiBXgB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhB0fBFiB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF6lBxhBXgBm?mBlmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBW?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhBXgBFiB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFXgBxhBanBG?mBllBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFlcB0fB/mBO?nBSqBTqB
TILJSZO,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TILJSOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSJZO,X,X,O,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TILSJOZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILZSJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOSJZ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X
TIJLSOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TIJLZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
