sequence,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFuiBcjB?lgBanBXmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBSjB?lhBzlBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhF3dBcjB?6lBOmBFnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFSiBTeB?lgBXmBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Jex9IvhFlgBcmB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFGeBlgB?UiBXmBysBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBcjB?lhBzlB2sBqsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeZCJvhFWjBlgB?cmBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR9IvhFSjBlgB?3hBmnBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF1hBxdB?SnBOoBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JelAJvhFcmBxiB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je+BJvhFlgBxiB?inBzlBXoB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFlgBXmB?inBcoBGnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeWCJvhFcjBlgB?xmBzlB/sBatB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSCJvhFlgBOoB?xmBzlBUnBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeG8IvhFZiBCeB?VmBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeF8IvhFxdBSmB?OnBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSDJvhFlgBxmB?8sBfnBzlBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je1AJvhF6hBZiB?cjBzlBftBusB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JecDJvhFlgBxmB?fnBqsBzqBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF0hB5nB?OoBzlBanBFtB
TILJSZO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILJZSO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TILJZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILJOZS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILSZJO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILZJSO,O,X,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,O,X
TILZJOS,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TILZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TILZOJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJLZSO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJSLZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJSLOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJSZLO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIJSZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,O,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X
TIJZLOS,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJZSLO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
TIJZSOL,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJZOSL,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIJOZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TIJOZSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O
TISLJZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISJLZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TISJZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TISZLOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TISZJLO,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TISZJOL,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
TISZOJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TISOLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TISOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TISOJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TISOZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZLJSO,O,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X
TIZLJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIZLSJO,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TIZLSOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIZLOJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TIZJLSO,O,O,O,O,X,X,X,O,O,X,O,O,X,O,O,X,X,O,X,O,X
TIZJLOS,O,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TIZJSLO,O,O,O,O,X,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
TIZJSOL,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZJOSL,X,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X
TIZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TIZSJLO,O,O,O,O,X,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X
TIZSJOL,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
TIZSOLJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TIZSOJL,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZOLJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X
TIZOJLS,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZOJSL,O,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X
TIZOSJL,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOLZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TIOJZLS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIOJZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O
TIOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TIOSZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TIOZLJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIOZJLS,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIOZJSL,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
TIOZSJL,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
