sequence,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeBTjBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFzd?B+jBUgBFhBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFfj?B6jBUgBFhBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFCe?BUgBFhBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFTc?BfjB6jBFgBUmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BzdB+jB1lBXmBSwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFxb?BCeB1lBTjBGrBXrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFSj?BFgBXhBUjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Jex6IvhFGe?BFgBXhBUjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeC8BeC8CeG8CeD8Je06IvhFCe?B3gBTjBerB5mBlqB
TILJSZO,X,X,X,X,O,X,X,O,O,X
TILJSOZ,X,X,X,X,O,X,X,O,X,X
TILJZSO,X,O,X,X,O,X,X,O,O,X
TILJZOS,X,O,X,X,O,O,O,X,O,X
TILJOSZ,X,X,X,X,O,X,X,O,X,X
TILJOZS,X,O,X,X,X,O,X,X,X,X
TILSJZO,X,X,X,X,O,X,X,O,O,X
TILSJOZ,X,X,X,X,O,X,X,O,X,X
TILSZJO,X,X,X,X,O,X,X,O,O,X
TILSZOJ,X,X,X,X,O,X,O,O,O,X
TILSOJZ,X,X,X,X,O,X,X,X,X,X
TILSOZJ,X,X,X,X,O,X,X,O,O,X
TILZJSO,X,O,X,X,X,X,X,O,O,X
TILZJOS,O,O,X,X,X,O,O,X,O,X
TILZSJO,X,O,X,X,X,X,X,O,O,X
TILZSOJ,O,X,X,X,X,X,O,O,O,X
TILZOJS,O,O,X,X,X,X,O,X,O,X
TILZOSJ,O,X,X,X,X,X,O,X,O,X
TILOJSZ,X,X,X,X,X,X,X,O,X,X
TILOJZS,X,X,X,X,X,X,O,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,O,O,O,X
TILOZJS,X,X,X,X,X,X,O,X,O,X
TILOZSJ,X,X,X,X,X,X,O,X,O,X
