sequence,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFCe?BUgBFhBXjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFGe?BUgBFhBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFqi?BTeBUgBFhBGrBXrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BqiBTeBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BCeBFgBXjBUmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BWjBFgBXjBCrBUrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BGeB1lBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjB6rBzqB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BuiBcjBFgBqqB/rB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFGe?BylBziB5mBfrBlqB
TILJSZO,X,X,X,X,O,O,X,X,X,X,X
TILJSOZ,X,X,X,X,O,O,X,X,X,X,X
TILJZSO,X,X,O,X,O,O,X,O,X,X,X
TILJZOS,X,X,O,X,O,O,O,O,X,X,X
TILJOSZ,X,X,X,X,O,O,X,X,X,X,X
TILJOZS,X,X,O,X,X,O,X,X,X,X,X
TILSJZO,X,X,X,O,O,O,X,X,X,X,X
TILSJOZ,X,X,X,O,O,O,X,X,X,X,X
TILSZJO,X,X,X,O,O,O,X,X,X,O,X
TILSZOJ,X,X,X,O,O,O,X,X,X,O,X
TILSOJZ,X,X,X,O,O,O,X,X,X,X,X
TILSOZJ,X,X,X,O,O,X,X,X,X,O,X
TILZJSO,X,X,O,X,X,O,X,O,X,O,X
TILZJOS,X,O,O,O,X,O,O,O,X,X,X
TILZSJO,X,X,X,O,X,O,X,O,X,O,X
TILZSOJ,X,O,O,O,X,O,X,X,X,O,X
TILZOJS,X,O,O,O,X,O,O,O,X,X,X
TILZOSJ,X,O,O,O,X,O,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,O,O,X,X,O,O,X,X,X,X
TILOSJZ,X,X,X,O,O,O,X,X,X,X,X
TILOSZJ,X,X,X,O,O,X,X,X,X,X,X
TILOZJS,X,O,O,O,X,O,O,X,X,X,X
