sequence,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeT7IvhF0cBxdB?ylBGjBlnBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Je07IvhFlcB3dB?5jB2lBynBzsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex7IvhFXeBTgB?ihB+oBlnB0sB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeOAJvhFxcBzgB?UiBFjBStBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jei7IvhF3cB5jB?1lBmiB0nBzsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex7IvhF0dBTgB?ihB+oBlnBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jei7IvhF3cBTeB?1lB2nBctB5nB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex8IvhFmgBUiB?FjBTgBStBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeKAJvhFfhBxcB?TeBlnBctBGsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Je38IvhFTgBxiB?mgBlnBctBCtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeKAJvhFfhB0cB?xdB+oBlnBzsB
TILJSZO,O,O,X,X,O,X,X,X,X,X,X
TILJSOZ,O,O,X,X,X,X,X,X,X,X,X
TILJZSO,O,O,X,X,O,X,X,X,X,X,X
TILJZOS,O,O,X,X,O,X,X,X,X,X,X
TILJOSZ,O,O,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,O,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,X,O,X,O,X,X,X,X
TILSZOJ,X,X,X,X,O,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,O,X,X,X,X,X,X
TILZJSO,O,O,X,X,O,X,O,X,X,X,X
TILZJOS,O,O,X,X,O,X,O,X,X,X,X
TILZSJO,X,O,X,X,O,X,O,X,X,X,X
TILZSOJ,O,X,X,X,O,X,X,X,X,X,X
TILZOJS,O,X,X,X,O,X,X,X,X,X,X
TILZOSJ,O,X,X,X,O,X,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X,X
