sequence,v115@vhHU7IvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJ3dB+tBtsByrBTkByuBRwB,v115@vhHMBJvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJvhB+tBtsByrBTkByuBRwB,v115@vhHO6I5fB0gBNqBKpBTtBSxBXrB,v115@vhH++IvfBMnB6tBdqBKpBzsBRwB,v115@vhHK6IMjBvlB+tBtsBTkByuBRwB,v115@vhH6+IUbBvfBToBdqBKpBWyBRwB,v115@vhH01IvfB6tBWrBdqBKpBzsBRwB,v115@vhHX5IMjB+tBtsByrBTkByuBRwB,v115@vhHT5IvfBMoBunBdqBKpBSyBRwB,v115@vhHT1IMjBifB+tBtsB3kByuBRwB,v115@vhH6+IsiBvfBToBdqBKpBWyBRwB,v115@vhH6+I0VBvfBToBdqBKpBWyBRwB,v115@vhHG5IKaBvjBtnBKpBTtBUsBRqB,v115@vhH++I0VBvfB6tBdqBKpBzsBRwB,v115@vhHX5IKaBMjB+tBtsBTkByuBRwB,v115@vhHK9I0hB+kBNrBTlBSyBXsBxuB,v115@vhH++IUbBvfB6tBdqBKpBzsBRwB,v115@vhHK6IMjB3dB+tBtsBTkByuBRwB,v115@vhHT5IUbBvfBGjBdqBKpBSyBRwB,v115@vhHT5I0VBvfBGjBdqBKpBSyBRwB,v115@vhH++I6tBTnB9rB3lBMpByxBRvB,v115@vhHT5IMoBunBdsBXmBKpBSyBxvB,v115@vhHe+I3hBKkBznBdsBSyBUrBxuB,v115@vhHq6I5oBUhBtqBzkByxB3rB2uB,v115@vhHX5ITVBMjBKkB+tBtsByuBRwB,v115@vhH6DJ3hBZkBznBdsBSyBUrBWvB,v115@vhHU8IXjBdnBStBuqBTrBipBxxB,v115@vhH38IWmBTfBdsBypBSyBUrBxuB,v115@vhHG5IvjBtnBZkBKrBTtBUsBCqB,v115@vhHi1IMfB5oBdlB+rBisB3qBTpB,v115@vhH01IvfBGjBznBdqBKpBSyBRwB,v115@vhHX5IMjBzfBKkB+tBtsByuBRwB,v115@vhH01IvfBCjBToBdqBKpBWyBRwB,v115@vhHU9IynBTfB+tBtrB3sBipBRvB,v115@vhH01I+jBvfB6sBdqBKpBTtBRwB,v115@vhHa+IznBdsBXmBspBOpBSyBxvB,v115@vhHT5ItiBMoBRmBKqBOpBSyBXsB,v115@vhHe9IvfBMnB6tBdqBKpBzsBRwB,v115@vhHq7IMjBvlB+tBtsBTkByuBRwB,v115@vhHqCJukBvsBUmBNqBKpBTtBRwB,v115@vhHe9IvfBMoBTnBdqBKpBSyBRwB,v115@vhHG3IzbB3hBKkBdsBSyBUrBxuB,v115@vhHT3IqbB3hBZkBdsBSyBUrBWvB,v115@vhHi3IzcB5oBUhBtqByxB3rB2uB,v115@vhHX5IMjBKfB+tBtsBiqBTpBRwB,v115@vhHK/IulBvtBUnBNrBKqBTpBRxB,v115@vhHG5IvjBiaBtnBKpBTtBUsBRqB,v115@vhH+/IThBCoBdsBXlBSyBUrBxuB,v115@vhH+/IThBCoBdsB0lBSyB3pBxvB,v115@vhHKDJukBvsBUmBNqBKpBTtBRwB,v115@vhH+DJ6kBvsBUmBNqBKpBTtBRwB,v115@vhHM/I5oBmiBdlBSsByxB3qBTpB,v115@vhHq6I6tBPtB0mBtqBzkB2uBxwB,v115@vhH++I0VBvfBToBdqBKpBSwBxxB,v115@vhH01IvfB5oBznBdqBKpB2xBSwB,v115@vhH01IvfBSoBdqBKpBTtBGsBRwB,v115@vhHT1ISmBPlBZkBdsBSyBUrBWvB,v115@vhHT4IMoBunBdsBXmBKpBSyBxvB,v115@vhH01IvfBTjBWtBdqBKpBSwBxxB,v115@vhHi6IMoB9lB3fBSyBxrB2vBTpB,v115@vhHx2IUcBtlBvsBqrB2pBTtByvB,v115@vhHM+ISoBPnBZkBNrBTtBSxBWvB,v115@vhHK6IPjB5oBNnBKpBzsB0rBGqB,v115@vhHG3I3hBKkBznBdsBSyBUrBxuB,v115@vhHi3I5oBUhBtqBzkByxB3rB2uB
comments,L-s-01,L-s-01M,L-s-02,L-s-02M,L-s-03,L-s-04,L-s-04M,L-s-05,L-s-06,L-s-06M,L-s-07,L-s-07M,L-s-07,L-s-08,L-s-09,L-s-10,L-s-10M,L-s-11,L-s-12,L-s-12M,L-s-13,L-s-14,L-s-15,L-s-16,L-s-17,L-s-17M,L-s-18,L-s-19,L-s-20,L-s-21,L-s-22,L-s-23,L-s-24,L-s-24M,L-s-24,L-s-25,L-s-26,L-s-27,L-s-28,L-s-29,L-s-29M,L-s-30,L-s-31,L-s-32,L-s-32,L-s-32M,L-s-33,L-s-34,L-s-35,L-s-36,L-s-36,L-s-37,L-s-38,L-s-39,L-s-40,L-s-41,L-s-42,L-s-42,L-s-43,L-s-44,L-s-45,L-s-46,L-s-47,L-s-48,L-s-49,L-s-50,L-s-50M
score,5671.666666666667,5671.666666666667,5531.507936507936,5531.507936507936,5511.289682539683,5508.9484126984125,5508.9484126984125,5457.142857142857,5402.619047619048,5402.619047619048,5374.861111111111,5374.861111111111,5374.861111111111,5357.480158730159,5342.023809523809,5329.940476190476,5329.940476190476,5325.119047619048,5306.111111111111,5306.111111111111,5305.376984126984,5290.416666666667,5283.234126984127,5239.563492063492,5195.376984126984,5195.376984126984,5190.257936507936,5182.896825396825,5163.710317460317,5163.710317460317,5157.678571428572,5150.6349206349205,5148.611111111111,5148.611111111111,5148.611111111111,5138.948412698413,5131.646825396825,5107.083333333333,5105,5097.678571428572,5097.678571428572,5089.880952380952,5088.075396825397,5087.559523809524,5087.559523809524,5087.559523809524,5055.099206349207,5053.214285714285,5050.5952380952385,5048.9682539682535,5048.9682539682535,5048.9682539682535,5046.507936507936,5045.396825396825,5033.174603174603,5031.9047619047615,5030.416666666667,5030.416666666667,5028.234126984127,5026.111111111111,5025.376984126984,5015.436507936508,5015.337301587301,5002.936507936508,4989.146825396825,4986.726190476191,4986.726190476191
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
