sequence,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Je07IvhFmc?BzdB5jBfnBilBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jem7IvhFzd?B5jBclBanB3hBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jel7IvhFch?BmdB5jBXiBTlBirB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8JeX8IvhFxd?BFiB6oBTgB0mBmqB
TILJSZO,O,X,O,O
TILJSOZ,O,X,X,O
TILJZSO,O,O,O,O
TILJZOS,O,O,O,X
TILJOSZ,O,X,X,O
TILJOZS,O,O,X,X
TILSJZO,O,X,O,O
TILSJOZ,O,X,X,O
TILSZJO,O,O,O,O
TILSZOJ,O,O,O,O
TILSOJZ,O,X,X,O
TILSOZJ,O,O,X,O
TILZJSO,O,O,O,O
TILZJOS,O,O,O,X
TILZSJO,O,O,O,O
TILZSOJ,O,O,X,O
TILZOJS,O,O,O,X
TILZOSJ,O,O,X,O
TILOJSZ,O,X,X,O
TILOJZS,O,O,O,X
TILOSJZ,O,X,X,O
TILOSZJ,O,O,O,O
TILOZJS,O,O,O,X
TILOZSJ,O,O,O,O
TIJLSZO,O,X,O,O
TIJLSOZ,O,X,X,O
TIJLZSO,O,O,O,O
TIJLZOS,O,O,O,X
TIJLOSZ,O,X,X,O
TIJLOZS,O,O,X,X
TIJSLZO,O,X,O,O
TIJSLOZ,O,X,X,O
TIJSZLO,O,X,O,X
TIJSZOL,O,X,O,X
TIJSOLZ,O,X,O,X
TIJSOZL,O,X,O,X
TIJZLSO,O,O,X,X
TIJZLOS,O,O,X,X
TIJZSLO,O,O,X,X
TIJZSOL,O,O,X,X
TIJZOLS,O,O,X,X
TIJZOSL,O,O,X,X
TIJOLSZ,O,X,O,X
TIJOLZS,O,O,O,X
TIJOSLZ,O,X,O,X
TIJOSZL,O,X,O,X
TIJOZLS,O,O,X,X
TIJOZSL,O,O,X,X
TISLJZO,O,X,O,O
TISLJOZ,O,X,X,O
TISLZJO,O,O,O,O
TISLZOJ,O,O,O,O
TISLOJZ,O,X,X,O
TISLOZJ,O,O,X,O
TISJLZO,O,X,O,X
TISJLOZ,O,X,X,X
TISJZLO,O,X,O,X
TISJZOL,O,X,O,X
TISJOLZ,O,X,O,X
TISJOZL,O,X,O,X
TISZLJO,O,O,O,X
TISZLOJ,O,O,X,X
